Review,Keyword
두툼합니다 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다 시보리 부분이 정말 탄탄해요,"두툼, 탄탄, 재질, 시보리, 적당, 사이즈"
기장감 좋고 품 좋고 cm에 마른 체형입니다 L 사이즈 딱 좋아요,"체형, cm, 품, 기장감, 마르다, 사이즈, L"
,
조금 무거운 감이 있지만 역시 예쁘네요 옆이 조금 온 버핏이에요,"오버핏, 무겁다"
자크 다 잠가서 안 예쁘게 나왔네요 사진처럼 투 웨이 잘 살려서 입으면 충분히 가격 값합니다,"사진, 자크, 값, 투, 충분하다, 나오다, 가격, 잠그다, 살리다"
싸게 잘 샀어요 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 m사도 괜찮았을 거 같아요 S사니까 길이는 엉덩이 가릴 정도고 소매는 딱 맞았어욯 예쁘게 잘 입겠습니다,"m사도, 길이, 가리다, 싸다, 작다, 소매, 키, 엉덩이, 제일, 맞다욯, S사, 사이즈"
가끔 실내에서 추울 때 입기 너무 좋아요 아래 지퍼도 살짝 올리면 이쁘고요,"지퍼, 추다, 아래, 올리다, 실내"
총장이 짧고 팔은 길어서 입었을 때 귀여워요 근데 지퍼가 잘 안 올라가고 품이 좀 큰 게 아쉬워요 그래도 기본 템으로 딱 좋습니다,"지퍼, 짧다, 길다, 총장, 크다, 기본, 올라가다, 품, 팔"
생각했던 것보다 괜찮았어요 두께도 나름 두껍고 손목 시보리도 너무 널찍하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 정말 짱짱한 걸 좋아해서 밑단 시보리가 널찍해서 살짝 아쉬웠어요 손목 시보리는 만족해요,"나름, 개인, 널찍하다, 아쉽다, 적당하다, 짱짱하다, 두께, 밑단, 시보리, 좋아하다, 손목, 만족하다, 두껍다, 걸"
일단 멜란지 마스터와의 큰 차이점 세 가지 핏이 다르다 토피가 더 기장 짧고 벙벙한 핏 지퍼가 다르다 멜란지는 ykk 얘네는 국산 원단 두께가 다르다 멜란지가 약간 더 두꺼움 핏 자체는 토피가 이상적이지만 지퍼 같은 부자재나 원단에 있어서는 멜란지가 아주 조금 더 나은 편 그렇다고 해서 후드 각이 안 잡히는 건 아님 멜란지만큼의 두께가 아닐뿐 각은 잡힘 토피는 지퍼 안쪽에 원단이랑 맞물리는 곳에 마감을 해주긴 했지만 제대로 신경 쓰진 않은 듯,"지퍼, 토피, 원단, 두께, 신경, 국산, 마감, 핏자체, 핏, 세가지, 후드, 벙벙, ykk"
나쁘다고 사라고 후기 뒤지지 말고 사라고 어차피 사면 잘 입는다고,"말고, 나쁘다, 사면, 사라, 후기, 어차피, 뒤지다"
아우터와 이너 둘 다 입고 싶어 기모 없는 버전으로 구매했어요 두께감이 아우터와 이너 둘 다 적합하고 핏도 이뻐서 만족입니다 무엇보다도 이 옷 입으면 고양이 관심을 끌 수 있어서 최고였어요,
데일리 셋업으로 입기 너무 좋아요 사이즈는 그냥 정 사이즈로 가시는 걸 추천드려요,"셋업, 데일리"
새 옷 냄새 많이 나요 이뻐요 생각보다 안 커요 지금 입기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야 하나 근데 입고 다님 그렇게 신경 쓰이지 않아서 든 듯 색은 사진보다 밝아요,"새, 사진, 쓰이다, 밝다, 색, 겁나다, 신경, 크다, 그렇게, 접다, 하나, 대충, 냄새, 나요, 팔"
사이즈 때문에 고민하실 다른 분들 때문에 오픈합니다 빅 사이즈 여자사람에게도 핏 너무 귀여워요 사진보다 실물이 맘에 들어요,"사진, 실물, 핏, 빅, 고민, 여자사람, 사이즈"
좋습니다 질도 좋고 데일리 하게 어디든 어울려서 좋아요 팔이 길어서 좋고 암튼 좋아요,"길다, 데일리, 질, 어울림, 팔"
시험기간 내내 입고 다녔어요 하지만 시험은 잘 못 봤네요,"시험기간, 못, 시험"
캐주얼에 너무 좋고 어딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요,"한강, 캐주얼, 어울리다, 제일, 어딜, 가든"
주로 남자분들이 입어서 어깡핏 나올까 봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 온 버핏에 비해 총장은 살짝 짧은 편인데 이게 오히려 핏이 예뻐 보여요 기준 엉덩이 반쯤 덮습니다 원래 반팔 티 cm 이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반팔이랑 입으면 강제 레이어드가 되긴 합니다 도톰하고 신축성 없는 재질이에요 기모 없습니다 근데 지퍼가 잘 안 올라가요 그래서 별 뺌,"짧다, 걱정, 비다, 총장, 남자, 귀엽다, 핏, 오버핏, 나오다, 어깡핏, 둥글둥글하다, 편"
패딩 안에 껴입고 좋고 꾸 안 그로도 잘 어울려요 자크가 두 개라 편해요,"자크, 그로, 편하다, 어울리다, 패딩, 개, 끼다, 꾸다"
예쁜데 팔 통이 좀 커요 팔 통이 얼마나 큰지 알려드리려고 사진을 찍었는데 처음 사진은 제 팔이고 두 번째는 이 옷의 팔이에요 그리고 기모가 있어서 따뜻해요 봄가을 겨울 다 입기에는 기모 있는 게 좋을 것 같아요 마지막으로 핏이 아방 동글해요 밑이 동그란데 지퍼가 두 개니까 뭔가 이상해서 그냥 지퍼 다 잠그고 입는 게 더 예쁜 거 같아요 S 해도 충분히 크고 온 버핏이니 저랑 비슷한 체형이시면 고민 없이 S 하시길 추천드립니다 마지막 사진은 귀여워서 올리려고 했는데 또렷하게 촬영해야 한다고 해서 다른 사진을 앞에 올리고 추가합니다 참고로 절 알아보신 분들은 모른척해주세요 천원 준다는데 후기를 안 쓸 수는 없잖아요,"사진, 촬영, 통, 귀엽다, S, 오버핏, 가을, 팔, 지퍼, 없이, 따뜻하다, 체형, 동, 충분하다, 겨울, 봄, 천원, 크다, 핏, 추천드리다, 커다랗다, 기모, 고민, 주다, 후기"
저렴한 가격에 자주 손이 갈 교복템 구매했습니다 예약배송이라 빠른 배송은 아니었지만 그래도 약속된 배송일정대로 차질 없이 받아볼 수 있었어요 사이즈는 s랑 m 중에 고민했는데 m사이즈가 저한테는 딱 예쁜 루스 핏 같아요 라이더나 코트 안에 레이어드하시기에는 s가 나을 수 있는데 카오리 핏이라 s사이즈여도 레이어드하기에는 불편할 수도 있겠네요 재질은 기모는 아니지만 그렇다고 얇거나 힘없는 재질은 아니라서 너무 맘에 들어요 요즘 같은 간절기에 딱입니다 단점은 옷 두께에 비해 좀 무겁다는 거 들었을 땐 무거운데 입었을 때 어깨가 무거울 정도는 아닙니다 그리고 새 옷 냄새가 너무 나는데 빨면 괜찮을 것 같네요 다른 색상으로 재구매 의사 있습니다,"카오리, 약속, 배송일정, 교복, 갈다, 라이더, s가다, 수도, 코트, 손, s, 레이어드, 배송, 핏, 예약배송, 가격, m사이즈, 사이즈, 불편하다, 빠르다, m, 레이어드하시기에는, 나다, 루스"
와 너무 예뻐요 역시 토피 길이도 예쁘고 팔도 생각보다 안 길어서 좋고 저랑 체형 비슷하신 분들 L 사세요 최고,"최고, 토피, 길이, 체형, L, 팔"
회색에 빠져서 편하게 입을 회색 후드집업을 찾고 있었는데 만족했다는 후기가 많아서 구매하게 되었어요 진짜 구매 잘했다는 생각 들고요 요즘 거의 유니폼처럼 자주 입고 있어요 짜임도 좋고 탄탄해서 늘어남도 적고요 다른 분들 후기처럼 기장은 좀 짧은 편이에요,"만족, 늘어나다, 탄탄, 유니폼, 회색, 기장, 후드집업"
야쓰 진짜 고민하다 샀는데 너무 이뻐요 최고 맨날 입음 빨리 사세요 다들,쓰다
옷은 너무 마음에 드는데요 옷이 담겨있는 봉투 안에 벌레가 들어왔어요 겉에 택배 봉투도 한 겹 싸여있는데다가 벌레 파편들이 옷 안팎으로 여기저기 붙어있는 거 보니 배송 중에 들어간 건 절대 아닌 걸로 보이네요 너무 기분 더러웠는데 옷은 괜찮고 교환하자니 또 한참 걸릴 것 같아서 그냥 세탁해서 입으렵니다 다들 세탁하고 입으세요,"기분, 택배, 파편, 겹, 세탁, 교환, 봉투, 배송, 벌레, 더럽다"
팔 통 넓고 기장은 짧아요 짧은데 이쁘네요 주름이 많이 갈 거 같긴 합니다,"짧다, 통, 주름, 갈다, 기장, 넓다, 팔"
어깨선도 딱 제가 생각한 정도고요 사이즈는 m 샀는데 약간 세미 오버하게 핏이 나오는 거 같아요 팔 기장도 딱 이쁘게 떨어지는 거 같아서 좋아요 요즘 제일 자주 입고 나가는 아우터인 거 같습니다,"오버, 떨어지다, 어깨선, 핏, 세미, m, 제일, 아우터, 기장, 사이즈, 팔"
제가 좋아하는 회색이고 시보리 짱짱하고 모자도 안 작고 흐물거리지 않고 요즘같이 비 오는 날에 입기 좋아요,"비, 날, 시보리, 흐물다, 짱짱, 회색, 모자"
딱 제가 생각하고 원하던 후드집업이에요 후드가 탄탄하고 적당해서 겉옷이랑 입기 딱 예쁜 느낌 기장도 레이어드 티 적당히 나오는 정도로 완전 맘에 들어요 셋업으로 사고 싶어서 샀는데 완존 만족 재질도 탄탄하고 정말 괜찮아요 저랑 비슷한 분들은 M 사는 거 추천드려요,"셋업, 티, 탄탄, 겉옷, 레이어드, 재질, 적당, M, 후드, 후드집업"
