Processed_Review,keyword
글로리 말로 말 모 글로리 핏 이쁜 거 두말하면 입 아파요 허리가 늘고 긴 체형 어깨 넓고 듬직한 편 아마도 개 이뻐요 근데 똥구멍 치마 되는 건 알고 사셔야 합니다 s 샀다가 저의 태평양과 같은 어깨와 마치 개의 가슴 같은 부유방을 숨겨주지 못하길래 m으로 바꿨더니 똔꼬 치마도 덜하고 덜 여전히 똔꼬치마는 맞음 찌지 개랑 태평양 어깨도 잘 가려 줍니다 아주 맘에 듦 검은색도 사고파뇸,"말, 여전하다, 검은색, 치마, 개, 덜하다, 듬직하다"
예약배송이라 쇼룸에서 사이즈 입어보고 샀는데 좀 다른 거 같아요 배송된 게 좀 더 타이트 한 느낌 바스트 있으면 좀 불편하실 거 같아요 M 사세요 전 S 샀는데 좀 불편해요 그리고 너무 짧아서 단독으로 입기엔 조금 부담스러워요 대신 소재는 수영복 소재 같아서 스판도 좋고 주름도 잘 안 가고 민소매가 부담스러운 분들에게도 괜찮을 거 같아요,"민소매, 수영복, 불편하다, 입어보다, 쇼룸, 불편하다, 분, 부담스럽다, 사이즈, 대신"
화사해 보이고 예쁘지만 기장이 조금만 더 길었으면 좋겠음 많이 짧아서 좀 부담스러울 수도,"부담스럽다, 기장, 보이, 화사하다, 수도, 길다, 짧다"
두 겹이라 비치지도 않고 정말 탄탄합니다 올해 원피스 중 제일 이쁜 듯요 너무 맘에 들어서 세 칼라 구매했습니다,"원피스, 겹, 들어서다, 비치다, 탄탄하다, 올해, 제일, 칼라"
재질이 탄탄해서 흰색임에도 비침이 거의 없어서 좋았어요 노란 기나 푸른 기 없이 깨끗한 화이트 컬러라 색깔도 맘에 들었습니다 제가 흉통이랑 체구가 너무 작아서 딱 맞는 사이즈의 원피스가 잘 없는데 이건 제 몸에 딱 맞는 핏으로 예쁘게 떨어져서 만족해요 민소매 디자인이 부 유방 쪽을 잘 커버해 줘서 아우터 없이 입어도 핏이 예쁜 거 같아요 다만 입었을 때는 기장이 딱 괜찮은데 계단 올라갈 때나 허리 숙일 때는 좀 신경이 쓰이긴 합니다 딱 정석 기본 템 느낌이라 하나쯤 가지고 있으면 여기저기 활용해서 입기 좋을 것 같아요,"흰색, 활용, 사이즈, 만족하다, 신경, 여기저기, 흉통, 정석, 탄탄하다, 재질"
바스트는 좀 타이트하지만 여성스럽고 예쁩니다 잘 산 거 같아요,"여성 스럽다, 타이트, 바스트"
쫀쫀하게 핏을 잡아주는 약간은 수영장 재질 같은 옷입니다 무신사 불프 때 저렴하게 샀는데 예뻐서 잘 입고 있어요 벨트 백이나 카디건같이 포인트 되는 아이템이랑 매치해도 예뻐요,"수영장, 아이템, 매치, 물다, 잡다, 재질, 저렴하다, 백이, 포인트"
진짜 너무 이뻐요 살랑살랑거리는 핏 매장에서 입어본 건데 화이트는 엠 멜란지는 에스 입었어요,"거리, 매장, 멜란지, 입어보다, 화이트, 에스"
허리를 잘 잡아줘서 좋아요 기장이 짧은 편이기는 합니다 저보다 키 큰 분들은 m사이즈 사셔야 될 것 같아요 완전히 만족하고 검은색도 사고 싶어요 뱃살 부각 있어요,"사이즈, 검은색, 완전하다, 만족하다, 잡다, 편이, 기장, 허리"
운동복으로 레이어드해서 잘 입었어요 소재가 좋아서 비침 전혀 없지만 기장이 짧아요,"운동복, 레이어드, 기장, 전혀, 소재, 비침, 없다, 짧다"
