Review,Keyword
편하게 입으려고 산 건데 저한텐 오버핏을 넘어서 밀레니엄 힙합 보이핏이 긴 합니다 하지만 그건 제 문제이기 때문에 티샤쓰는 점 입니다 후줄근 방지용 목걸이도 차보았습니다,"밀레니엄힙합보이핏, 후줄근, 티샤쓰, 방지목걸이, 오버핏"
소버먼트 역시 맛집입니다 깔 별로 사고 싶을 만큼 핏 재질 색 감 너무 마음에 들어 요,"맛집, 색감, 소버먼트, 재질, 핏"
빼 입 하기에 제 스펙에 이 좋다고 보고 넣입 할 거면 이 이 쁠 것 같습니다 소재는 하고 생각보다 무겁단 생각은 안드는 것 같습니다 딱 스탠다드에 충실하면서 또 일반적인 소재 느낌은 아니라 꾸안 꾸 티셔츠네요 손이 많이 갈 것 같습니다,"소재, 스펙, 손, 일반, M"
핏이 오버핏으로 나왔습니다 그래서 와이드 슬랙스 랑 빼 입으로 매칭했습니다 가장 큰 장점은 색감입니다 정말 이 뻐요 흔한 차콜 아니구 워싱된 느낌이라 더욱 좋았습니다,"색감, 워싱, 빼입, 와이드슬랙스, 오버핏"
워싱감이 딱 좋아서 여기저기 잘 묻네요 코디하기 편해요,"워싱감, 코디"
넘모 편하고 스타일 좋고 색깔도 예뻐서 자주 입게 되네요 파란색도 샀어요,"스타일, 파란색, 편, 색깔"
좋어요 여러 상황에서 잘 매칭 되네요 부담 없이 스타일 잡을 수 있어서 좋았어요,"부담없이, 스타일, 여러상황"
블루 색상 구매 후 너무 만족해서 더 구매했습니다 샌드 색상도 곧 코디 올릴게요 감사합니다,"코디, 샌드색상, 블루색상"
킹 쁩니다 기대 안하고 샀는데 스트릿 한 핏감 제가 찾던 느낌이네요 다른 색상도 고민 중임다 제 스펙에 힙하게 입는 거 좋아하시면 하세여,"색상, 좋아하다, 찾다, 느끼다, 스펙, 스트릿, 핏감, 킹쁩니, 힙하, 대안하고, xl, 고민중"
소버먼트 너무 좋아요 여름 반팔 겨울 맨투맨 다 여기서 살 거 같아 요 소버먼트 짱,"여름, 소버먼트, 맨투맨, 겨울"
옷 색 감 이쁘고 코디하기에도 편해 요 잘 입겠습니당,"색감, 코디"
피그먼트 워싱 입문으로 좋습니다 제 스펙이 오버사이즈로 잘 맞아요,"오버사이즈, 입문, 워싱"
피그먼트 색감 정말 예쁘게 빠졌고 재질도 하고 좋아요 근데 세탁하니까 살짝 돌아가네요,"색감, 재질, 세탁"
적당히 찌비침 없을 두께감에 과하지 않은 워싱감이 마음에 들었어요 특히 절묘하게 과하지 않은 오버핏 실측이 좋았어요,"워싱감, 두께감, 오버핏"
티가 해서 너무 좋았어요 체형 보완도 되고 피그먼트 덕분에 흔하지 않아요,"탄탄, 체형"
에 키로 평소 크게 입는 거 좋아해서 엑라 시켰어요 색감 핏 모두 좋아서 다른 컬러도 사고 싶어요,"색감, 엑, 좋아하다, 평소, 컬러, 핏, 162, 48키로, 크게"
생각보다 무겁긴 한데 핏도 좋고 재질이 엄청 좋습니다 차콜이라 땀나면 자국 생길 것도 걱정됐는데 자국 티도 안 나고 좋아요,"자국, 차콜, 재질, 핏, 무겁다"
헬스 년차 입니다 운동 주 회 하는 사람으로써 정말 딱 마음에 드는 오버핏 티셔츠 입니다 색깔 마음에 드는 거 몇 장 더 살까 합니다 길이랑 다 너무 좋아요,"헬스, 티셔츠, 길이, 색깔, 오버핏"
피그먼트는 소버먼트 그냥 모든 티들이 다 이쁘고 편하고 그러네 여 티셔츠 맛집이 네 여,"모든티, 티셔츠, 소버먼트"
두께감 좋고 착 핏도 이 뻐요 다른 분들한테도 추천합니다,"착핏, 두께감, 추천"
여행 때 입었는데 무난하게 입 기 너무 좋네요 사이즈는 오버입니다,"여행, 오버, 사이즈"
원단 매우 하고 좋습니다 워싱 덕분에 힙한 느낌에도 잘 붙습니다,"원단, 힙, 탄탄, 워싱"
여러 옷 들 택할 때 피그먼트 처음 입문용으로 좋은 거 같습니다,"입문, 처음"
이건 색감이 뒤지게 이 쁨 요긴하게 입고 다닙니다,"색감, 요긴"
생각보다 얇고 시원하네요 워싱도 이 뻐요 근데 어깨 사이즈가 저한텐 살짝 더 오버했으면 좋았겠네요,"어깨사이즈, 얇다, 오버, 워싱, 근데, 시원하다"
지금부터 입 기 좋아요 편하고 이 쁘고 데일리 각 강 추강추,"편하다, 강추강추, 데일리"
피시방 가능 학교 가능 당구장 쌉 가능 재질 좋음 소매 길이 좋음 총장 살짝 김 색 감 이 쁨 두께감 살짝 있지만 시원함,"색감, 총장, 학교, 피시방, 재질, 당구장, 두께감, 김, 시원하다, 소매"
핏도 괜찮고 어깨도 넓어 보여서 좋은 거 같습니다,"어깨, 핏"
