Review,Keyword
저희 아들 센티에 한테 입힐려고 주문했는데 넘 늦게 왔네요 취업땜에 지방가서 담주나 되야 입을 수 있을 듯요 아쉬운데로 제가 착용해봤어요 루즈하니 나쁘지 않은데요 스타일리쉬 해 보이고 남친룩으로 좋아요,"180센티, 76kg, 취업, 스타일리쉬, 남친룩, 지방"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,"사이즈, 재질, 지퍼"
원하던 후드 집업을 찾았오 요 색감도 너무 예쁘고 기장감도 마음에 듭니다,"후드집업, 색감, 기장감, 원하다"
스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무스하게 내려가진 않음 그래도 이 뻐서 자주 입을 듯 합니다,"스타일, 얇다, 스무스, 지퍼"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다,"후드집업, 실물, 피그먼트"
원단 자체도 하고 그냥 막 입어도 엄청 이 뻐욤 적당한 오버핏이고 과 하지 않아 좋습니 당 맘 애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤,"원단, 오버핏, 블랙"
워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다,"워싱감, 후드, 지퍼퀄, 질감"
가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐 게요,"퀄리티, 가격"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라 핌된 기분,"얇다, 르세라핌, 덥다, 오버핏, 저녁"
비슷한 옷 벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아 있어서 좋으네요 한 여름 빼고 이너로 아우터로 교복템 될 듯합니다 다른 색도 구매 예정입니다,"후드, 아우터, 피그먼트, 교복, 소매절개, 이너, 디테일, 무겁다"
디자인 워싱이 처리된 후드 집업이에 요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막 입기 좋아요 유행 타지 않고 입기 좋은 느낌이에요 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아 요 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다,"디자인, Ykk, 핏, 오버핏, 블랙그레이"
원단 워싱해서 그런지 칼라가 빈티지 스럽고 예뻐요 두께감도 간절기에 휘뚜르 마 뚜르 막 입 기 좋고 적당한 오버핏도 마음에 듭니다 배송 좀 늦은 거 빼고는 다 좋아요,"빈티지, 칼라, 배송, 두께감, 원단워싱, 오버핏"
색감이 예쁘게 잘 나와서 봄 가을에 자주 입을 거 같아요,"색감, 가을, 봄"
마음에 들어서 회색이랑 차콜색 두 개 샀습니다 키 기준으로 엉덩이 위까지 오는 기장감이고 하단 부분 지퍼를 올릴 수 있어서 좋습니다 적당한 길이감에 소매가 길어서 좋고 가볍지 많고 후드도 크고 합니다,"회색, 차콜색, 길이감, 지퍼, 후드, 기장감, 탄탄, 소매"
피그먼트 후드집업은 처음 시켜보는데 디테일이랑 피그먼트 특유의 느낌이 진짜 좋네요 편하게 입고 나가면 범죄자 같다고 친구들이 놀리지만 좀 깔끔하게 입으면 너무 이 뻐서 맘에 듭니다 자주 입고 다닐 거 같아요,"깔다끄다, 디테일, 범죄자, 피그먼트"
힙한 무드 나와서 좋습니다 시보리가 좀 약하긴 하지만 저는 개의 치 않아서 상관없네요,"힙, 무드, 시보리"
여유 있는 핏감에 옷핏 나쁘지 않습니다 아쉬운 건 원단이 하지가 않아 후드 모양이 각이 안 잡혀서 이 쁘지가 않네요,"원단, 핏감, 후드모양, 옷핏, 여유"
사이즈는 딱 적당하고 약간 무게감 있는 편이고 빈티지한 피그먼트 워싱감이 아주 좋습니다 이 가격에 이 정도 퀄리티라 만족합니다,"워싱감, 빈티지, 무게, 퀄리티, 피그먼트, 사이즈"
