Review,Keyword
그래픽도 예쁜데 이 제품은 핏이 정말 너무 좋습니다 너무 길지 않은 스트릿 한 티셔츠를 찾고 있었는데 이 제품이 딱이네요 자주 입을 것 같습니다,"스트릿티셔츠, 티셔츠, 그래픽, 핏"
디자인이 너무 예쁘고 그렇게 두껍지도 않아서 한 여름에도 입을 만 해요,"두께, 디자인"
사이즈도 잘 맞고 디자인이랑 프린팅 다 너무 마음에 들어요,"사이즈, 프린팅, 디자인"
넘 예뻐요 프린팅이 안 유치해서 마음에 들어 요 잘 입을 게요,"프린팅, 유치"
커플티로 구매 했는데 너무 이 쁘고 흔하지 않아서 더 좋아요 색감도 잘 빠지고 프린팅도 잘 벗겨 않네요,"색감, 프린팅, 커플티"
세미오버 실루엣을 활용하기 좋으며 프린팅이 포인트가 되는 것 같습니다,"프린팅, 세미오버실루엣"
프린팅도 포인트로 너무 이 쁘고 핏도 너무 잘 나와서 이 뻐요 그리고 재질도 오염에 강한 재질 같아서 오래오래 이 쁘게 입기 좋을 거 같아 요 여름에 포인트 옷 구매 하실 거면 이 거 추천 드려요,"여름, 재질, 포인트, 핏, 추천, 프린팅, 오염"
프린팅 완전 이 쁘고 힙하게 오버핏 느낌도 조금 있음,"프린팅, 오버핏"
일단 그래픽이 이쁩니다 매종 미네드 써 있는데 그냥 이 쁨 무난하게 어떤 바지랑 도 잘 어울립니 다 좋아요 가격도 싸고,"가격, 그래픽, 바지"
우선 가장 큰 장점은 체형을 잡아줍니다 옷을 입고 지인들에게 운동 했냐는 말을 제일 많이 들었어요 프린팅 색감 너무 선명하고 시원한 블루 그레이 조합으로 과하지 않고 무난했어요 너무 예쁩니다 개인적으로 진한 블루보다 그레이가 더 취향이네요 세탁 후 변형 및 실밥 트임 없고 변색이나 줄어드는 모습도 안 보였습니다 핏은 입었을 때 품이 넓어서 시원하게 입 을 수 있었고 또 여유롭다 해서 부하지 않습니다 남성분들 패치 없이 입을 수 있는 두깨로 나왔고 비침 없어서 편하게 입을 수 있어요 배송 너무 빠르게 잘 왔고 하게 잘 신경 써주셔서 항상 감사해요 벌써 미네드 제품만 개네요 미네드 너무 사랑합니다,"배송, 미네드, 신경써주다, 변형, 체형, 그레이, 핏, 프린팅, 변색, 색감, 제품, 남성분, 운동, 빠르다, 사랑, 패치, 블루, 줄어들다, 비치, 여유롭다"
출시 때 품절이었다가 이번에 구매했어요 목 부분이 아주 하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,"프린팅, 출시, 품절, 목부분"
기장이 조금만 짧았으면 좋겠어요 그 외에는 괜춘합니다,"스트레이트핏, 디자인, 프린팅, 기장"
메종 미네드 티셔츠는 프린팅이 너무 매력적인 거 같아 요 종류별로 하나씩 구매 중입니다 사이즈는 오버사이즈이고 원단이나 핏이 너무 예쁘네요,"원단, 핏, 오버사이즈, 사이즈, 프린팅"
아조 이 뻐요 너무 얇지도 않고 더울 만큼 두껍지도 않아요,"얇다, 두껍다"
여름에 시원하게 입 기 좋고 프린트 색감도 맘에 듭니다,"여름, 시원, 색감, 프린트"
블프로 싸게 구매했습니다 청바지에도 잘 어울리고 버뮤다 팬프에도 너무나 잘 어울립니다 두께는 보통입니다 체형 보완해줄 수 있는 정도입니다 메종 미네드 반팔 처음 사보는데 완전 귯입니다 따봉 봉,"보완해주다, 체형, 싸다, 블프, 따다봉, 봉, 버뮤다팬프, 청바지, 메종미네드, 두께, 팔, 귯"
기다린 보람이 있는 녀석 내 마음을 저격 성공 넘옙흐네여,"보람, 성공, 저격, 내, 기다리다, 넘옙흐"
생각했던 것보다 핏이 괜찮아서 좋았고 프린팅이 진짜 이 뻐요,"프린팅, 핏"
두께 적당해서 비침 없을 듯 핏도 마음에 드는 게 왜인지는 모르겠는데 어깨가 넓어 보임 여름에 흰티 중엔 순위로 손 갈 듯 이쁩니당,"여름, 핏, 비치, 두께, 희다티, 어깨"
앞에 프린팅이 너무 예쁘고 사이즈도 딱 잘 맞네요 최애 브랜드입니다,"사이즈, 프린팅, 브랜드"
너무 예뻐서 보자마자 바로 구매 적당한 오버핏에 덩치도 좀 좋아 보이네요 클론맘 안 만났으면 좋겠더,"만나다, 덩치, 적당하다, 클론, 오버핏"
예쁘네용 메종미네드 티셔츠 이 걸로 입문해서 여러 개 사는 중 이번 여름 자주 입고 다닐 게용,"여름, 티셔츠, 메종미네드"
프린팅 자수 같단 말 있던데 자수 같진 않아 요 그냥 크고 예쁜 티셔츠 맘에 듭니다,"자수, 디자인, 티셔츠, 프린팅, 크기"
출시 때 품절이었다가 이번에 구매했어요 목 부분이 아주 타이트하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,"타이트, 프린팅"
정말 많이 팔린 티셔츠 같내요 성수동 갔다 커플티만 번 됌,"티셔츠, 커플티, 성수동"
사이즈 살짝 크게 나온 것 같아 용 스몰 샀는데 괜찮네요 이쁩니다 올 여름 잘 입겠슴니다,"사이즈, 올여름, 크기, 스몰"
저는 목쪽이 살짝 붕 뜨네요 왜 이러지 이 부분은 아쉽지만 이 뻐요,"목, 아쉽다, 붕뜨, 부분"
진짜 너무 귀얍고 잘 산 거 같아 요 엄청이 쁘네요 작년부터 고민했었는데 건졌는데 좋군 요 굿입니다,"작년, 굿, 귀얍"
진나 너무너 무너무너무너무 이 뻐요특히 프린팅이 너무 이 뻐요,프린팅
좋아하는 브랜드인데 할인하길래 얼른 샀습 다 단품으로 입어도 훌륭하고 이너로 입어도 전면 포인트 굿이에 요 배송 예정 날짜보다 일찍 받아서 좋았어요 감사합니다,"단품, 할인, 포인트, 감사, 배송예정, 브랜드"
이쁘게 잘 입었습니다 가성비 고 힙 한 무드 좋아요,"힙한무드, 가성비"
필요해서 샀는데 이 쁘고 좋습니다 춫너하고 잘 샀습니다 빠,"자다, 필요, 1빠, 춫너하고"
프린팅이 진짜 예뻐요 오버핏 팬츠 어디에 입어도 잘 어 울릴 만한 디자인이에 요 공용 사이즈라 해도 충분히 크게 입을 수 있어요,"S, 디자인, 공용사이즈, 팬츠, 프린팅, 오버핏"
길이감이랑 핏 자체가 제가 원하던 느낌이였어요 두께감도 나쁘지 않아서 너무 마음에 들었어요,"두께감, 길이감, 핏"
블프로 싸게 구매했습니다 청바지에도 잘 어울리고 버뮤다 팬프에도 너무나 잘 어울립니다 두께는 보통입니다 체형 보완해줄 수 있는 정도입니다 메종 미네드 반팔 처음 사보는데 완전 귯입니다 따봉 봉,"보완해주다, 체형, 싸다, 블프, 따다봉, 봉, 버뮤다팬프, 청바지, 메종미네드, 두께, 팔, 귯"
