Processed_Review,keyword
저 날 술을 좀 마셔서 누워있긴 한데 어깨부터 발끝까지 전신사진이 나오긴 했네요 바지 예쁘고 편합니다,"사진, 마시다, 나오다, 편하다, 바지, 술, 어깨"
옷 줄어든다는 후기 보고 큰 사이즈로 구매했는데 너무 길어서 기장 줄였어요 여성분들은 제일 작은 사이즈 구매하시는 게 좋을 거 같아요 핏은 진짜 마음에 듭니다,"줄어들다, 여성, 사이즈, 사이즈, 기장"
진짜 예뻐요 벌룬 핏이면서 히프하고 기장이 제가 키가 작아서 딱 맘에 들어요,"기장, 히프, 벌룬, 작다, 키, 핏이면"
아버지 강아지랑 산책하실 때 입으실 편한 옷 사드렸어요,"산책, 강아지, 아버지, 편하다, 사 드리다"
한껏 꾸밈없는 날 것임에도 이렇게나 멋지다니 내 잘생긴 얼굴과 훌륭한 보디를 초라하게 만든 스웨트 판치,"잘생기다, 얼굴, 훌륭하다, 판치다, 초라하다, 보디, 만들다, 이렇다, 스웨 트"
회색 기본 운동복 오랫동안 찾고 있었는데 너무 좋아요 찾았다 내 사랑 내가 찾던 사랑,"운동복, 사랑, 기본, 내, 회색, 찾다, 찾다, 찾다"
,
아메까지나 시티 보이 룩 뭐 이런 느낌 좋아하고 핀턱 와이드 팬츠 꾸안꾸로 입는 거 좋아하면 정말 만족하는 제품일 것 같아요 고민 많이 하다가 구매했는데 배송받고 입어본 다음에 왜 일찍 안 시켰는지 후회했어요 존 예입니다 깔 별러 구매하고 싶어요 아 그리고 평소 크게 입으시는 분들도 그냥 정 사이즈 시켜도 될 것 같아요 원래 L 입는데 품절되는 바람에 M 시켰는데 L시켰으면 큰일 날뻔했습니다 허허,"만족하다, 입어보다, 와이드, 사이즈"
그레이도 예쁩니다 그냥 실루엣이 예뻐서 두루두루 입어주기 좋네요굳굳,"그레이, 굳다 굳다, 실루엣, 그냥"
제가 입으니까 그저 찐 r 모델들에게 속지 마세요,"모델, 말다, 속지"
데일리로 입기 괜찮은 제품인 것 같아요 만족스럽습니다,"만족스럽다, 데일리, 제품"
처음에 입었을 때 생각했던 것보다 통이 엄청 넓어서 당황하긴 했는데 입다 보니까 익숙해지고 핏 예뻐요 그리고 정말 편해요 한여름 아닌 이상은 계속 입을 수 있을 것 같은 두께입니다 저랑 스펙 비슷하신 분들 엄청 오버핏 원하시는 거 아니면 s사이즈가 적당할 것 같아요,"당황, 익숙해지다, 이상은, 아니다, 원하다, 적당하다, 사이즈, 편하다"
와 핏 장난 없다 여러분 이거 진짜 고민하시고 계시면 무조건 지르세요 미쳤습니다,"고민, 무조건, 지르다, 장난, 없다, 미치다, 계시"
난 아재다 청춘이고 싶어서 연 옷을 입었다 하지만 난 아재다,"재다, 청춘, 싶다"
너무 길어서 밑단이 밟히더라고요 그걸 보신 저희 아버지께서 손수 제 바지를 걷어올려주샸습니다 덕분에 멋쟁이 된 것 같아서 기분이 좋네욥,"기분, 덕분, 바지, 보신, 손수, 욥"
리뷰는 늘 뭔가 받으려고 형식상 썼는데 이건 못 참겠네요 일단 핏 미쳤습니다 요즘 와이드에 빠져서 트레이닝복 바지까지 와이드로 샀는데 성공했습니다 와이드 초심자한테 내가 바로 와이드다 느낌이기에 참고하시어 도전하시면 좋을 듯합니다 저는 키 대비 다리가 굉장히 짧기 때문에 바지를 배꼽 위까지 끌어올린 상태라는 것도 참고하셔요 바지 퀄리티는 상상 이상이었고 적당히 두꺼워서 가을 초겨울도 가능할 듯해요 포장 상태며 제대로 된 곳에서 산 듯한 느낌이 참 좋았습니다 코디하지 않고 집에 있다가 택배 온 거 바로 입어 재낀 건데 이런 비주얼이니 제대로 코디하면 진짜 이쁠 것 같아요 적극 추천합니다,"도전, 추천, 참고, 와이드, 와이드, 참고, 적당하다, 비주 얼, 와이드, 코디"
,
맨날 입고 다니고 싶은데 나갈 데가 없네요 통이 넓고 길어서 크롭 상의랑 입어야 더 예쁜 거 같습니다,"상의, 통, 크롭"
스웨트 팬츠 처음 사봐서 기대도 하고 걱정도 했었는데 이쁜 핏 나와서 너무 좋네요 기준 허리 밴딩이 꽤 쫀쫀해서 작을 줄 알았는데 편하게 잘 맞아요 바지 통도 괜찮고 턱이 잡혀 있어서 더 이쁜 핏이 나오는 거 같아요 기장도 이 정도면 살짝 애매한 거 같기도 하지만 딱 발등 덮는 정도라서 입을만한 거 같아요 이거저거 다 입을 수 있을 정도로 코디 범용 도도 넓고 이번 가을겨울에 엄청 유용하게 쓰일 거 같아요 스웨트 팬츠 처음 입문하시는 분들이라면 강추할게요,"강추, 거저, 걱정, 밴딩, 분 들이다, 입문"
키 cm 몸무게 kg 위 허벅지 둘레 cm 아래 허벅지 둘레 cm 다리길이 약 cm 참고하세유,"참고 유, 몸무게, 허벅지, 다리 길이, 아래, 둘레"
키가 여자치곤 큰 편이라 길이 본다고 후기 꼼꼼히 봐가며 골라 샀는데 생각보다 짧네요 신발 좀 덮는 기장을 원했는데 그렇게 입으려면 골반바지처럼 입어야 하더라고요 아쉽긴 하지만 그 점만 빼면 재질도 괜찮고 허리도 끈이 튼튼해서 맞게 입을 수 있어요,"여자 치다, 골반 바지, 튼튼하다, 기장, 편이, 신발"
돼지인데 잘 맞았어요 진짜 편한 건 오지게 편하면서도 핏도 괜찮고 결국 문제는 나의 몸뚱어리일 뿐 바지 점박이들은 어제 비 맞고 집 도착하자마자 찍은 거라 이해 좀요,"편하다, 도착, 점박이, 오지, 이해, 어제, 편하다, 바지, 문제"
턱이 잡혀있어서 포인트 주기 좋습니다 바지가 여유롭게 크니까 좋네요 스웨트 팬츠는 제로에서 인기 있는 제품 일만 합니다,"여유롭다, 팬츠, 바지, 일만, 인기, 제로, 포인트, 턱, 주기"
제가 생각한 그런 운동복 핏이 딱 나와서 너무 좋아요 두께감도 적당하고 약간 진짜 자주 입을 수 있는 무릎 나오면 하나 더 사서 입으려구요 전투용으로 데일리용으로 너무 좋은 상품입니다,"상품, 적당하다, 나오다, 나오다, 구, 전투, 운동복"
적당히 두께감이 있어서 가을 초겨울 시즌에 입기 좋을 듯합니다 살짝 루스한 핏을 원했는데 사이즈도 길이도 딱 좋아요 편하고 예뻐서 아마 손이 자주 갈 거 같네요 닳을 때까지 입고 다닐 예정,"적당하다, 사이즈, 편하다, 시즌, 손, 길이, 루스, 초겨울"
옆면 실루엣도 이쁘게 나오고 기장도 신발 살짝 덮는 게 적당하네요 일단 올해의 신발인 온 트리에 찰떡인 것만 봐도 살 가치가 있습니다,"적당하다, 신발, 기장, 올해, 가치, 신발, 나오다, 트리"
