Review,Keyword
만족해요 크게 입는 거 추천 농구선수가 입는 바지 느낌 나용,"농구선수, 추천, 바지, 나용, 크게"
와이드핏으로 크게 입을 수 있어요 시 웡해요,"와이드핏, 크게, 시웡"
사이즈가 클 줄 알았는데 생각보다 안 크고 허리가 해서 좋습니댜 근데 걷다 보면 살짝 내려가는 감이 없지 안 한 있어 허리는 한 번 접어 입는 게 젛았어요 오,"젛었오, 사이즈, 허리, 접다"
몸무게가 많이 나가 작진 않을까 했는데 너무 잘 맞내요,"작다, 몸무게"
첨엔 생각보다 안이 뻐보여서 실망했는데 입 다 보니 푹 빠져버렸어요 너무 좋아요,"실망, 푹빠지다버리다"
너무 편하고 허리도 해서 개미 허리이신 분들도 입을 수 있어요,"개미허리, 편, 허리"
넘 귀여워용 입어보고 며칠 후에 다른 색도 삿어용 버뮤다 핏 같이 나와서 좋아요,"입어보다, 귀엽다, 나오다, 핏, 며칠후, 색도, 삿어용, 흑흑, 버뮤다"
정말 정말 편하고 스타일 있어 보이고 이 쁘고 삼 위일체,"와이드핏, 크게, 시웡"
너무 만족스러운 바지 입니다 꾸안 꾸 무드 낼 때 최고네요,"젛었오, 사이즈, 허리, 접다"
바지 너무 이쁘다 본인 평소 사이즈 보다 크게 사셔서 버뮤다 팬츠 느낌으로 입으시면 완젼 굳 입니다 너무 편하고 요즘 더워서 이 친구한테만 손이 가서 저는 블랙 컬러도 구매할려고 합니다 다달 겟하세요,"작다, 몸무게"
무릎까지 오는 기장이 마에 들고 편하고 좋습니다,"실망, 푹빠지다버리다"
예부다 요 다리 굵어 보인다고 해서 걱정했는데 저는 그런 거 없음,"개미허리, 편, 허리"
기장도 적절하고 봄 여름 가을에 입 기 좋아요 추천합니다,"입어보다, 귀엽다, 나오다, 핏, 며칠후, 색도, 삿어용, 흑흑, 버뮤다"
좋네요 길이도 적당하고 가성비가 좋섭니 다 원단 고 탄튼 하니 맛집 인정,"편하다, 스타일, 삼위일체"
저와 같은 신체 스펙을 가지 신 분들이라면 구매 사이즈가 딱 원하는 기 장 나올 것 같구 요 제로는 가성비 맞춤 브랜드인 듯 합니다 자주 입게 되니 구매 강추,"무드, 만족스럽다, 꾸안꾸"
진짜 살까 살까 한참 고민 하다가 요즘 힙 한 거에 빠져서 샀는데 최고의 선택 저랑 스팩이 비슷하시다면 추천,"편, 바지, 블랙컬러, 버뮤다팬츠"
통은 마음에 드는 데 길이는 조금 길어서 수선 맡겼어요 휘뚜루 마 뚜루 입 기 좋아요,"편, 기장"
무릎 가리는 반 바지를 한 참 찾았었는데 이 바지 정말 딱 제가 원하는 반 바지에 요 너무 길어서 여름에 더울꺼 같다가도 통이 넓어서 바람이 잘 드와 서 시 원시원합니다 힙쟁이 반바지 추천추천합니다 꼭 사세요,"다리, 부다, 굵다보이다, 없다, 걱정, 그렇다"
길이가 애매해서 허리에 입으면 무릎 반절까지 오고 골반에 걸쳐 입으면 무릎 다 덮게 입을 수 있어요 대신 허리에 입으려면 좀 꽉 조여야 하는데 허리도 해요 두께도 후기들 보니까 여름에 입긴 더울 것 같다던데 못 입을 정도는 아니예 요 편하게 박스티랑 입어도 좋고 쪼금 드레스업 해서 입어도 좋아요 잘 입고 다닐 것 같아요,"봄여름가을, 기장, 추천"
처음 입어 보았을 때는 억수로 컸지만 계속 입 다 보니 적응되서 이쁘게 입고 다녀 요 가격도 저렴해서 자주 입을 듯합니다,"맛집, 길이, 틀다, 가성비"
소재도 좋고 핏도 야무지게 잘 빠져서 여름에 잘 입을 꺼 같습니다,"맞춤브랜드, 강추, 신체스펙, 사이즈, 가성비"
버뮤다 팬츠 찾다가 후기가 괜찮아서 사봤는데 너무 이쁜 걸료 두께감이 조금 있지만 괜찮았어요 착용 감도 편하고 좋았습니다저의 키에 허리 맞춰서 입으면 사진상 길이고 짧게 입고 싶으시면 한번 걷어 올려서 입으면 무릎은 보였어요,"다리, 부다, 굵다보이다, 없다, 걱정, 그렇다"
오버하고 여름에 남들 관 좀 다른 코디가 가능하네요,"봄여름가을, 기장, 추천"
원하던 핏 감입니다 두께도 적당하고 제가 찾던 제품입니다,"맛집, 길이, 틀다, 가성비"
너무 맘에 들어 요 왕크니까 왕 귀야운 느낌 히 다들 사 세야,"맞춤브랜드, 강추, 신체스펙, 사이즈, 가성비"
골반걸치면 무릎 밑으로 떨어져 소 저는 그렇게 내려 입어요 그게 더 힙스럽거든 쿄,"최고, 한참, 고민, s살다, 스팩, 힙한거, m추천, m살다, 선택"
오히려 귀여웡 길이 이렇게 애매한 거 삘 받아서 삿는 디 너무 귀엽잖아 물론 내가,"통, 길이, 휘뚜루마뚜루, 수선"
입니다 사이즈를 샀는데 허리가 엄청 남아 요 길이 생각해서 주문하실 꺼면 사는 게 좋고 딱 맞게 입고 싶으시면 추천합니다,"여름, 통, 반바지, 힙쟁"
두꺼워서 가을까지 잘 입을 수 있을 거 같고 기장이랑 통이 너무 맘에 들어 요 아 근데 생각보다 뭐 묻으면 잘 안 지워지니 다들 조심해서 입으세요 아 그리고 제 체격이시면 무조건 하세요 허리 안 그래도 커서 꽉 조여 입어야 하는데 사이즈 사면 정말 그냥 흘러 내릴 거 같아 요 다들 사고 휘뚤마뚤 템 정착하세요,허리
요즘엔 바지를 이렇게 입는다면서 요 유행 겨우 따라가기,"적응, 저렴, 억수"
저희 어머니가 입으셨는데 잘 어울리셔서 어머니 드렸습니다 옷 이쁘네요,"여름, 소재, 핏"
부담스럽지 않은 와이드 핏 생각보다 쪼오끔 두꺼웠는데 한 여름 빼고는 입을 수 있을 거 같네용 핏 너무 이 쁘고 여기서 사길 잘했네요,"후기, 착용, 허리, 걸, 무릎, 짧다, 키, 버뮤다팬츠"
와일드하게 잘 떨어지구 턱 부분이 위에서부터 이어졌으면 더 좋았을 것 같아 요 상품은 예뻐요,"코디, 오버, 여름, 남, 가능"
학교 여자애가 입은 거 보고 귀여워서 샀는데 내가 입어도 귀엽네요,"두께, 제품, 핏감"
엄청 얇지도 엄청 두껍지도 않아 요 되게 여유 있고 편안합니다 허리 얇은 편인데도 하리 잘 맞네요,"왕귀야운, 왕크다"
바지 너무 맘에 들어 요 뽀잉 뽀잉 인 저에게 사이즈 딱 조아요,"후기, 착용, 허리, 걸, 무릎, 짧다, 키, 버뮤다팬츠"
버뮤다 팬츠 찾고 있어서 구매했는데 완전 만족합니다,"코디, 오버, 여름, 남, 가능"
아주 아주 만족 핏이 이 쁘고 아주 편해서 매일 입어요,"두께, 제품, 핏감"
두껍지 않아서 여름에 입 기 좋고 핏이 너무 예뻐요,"왕귀야운, 왕크다"
무릎 덮이는 기장이에요 사이즈 시킬 걸 죄끔 후회되지만 핏 좋고 예뻐요 잘 입구 다닐 것 같아옹,"무릎밑, 소, 힙스럽, 골반걸치다"
긴 버전 마음에 들어서 반바지 버전으로도 샀는데 원하는 느낌 그대로예요,"귀, 귀엽다"
너무 이쁩니다 살까 말까 고민을 했는데 고민한 시간이 아깝네요,"L, 허리, M, 길이"
기장굿소재 굿 사이즈 굿 생각보다 두꺼운데 막상 입으니 덥진 않네요 다만 건조기 세탁 시 수축 현상 좀 있읍니다 참고하시길,"무조건, 조심하다, 사면, 묻다, 허리, s, m사이즈, 휘뚤마뚤, 커서, 꽉조여, 그냥흐르다내리다, 두껍다, 통, s사고, 가을, 체격시, 정착, 기장이랑, 자다지워지다"
야무지 고 아삭아삭하고 탱글탱글한 게 맛도 리네요,"유행, 바지, 따라가다"
사이즈도 정말 너무 적당하고 가격도 너무 착해요 추천,어머니
크기도 하고 재질 좋아요 두께감 있어서 한 여름엔 더울 거 같아요,"여름, 와이드, 두껍다, 핏"
얇아서 여름에도 입기에 충분합니다 원래 입던 사이즈보다 한 사이즈 업해서 입는 거 추천 드려요,"상품, 와일드, 턱, 위"
버뮤다 팬츠 처음 사보는데 생각했던 것보다 너무 예뻐서 놀랐습니다 다양한 코디에 적용할 수 있을 것 같아요,"여자애, 귀엽다, 내, 학교"
사이즈 버뮤다 스웻팬츠를 찾다가 너무 유명한 제품이라서 제로 제품으로 결정했는데 가격도 싸고 안감이 메쉬 두께도 일반 면보다 얇아서 시원하게 잘 입었습니다 밴딩이 되게 하고 기장감은 약간 올려입으면 저 사진 정도 고 그냥 입으면 무릎보다 약간 내려옵니다 랑 고민했는데 저처럼 와이드 좋아하시면 사이즈 추천 드려요 메쉬 소재라서 핏이 덜 이 쁘면 어쩌나 생각했는데  더 이 쁜 것 같아 요 그냥 반팔 티랑 입어도 이 쁘고 무지티에 반팔 셔츠 열어 입어도 이 쁘더라구요제가 산 제품 중에 활용도가 제일 좋아요,"얇다, 편안, 허리, 두껍다, 하리, 여유"
다들 메쉬 사세요 훨씬 시원하고 편해요 다만 보풀이 금방 일어남,"여름, 와이드, 두껍다, 핏"
진짜 짱 시원해 요 매쉬 소재로 가는 것을 추천합니다 일반 소재랑 겉보기에 다른 게 없으니 더 시원한 게 낫지 않을까요,"상품, 와일드, 턱, 위"
기준 한 버뮤다핏 받으려면 라지 사이즈 가셔야 합니 당 참고하세요,"여자애, 귀엽다, 내, 학교"
검정색도 하나 사려고요 만족합니다 길이 딱 좋아요,"얇다, 편안, 허리, 두껍다, 하리, 여유"
남자친구 꺼라 엠사이즈 샀는데 내가 입어 봄 나는 에스 입으면 좋을 듯 허리하고 좋음 실밥은 좀 나와 있어서 아쉽,"뽀잉, 바지, s사이즈"
바지가 커서 원하는 핏이 나와서 좋았습니다 이제 여름인데 정말 좋고 가성비도 좋은 거 같습니다,"만족, 버뮤다팬츠"
도 좀 크긴 하지만 힙하고 조씁니다 근데 면이 두꺼워서 한 여름에는 좀 더울 것 같아요,"편, 만족핏"
편하고 힙하네요 이 시대의 트랜디 세러라면 필수템,"여름, 핏, 두껍다"
버뮤다 팬츠는 처음 입어보는데 핏이 정말 맘에 드네요,"핏, 무릎덮이다, 기장, m사이즈"
제로 긴 바지 너무 잘 입어서 버뮤다 팬츠도 제로에서 샀어 욤 너무 클까바 걱정 햇는데 딱 좋은 크기에 요 귀여워요,"반바지버전으로도, 원하다그대로, 들어서다"
사이즈는 사이즈 착용했는데 예쁜 핏으로 잘 맞는 거 같아 요 반팔티나 맨투맨 후드티로 무난하게 스타일링 하니까 예쁜 거 같아요,"고민, 살까맣다"
요즘 같은 날씨에 아무 때나 입 기 너무 좋은 옷입니다,"소재, 건조기, 두껍다, 사이즈, 기장"
일단 넘 편하고 핏도 제가 생각했던 그대로라 만족해 용 존예,"아삭아삭, 탱글탱글하다, 야무지다"
사이즈도 적당하고 핏도 마음에 들어서 잘 산 거 같아요,"사이즈, 가격, 추천"
진짜 편하고 입어보면 통이 막 엄청 크지 않아 요 코디하기도 좋고 진짜 여기저기 다 활용하기 좋아용,"고민, 살까맣다"
저는 상체에 비해 하체가 좀 있는 편이라 반 바지를 잘 안 입는데 이건 후기가 괜찮아 블랙이랑 같이 구매했는데 저 같은 하비분들은 정말 추천 드려 요 저는 무릎 정도까지 오고 양말이랑 같이 신으니깐 정말 예뻐요 핏 색감 재질 어느 하나 빠질 거 없이 너무 만족하는 바지입니다 저랑 신체 조건 비슷한 분들은 추천 드려요 허리도 하게 잡아줘서 매우 강추,"소재, 건조기, 두껍다, 사이즈, 기장"
구매한 지 주도 안 됐는데 이렇게 나 많이 입었네요 가성비 최고,"아삭아삭, 탱글탱글하다, 야무지다"
원단도 좋고 핏도 이 쁘게 잘 떨어지네요 너무 이 뻐요,"사이즈, 가격, 추천"
살까 살까 고민했는데 은 통이 큰 것 같아서 샀는데 너무너무 좋아요 길이도 무릎을 딱 가려줘요 제스펙이신 분들은 가 좋을 것 같아 요 메쉬라 시원하고 후들 후들 딱 떨어지는 핏이라 너 무너무 이쁩니다 당장 사세요,"재질, 널널, 두께감, 한여름, 크기"
색이랑 두께감 다 좋아요 엄청 더울 때 빼고 휘뚜루 마뚜루 잘 입고 다닐 거 같아 여,"얇다, 추천드리다, 업, 여름, 원래, 사이즈, 충분하다"
메시로 사서 여름에도 잘 입을 거 같아 요 맘에 들어요,"코디, 팬츠, 버뮤다"
바지 귀엽고 예쁨 다들 사셈 편함 추천해요 굿 아주 굿,"밴딩, m, 일반, 가격, mesh, 무릎, M사이즈버뮤다, 메쉬, 스웻팬츠, S, 자다, 그냥, 사진, 핏, 내려오다, 덜, 제로, 처럼, 촘촘하고, 제품, 기장감, 얇다, 추천드리다, 싸다, 와이드, 좋아하다, 안감, 팔티, 고민, 어쩌나, 올리다, 사이즈, 시원하다, 두께, 소재라서"
내려 입어서 와이드 한 버뮤다 느낌으로 입 기 좋습니다,"메쉬, 시원, 편, 보풀"
딱 제가 원하던 느낌에 편한 건 말할 것도 없구요 왜 이걸 이제 샀 나 싶을 정도예요,"매쉬소재, 일반소재, 시원하다"
작년에도 구매해서 입 다가 이 번년에도 주문 해서 받았는데 작년 꺼에 비해 가 벼운 느낌이 들어 살펴 봤더니 원단 코튼 함량이 에서 으로 줄었네요 물가 상승으로 인한 원가 절감을 위함 이였던 건지 차라리 가격 상승을 하는 게 어땠을까 하는 아쉬움이 남습니다 명성 얻은 다음 조용히 원단 바꿔 버리는 건 조금 짜치는 느낌이 없지 않아 있네요 예전엔 추천 할 만 한 옷이였는데  이 젠 아닌 거 같아요,"참고, 넉넉하다, 버뮤다핏, 라지, 사이즈"
봄여름 가을 동안 잘 입을 것 같습니다 핏 이 쁘고 여기저기 다 잘 어울립니다,"길이, 검정색, 만족"
이 거 웨 안 사 형들 완전히 기본템 사세요 그냥 이 쁨,"실밥, 엠사이즈, 에스, 남자친구"
바지가 너무 길지도 않고 짧지도 않은 딱 좋은 길이 감 무엇보다 모든 코디에 어울리는 바지라서 너무 만족하고 있음 이번 여름 이 바지로 제대로 보낼 예정입니다,"커서, 여름, 핏, 가성비, 원하다"
제주도 여행가서도 잘 입었어요 편안하지만 기장감이랑 핏이 독특해서 매력적입니다,"참고, 넉넉하다, 버뮤다핏, 라지, 사이즈"
너무 예쁘고 좋은데 두껍다는 점 옷이 하기 때 매 참고 입습니다 옷은 굳,"길이, 검정색, 만족"
완전 이 뻐요 이런 스타일의 반바지도 있어야 한다고 봅니다,"실밥, 엠사이즈, 에스, 남자친구"
한 소재이고 기장도 제가 생각한데로 핏이 나와서 너무 마음에 들어요,"커서, 여름, 핏, 가성비, 원하다"
면도 보들보들하고 허리 밴딩도 하고 아주 귀엽습니다,"힙, 덥다, 한여름, 두껍다"
메쉬 소재라 시원하고 올 여름 최애 바지에 요 휘뚜루 마 뚜루 막 입어도 너무 예뻐요 꾸안 꾸룩으로 최고인 거 같아 요 반팔이랑 편하게 입어도 너무 예뻐요,"힙, 편, 필수, 트랜디세다"
시원합니다 빈민촌 흑인 래퍼가 된 듯한 반바지 입니다,"핏, 팬츠, 버뮤다"
바지가 귀여워서 매일 입고 다녀 요 조금 크긴 한데 원하는 핏입니다,"귀엽다, 팬츠, 바지, 제로, 버뮤다"
딱 생각한 핏 그대로 입니다 믿고 사는 제로 담에 또 구입할께요,"팔티, 스타일링, 핏, 사이즈, m사이즈, 맨투맨후드티"
처음 딱 입었을 땐 너무 과하다라고 생각할 수도 있지만 원래 이 맛에 입는 거니 당황하지 마시고 그냥 입으시면 됩니다,날씨
랑 이랑 되게 고민 많이 했는데 은 너무 클 것 같아서 로 샀더니 딱 괜찮은 것 같아 요 암튼 너무 맘에 들어서 검정도 샀음,"편, 존예, 핏"
그냥 이 아니라 정말 좋습니다 구매 강추 합니다,"사이즈, 핏"
마메드로마메드로 핏 마메드로 츄리닝 제로 다들 제로에서 사셔 유 한 여름 독서실 룩 완성,"통, 편, 활용, 코디"
역시 믿고 사는 제로 스웻입니 당 재질 좋고 통 좋고 편해서 손이 많이 가네용 기장이 좋기는 한데 조금만 더 길었으면 좋았을 꺼 같아 용 그래서 골반에 걸쳐 입는 중,"색감, 하체, 양말, 허리, 재질, 탄탄하다, 강추, 블랙, 핏, 하비분, 상체, 반바지"
헬스할 때와 데일리로 입으려고 구매했습니다 구매한 사이즈는 입니다 신체 치수는 고 상체에 비해 하체가 굵은 체형입니다 허벅지가 입니다 하체가 많이 두꺼운 편이라 반 바지를 입 기 꺼려 했었는데 이번 버뮤다 팬츠 보고 어느 정도 굵은 다리를 커버해줄까 싶어 구매했습니다 배송 받아보니 무게감은 적당하고 재질이 부드럽고 잘 늘어나서 착용 감 아주 좋습니다 무엇보다 두꺼 운 다리를 많이 커버해주네요 원단도 마냥 얇고 흐물 흐물한 게 아니라 어느 정도 하고 핏도 잘 잡아 주네요 허벅지 때문에 반 바지 입기 꺼려하시는 분들에게 강 추 드립니다 기장은 무릎 슬개골까지 덮어주는데 종아리도 두껍기는 하지만 상대적으로 얇은 종아리만 보여서 더 핏이 좋은 것 같네요 제 후기가 허벅지 때문에 바지 하나 사기 힘드신 분들 구매하실 때 도움이 되면 좋겠 습니다,"편, 존예, 핏"
언제나 입 기 편한 버뮤다 팬츠의 정석입니다 소재가 정말 부드러워서 진짜 잘 입고 다니고 있습니다 기장이 딱 예쁠만한 버뮤다 팬츠 같아서 핏도 만족스럽습니다 이 핏을 또 원턱 디테일이 풍성하게 살려줘서 더 좋습니다 캐쥬얼 스트릿 등 어느 코디에도 다 어울리는 팬츠라 생각합니다,"사이즈, 핏"
딱 우리가 원하는 그 옷 맘에 듭니다 해서 좋네용,"통, 편, 활용, 코디"
이랑 랑 사이즈 고민 엄청 했는데 제 스펙이면 과감히 로 가시면 됩니다,"색감, 하체, 양말, 허리, 재질, 탄탄하다, 강추, 블랙, 핏, 하비분, 상체, 반바지"
가격 대비 정말 좋은 상품 같습니 당 편해서 요즘 손이 자주 가요,"최고, 가성비"
사이즈 고민 많이 했는데 딱 예쁘고 잘 맞게 산 거 같아 요 배송 빨라서 좋았어요 기장이나 통은 예쁘게 잘 맞아요 세탁 후 건조기 돌려도 줄어들지 않아 요 착한 가격에 좋은 퀄리티의 예쁜 바지 잘 구매한 거 같아요,"원단, 핏"
가성비 좋은 듯 해용 걍 집 앞 산책 나갈 때나 학교 갈 때 대충 입을 때 입고 나가기 좋아용 저한테는 키 살짝 길어서 길이는 조금 수선했는데 무릎 완전히 덮고 종아리까지 오는 기 장 원하시는 분들은 수선 안 하셔도 될 듯요,"시원, 길이, 후후, 메쉬, 통"
지쳐가던 수험생활을 활기로 불어넣어준 옷입니다 감동의 눈물이 흐를 정도로 교복보다 더 교복이 되었네요 정보 캐간 친구들만 수두룩입이 다 이 무더운 여름 제로 반바지와 함께라면 행복하게 보낼 수 있을 듯 합니다 우선 길이 아주 좋습니다 무릎을 스리 슬쩍 덮어주는 적당함 턱으로 중간 잡아주는 것도 매력적이죠 흡 사이즈는 더 이상 물을 것도 없네요 정말 저를 위해  만들었나 싶을 정도로 안성맞춤입니다 구매 당장 하세요 제에 발,"휘뚜루마뚜루, 두께감, 색"
길이 좋아 용 핏도 예뻐용 다른 색으로 또 사고 싶어요 여름 동안 이것만 입을 것 같아요,"여름, 메시"
핏도 이 쁘고 제가 생각한 느낌 그대로라 이 쁩니다,"편하다, 굿, 귀엽다, 추천"
평소 일반 반바지 입다가 와이드 한 반바지를 입으니 좋네요 재구매 의사 있습니다,"내다, 와이드, 버뮤다"
버뮤다 트레이닝 중에서 무난하면서도 원턱으로 포인트 주기 좋은 팬츠에 요 강추,"편하다, 편"
편하게 자주 입 기 딱 좋네요 가성비도 최고입니다,"원단, 코튼, 명성, 추천, 원가절감"
멸치에게 사이즈 사면 혹여나 너무 크지 않을까 조금 걱정했지만 허리도 딱 맞도 버뮤다 팬츠로써 딱 예쁜 핏 나와서 너무 마음에 들어 요 키가 저랑 비슷하다면 사이즈 로 가시길 추천 합니다,"여기저기, 봄여름가을, 핏"
여름에 대충 꾸안꾸로 입기 좋은 것 같아 요 예쁩니다,"내다, 와이드, 버뮤다"
디자인 무난한 디자인에 모두 다 아는 회색 트레이닝 바지입니다 그러다 보니 활용도 굿 국밥 템 사이즈 사이즈를 구매하였고 통 기장 모두 좋습니다 기장은 무릎을 가리는 정도에 기장입니다 저한테는 길이가 딱 이쁜 거 같아 용 착용 감 말해 뭐 해 겁나 편합니다 여름에 이것만 입을 거 같음 진짜 강추합니다 총평 가성비로 최고라고 생각합니다 반 바지 입고 나가니깐 어디 서 샀냐고 해서 바로 추천해줬습니다 다른 색상도 구매하겠습니다,"편하다, 편"
데일리로 입 기 너무 조코 핏도 개이 뻐요 길이는 살짝 길어서 허리 한 번 접어 입으니까 딱 좋고 위에 맨투맨이나 후드 티랑 입으니까 완전 맨 다들 하나쯤은 가지고 있으면 매우 좋을 듯,"원단, 코튼, 명성, 추천, 원가절감"
길이도 딱 원하는 정도였고 두께나 핏이나 다 마음에 들었어요,"여기저기, 봄여름가을, 핏"
기장감도 딱 예쁘고 핏이나 색상도 맘에 들어 요 역시 인기 많은 이유가 있네요,기본
시켜서 짧을까 걱정했는데 무릎 덮는 기장에 색이랑 통 다 마음에 들어요,"여름, 코디, 길이감"
무엇보다 기장감이 이 쁘고 정말 편해서 손이 많이 가네요,"편안, 핏, 제주도, 기장감, 매력"
좀 많이 큽니 다 근데 전 무릎 밑으로 내려오는 반 바지 사고 싶었어가지고 넘 만족합니당 친구가 제 바지 보더니 너 일부러 바지 내려입은 거냐고 했지만 전 그런 바지를 원한 게 맞습니다 이 뻐요,"굳다, 탄탄, 두껍다"
바다에 빠지는 바람에 모양새가 이 쁘진 않지만 기장이 적당히 길어서 핏이 너무 예뻐요 처음에 배송 왔을 때는 잘산 건가 싶었는 입고 보니까 너무 좋아서 교복 마냥 입고 있습니다 굿,"스타일, 반바지"
