Review,Processed_Review,keyword
일단 배송 빨리해주셔서 감사드려요 아이보리 넘나 맘에들어서 블래도 구매했네요 날 풀리면 잘입어질거 같아요^^,일단 배송 빨리해주셔서 감사드려요 아이보리 넘나 맘에 들어서 블랙도 구매했네요 날 풀리면 잘 입어질 거 같아요,"해주다, 감사, 아이보리, 드리다, 넘다, 들어서다, 풀리다, 블랙, 빨리, 배송"
와 진짜 핏이 너무 좋아서 사진만 30분 찍었어요 학생이라 다소 부담스러운 가격이었는데 정말 만족합니다 마뗑킴 사랑해요 이쁜 옷 많이 내주세요ㅜㅠㅠ,와 진짜 핏이 너무 좋아서 사진만 분 찍었어요 학생이라 다소 부담스러운 가격이었는데 정말 만족합니다 마뗑킴 사랑해요 이쁜 옷 많이 내주세요,"찍다, 내주다, 학생, 부담스럽다, 사랑, 사진, 만족하다, 가격, 오다, 마뗑킴"
남자가 입기에는 작이서 레이어드해서 입어야돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐같으면서도 싸구려 바스락거리는 비닐도 아닌게 묘하게 매력있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트랜드를 잘 아는거같아요... 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘되요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,남자가 입기에는 작이 나서 레이어드해서 입어야 돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐 같으면서도 싸구려 바스락거리는 비닐도 아닌 게 묘하게 매력 있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트렌드를 잘 아는 거 같아요 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘 돼요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,"돼다, 아니다, 비닐, 요령, 만큼의, 푸다, 결론, 트렌드, 솔직하다, 터득"
예쁜데 냄새가 너무 심해서 놀랬어요..ㅠㅋㅋ 유행 지나서 살까말까 했는데 예뻐요 컬리티는 그냥 그래요.. 따뜻해지면 더 예쁠듯 ,예쁜데 냄새가 너무 심해서 놀랬어요 유행 지나서 살까 말까 했는데 예뻐요 퀄리티는 그냥 그래요 따뜻해지면 더 예쁠 듯,"놀래다, 지나다, 유행, 심하다, 퀄리티, 따뜻하다, 말다, 그렇다, 그냥, 살다"
생각보다 두께랑 사이즈 널널해서 놀랏네여 자주입을거같아요,생각보다 두께랑 사이즈 널찍해서 놀랐네요 자주 입을 거 같아요,"널찍하다, 두께, 사이즈"
예뻐요 감사합니다 시큼한 냄새가 나긴해여 ㅎ 입고되서 바로 삿습미다,예뻐요 감사합니다 시큼한 냄새가 나긴 해요 입고돼서 바로 삿습미다,"삿습미, 시큼하다, 나다, 돼다, 냄새"
와이프 선물로 사줬어요 후기는 제가 쓰네요 남녀공용이라 다 잘어울리는것같아요 ㅎ,와이프 선물로 사줬어요 후기는 제가 쓰네요 남녀 공용이라 다 잘 어울리는 것 같아요,"쓰다, 와이프, 후기, 공용, 사주다, 남녀, 어울리다, 선물"
요새 마며들어서 (마뗑킴에 스며들어서) 마뗑킴 코팅점퍼도 구매했오용 겉으로 보면 레더 점퍼처럼 보이는데 유광 느낌의 얇은 바스락 점퍼입미다!! 얇아서 오히려 가볍고 힙하고 편해용 ㅠㅠ👍👍 번창하세용🤗🤗,요새 말며 들어서 마뗑킴에 스며들어서 마뗑킴 코팅 점퍼도 구매했오용 겉으로 보면 레더 점퍼처럼 보이는데 유광 느낌의 얇은 바스락 점퍼 입기다 얇아서 오히려 가볍고 히프하고 편해요 번창하세요,"점퍼, 마뗑킴, 스며들다, 얇다, 번창, 레더, 보이다, 들어서다, 코팅, 말다"
남자가 입어도 충분한 사이즈네요 할인받아서 저렴하게 잘 구매했네요,남자가 입어도 충분한 사이즈네요 할인받아서 저렴하게 잘 구매했네요,"충분하다, 할인, 저렴하다, 남자, 받다, 사이즈"
일단 빠른배송 감사드려요 생각보다 빨리왔더라구요 아이보리 입고 만족스러워서 블랙도 주문했네요 날풀리면 잘 입어질거같아요,일단 빠른 배송 감사드려요 생각보다 빨리 왔더라고요 아이보리 입고 만족스러워서 블랙도 주문했네요 날 풀리면 잘 입어질 거 같아요,"감사, 아이보리, 드리다, 주문, 풀리다, 만족스럽다, 블랙, 빨리, 오다, 빠르다"
