Review,Keyword
가성비가 좋고 디자인이 예뻐요 유행 없이 입을 수 있어요,"가성비, 유행, 디자인"
진짜 완전 이 뻐요 핏도 완전 이쁘고 사이즈도 괜찮구 제 최애 티,"사이즈, 핏"
옷 가볍고 목 부근 이 한 거 같아서 좋아요 디자인도 심플해서 입 기 좋은 것 같습니다,"목, 가볍다, 디자인, 심플함"
날씨가 갑자기 더워져서 구매 했는데 역시 디자인 최고네여,디자인
운동할 때 입을 려고 삿어요 그냥 저냥 입기 좋은 핏입니다,"운동, 절, 핏"
핏이랑 디자인 다 맘에 들어 요 재질도 여러 번 빨았는데도 하고 프린팅도 선명해요 그냥 휘뚜루마 뚜루 입을 수 있어서 손이 자주가는 옷입니다,"디자인, 재질, 핏, 프린팅, 선명, 휘뚜루마뚜루"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,"깔다끄다, 재질"
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 삿어용 생각보다 맘에 들고 다른 색으로 하나 더 살까 고민즁이 애여,"검정, 착용, 색깔"
아들이 입고 싶다고 해서 주문했는데 맘에 들어 하네요 여름 면 티치고 좀 도 톰한 편이고 스판끼가 좀 있는 느낌이예요 폴리가 조금 섞여 있어 으면 하는 바램이 드네요,"도톰, 여름, 폴리, 면티, 스팔"
배송 빠르게 왔습니다 재질 디자인 마음에 들어 요,"디자인, 오다, 재질, 빠르기, 배송"
아니 일단 포장부터 로고 너무 이 쁘고 내 스펙에 가 진짜 찰떡 스투시 하위 호환 가 태요,"로고, 스텝"
총기장이 길어도 사이즈 핏이 예뻐요 프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정 없겠어요 선물용으로 구매했다가 예뻐서 제가 입습니다,"총기장, 선물, 선명하다, m사이즈핏, 프린트, 세탁, 깔끔하다"
역시 한국의 스투시 등판 그래픽 기가 막히고 원단도 얇지만 하니 좋습니다,"원단, 그래픽, 막히다"
배송 빨라요 그리고 너무 이 뻐요 근데 길이가 조금 길어요,"길이, 배송, 빠르다"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아 요 한 핏이여서 여름에 입 기 좋은 반팔이에요,"깔다끄다, 팔, 재질"
생각한데로 업청 편하고 오버핏으로 한 사이즈 크게 샀는데 좋습니다,"업청편, 오버핏"
해요 비침 없어요 두께 적당해요 디자인 맘에 들어요,"두께, 비침, 디자인"
선물줄려고 주문했어요 생일 날 맞춰서 배송도 빠르게 왔고 오버핏으로 사이즈도 잘 맞을 거 같아 요 면이 좋아요 프린트도 선명하고 깔끔해서 여름에 잘 입겠어요,"좋아하다, 선물주기, 프린트깔끔하다, 배송빠르기, 생일선물, 오버핏, 사이즈잘맞다"
역시 한국의 스투시 그래픽 기가 막히고 원단도 하니 좋습니다,"원단, 그래픽, 막히다"
예뻐요 해외여행 시 갈 때 편하게 레깅스랑 티만 입고 갔는데 티가 멋스러워서 꾸안 스트로 편하게 다녀 왔러요,"편하다, 해외여행, 티셔츠"
옷이 엄청 이 쁘고 편하게 입기 좋아요 살까 말까 고민중이면 사세요,"편하다, 살까맣다, 고민중"
깔끔하고 좋습니다 쿠폰 적용해서 저렴하게 구매했네요,"쿠폰, 저렴하다가격, 깔다끄다"
배송도 빠르고 옷 뒤 가 너무 이 뻐서 마음에 들어 요 근데 조금 길어요,"뒤, 빠르기, 길이, 배송"
운동할 때 입으려고 샀는데 색깔도 선명하고 핏도 잘 맞고 여러모로 합리적으로 잘 산 거 같아 요 맨들맨들 한 면 반팔티 입니다 여러 가지로 모으고 싶네요,"합리, 팔티, 맨맨, 핏, 색깔"
길이가 좀 길어서 엉덩이를 덮고도 남아 요 재질은 좋아요,"엉덩이, 길이, 재질"
단독으로만 입어도 좋고 얇은 셔츠에 레이어드해서 입어도 좋습니다 등 쪽 프린팅이 커서 포인트 되는 것도 예뻐욥 오버핏 좋아해서 크게 샀어요 엉덩이 다 덮고 살짝 더 내려감,"등쪽프린팅, 엉덩이"
깔끔하니 편하게 입기에 너무 좋습니다 사이즈도 오버핏이라 하니 좋구 디자인이 맘에 들어요,"편하다, 디자인, 사이즈, 오버핏, 깔끔하다"
옷 예쁘고 좋아요 사이즈 클까봐 걱정했는데 딱 좋아요,"크다, M사이즈, 걱정"
배송은 일 정도 걸렸습니다 디자인은 뒷면에 크게 박힌 브라운 브레스 로고가 포인트이고 예쁩니다 디자인은 화면과 같구 요 핏도 예뻐요 아쉬운 점은 가격에 비해 질이 그렇게 좋진 않은 거 같아 요 생각보다 얇고 잘 늘어 날 거 같아 요 그래도 디자인은 예뻐요,"배송, 로고, 디자인, 핏"
배송 일단 배송이 빨리 와서 좋았어요 주말 사이에 끼고 일 만에 온 거 같아 요 디자인 디자인은 깔끔하고 뒷 부분에 있는 큰 브라운 브레스 로고가 포인트 인 거 같아 요 어디든 무난하게 잘 어울리고 편하고 예뻐서 손이 많이 가요 데일리 꾸안 꾸룩으로 너무 예쁜 제품이에요,"브레이스, 배송, 로고, 디자인"
옷 질감이 좋고 평상시에 입고 다니기 좋은 거 같아 요 사이즈도 살짝 오바핏인 거 같아요,"사이즈, 오바핏, 질감, 평상시"
오버핏으로 와이프 사주었는데 잘 어울리게 이쁘게 잘 입을 거 같네요,"와이프, 오버핏"
사고 싶어서 한 달 넘게 고민하다가 샀는데 고민한 시간이 너무 아까웠어요 프린팅 너무 이 쁘고 재질도 아주 살짝 비치는 재질이지만 거의 안 비쳐요 저한테는 사이즈가 좀 커서 건조기 돌려서 입었더니 딱 맞았어요 마감 처리가 조금 별로 긴 했는데 신경을 잘 안 쓰는 편이라 전 괜찮았어요 가을 되면 후드티도 사려구요 너무 이뻐 여 진짜,"사이즈, 프린팅, 마감, 재질"
뒤에 로고가 유니크하고 하나만 입어도 스타일이 사는 느낌이 네용 원단이 좋아 보여서 목 늘어남 도 없이 깔끔합니당,"목, 스타일, 원단, 로고"
엄청 잘 입고 있어요 많이 입은 탓이라 그런지 엉덩이 쪽에 보풀이 생기는 거 빼고는 색상 착용 감 다 좋아요 구매할 맛 납니다,"엉덩이, 착용, 색상"
믿고 보는 브라운 브레스 굿입니다 깔끔하고 이 뻐요,"깔다끄다, 브라운브레스"
재질 좋고 무난합니다 올 여름용으로 입을 라구요,"여름, 재질"
재질도 좋고 입어보니 더 멋진 것 같아 요 가족 티로 맞추니 예쁘네요,"티셔츠, 재질"
두께감 적당하면서 디자인도 이 정도면 괜찮은 거 같아요,"두께감, 디자인"
세탁하니 보풀이 일어났어요 질은 생각만큼 좋지 않아 요 신축성 있어 입기는 편합니다,"세탁, 신축성, 질"
