Processed_Review,keyword
가성비가 좋고 디자인이 예뻐요 유행 없이 입을 수 있어요,"가성비, 유행, 디자인"
진짜 정말 이뻐요 핏도 정말 이쁘고 사이즈도 괜찮고 제 최애 티,"사이즈, 핏, 최애"
옷 가볍고 목 부근이 튼튼한 거 같아서 좋아요 디자인도 심플해서 입기 좋은 것 같습니다,"심플, 가볍다, 튼튼하다, 디자인, 부근"
날씨가 갑자기 더워져서 구매했는데 역시 디자인 최고네요,"날씨, 더워지다, 갑자기, 디자인, 최고"
운동할 때 입으려고 샀어요 그냥저냥 입기 좋은 핏입니다,"운동, 핏입니"
핏이랑 디자인 다 넘넘 맘에 들어요 재질도 여러 번 빨았는데도 짱짱하고 프린팅도 선명해요 그냥 휘뚜루마뚜루 입을 수 있어서 손이 자주 가는 옷입니다,"디자인, 재질, 선명하다, 넘다 넘다, 손, 가다, 여러, 프린팅"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,"재질, 무난, 깔끔하다"
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 사어용 생각보다 맘에 들고 다른 색으로 하나 더 살까 고민 중이 애여,"고민, 검정, 색, 착용, 애, 중이, 고민"
아들이 입고 싶다고 해서 주문했는데 맘에 들어 하네요 여름 면 티치고 좀 도톰한 편이고 스판기가 좀 있는 느낌이에요 폴리가 조금 섞여있었으면 하는 바람이 드네요,"스판, 아들, 바람, 편이, 티, 도톰하다"
배송 빠르게 왔습니다 재질 디자인 마음에 들어요,"디자인, 배송, 재질, 오다, 빠르다"
아니 일단 포장부터 브브 로고 너무 이쁘고 내 스펙에 s 가 진짜 찰떡 스투시 하위 호환 같아요,"스 투시, 포장, 스펙, 호환, 로고, 하위, 찰떡"
총기장이 길어도 m사이즈핏이 예뻐요 프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정 없겠어요 선물용으로 구매했다가 예뻐서 제가 입습니다,"선명하다, 총기장, 선물, 걱정, 프린트, 세탁"
역시 한국의 스투시 등판 그래픽 기가 막히고 원단도 얇지만 탄탄하니 좋습니다,"막히다, 그래픽, 스 투시, 탄탄하다, 한국, 등판, 원단"
배송 빨라요 그리고 너무 이뻐요 근데 길이가 조금 길어요,"길이, 배송, 빠르다"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요 널찍한 핏이어서 여름에 입기 좋은 반팔이에요,"팔이, 무난, 재질, 여름, 널찍하다"
생각한 데로 엄청 편하고 온 버핏으로 한 사이즈 크게 샀는데 좋습니다,"편하다, 사이즈, 크게, 버핏"
넉넉해요 비침 없어요 두께 적당해요 디자인 맘에 들어요,"적당하다, 넉넉하다, 디자인, 비침, 없다, 두께"
선물 주려고 주문했어요 생일날 맞춰서 배송도 빠르게 왔고 온 버핏으로 사이즈도 잘 맞을 거 같아요 면이 좋아요 프린트도 선명하고 깔끔해서 여름에 잘 입겠어요,"선명하다, 사이즈, 생일 날, 배송, 려고, 선물, 프린트, 여름, 주문"
역시 한국의 스투시 그래픽 기가 막히고 원단도 탄탄하니 좋습니다,"막히다, 스 투시, 탄탄하다, 한국, 그래픽, 원단"
예뻐요 해외여행 시 갈 때 편하게 레깅스랑 티만 입고 갔는데 티가 멋스러워서 꿀안 스트로 편하게 다녀왔러요,"레깅스, 편하다, 티, 스트로, 티, 해외여행, 멋 스럽다, 다녀오다"
옷이 엄청 이쁘고 편하게 입기 좋아요 살까 말까 고민 중이면 사세요,"중이, 편하다, 고민, 살다, 말다"
깔끔하고 좋습니다 쿠폰 적용해서 저렴하게 구매했네요,"적용, 저렴하다, 쿠폰, 깔끔하다"
배송도 빠르고 옷 뒤가 너무 이뻐서 마음에 들어요 근데 조금 길어요,"배송, 빠르다, 뒤"
운동할 때 입으려고 샀는데 색깔도 선명하고 핏도 잘 맞고 여러모로 합리적으로 잘 산거 같아요 반들반들한 면 반팔 티입니다 여러 가지로 모으고 싶네요,"선명하다, 합리, 운동, 모로, 반들반들하다, 여러, 모으다, 티"
길이가 좀 길어서 엉덩이를 덮고도 남아요 재질은 좋아요,"엉덩이, 재질, 길이, 남아, 덮다"
단독으로만 입어도 좋고 얇은 셔츠에 레이어드해서 입어도 좋습니다 등 쪽 프린팅이 커서 포인트 되는 것도 예뻐욥 오버핏 좋아해서 크게 샀어요 엉덩이 다 덮고 살짝 더 내려감,"엉덩이, 프린팅, 레이어드, 커서, 셔츠, 단독, 포인트, 내려가다, 크게"
깔끔하니 편하게 입기에 너무 좋습니다 사이즈도 온 버핏이라 넉넉하니 좋고 디자인이 맘에 들어요,"사이즈, 넉넉하다, 디자인, 편하다"
옷 예쁘고 좋아요 M사이즈 클까 봐 걱정했는데 딱 좋아요,"사이즈, 크다, 걱정"
배송은 일 정도 걸렸습니다 디자인은 뒷면에 크게 박힌 브라운브레스 로고가 포인트이고 예쁩니다 디자인은 화면과 같고요 핏도 예뻐요 아쉬운 점은 가격에 비해 질이 그렇게 좋진 않은 거 같아요 생각보다 얇고 잘 늘어 날 거 같아요 그래도 디자인은 예뻐요,"화면, 디자인, 배송, 박히다, 비다, 브라운 브레스, 로고, 가격, 포인트"
배송 일단 배송이 빨리 와서 좋았어요 주말 사이에 끼고 일 만에 온 거 같아요 디자인 디자인은 깔끔하고 뒷부분에 있는 큰 브라운브레스 로고가 포인트인 거 같아요 어디든 무난하게 잘 어울리고 편하고 예뻐서 손이 많이 가요 데일리 꾸안꾸룩으로 너무 예쁜 제품이에요,"배송, 어울리다, 디자인, 무난, 손, 포인트, 편하다, 디자인, 오다"
옷 질감이 좋고 평상시에 입고 다니기 좋은 거 같아요 사이즈도 살짝 오바핏인거같아요,"평상시, 사이즈, 질감, 바핏"
온 버핏으로 와이프 사주었는데 잘 어울리게 이쁘게 잘 입을 거 같네요,"어울리다, 와이프, 사주다, 버핏"
사고 싶어서 한 달 넘게 고민하다가 샀는데 고민한 시간이 너무 아까웠어요 프린팅 너무 이쁘고 재질도 아주 살짝 비치는 재질이지만 거의 안 비쳐요 저한테는 사이즈가 좀 커서 건조기 돌려서 입었더니 딱 맞았어요 마감 처리가 조금 별로긴 했는데 신경을 잘 안 쓰는 편이라 전 괜찮았어요 가을 되면 후드티도 사려고요 너무 이뻐요 진짜,"신경, 고민, 재질, 고민, 건조기, 재질, 사이즈"
뒤에 로고가 유니크하고 하나만 입어도 스타일이 사는 느낌이네요 원단이 좋아 보여서 목 늘어남 도 없이 깔끔합니다,"유니크, 늘어나다, 원단, 살다, 보, 로고, 하나, 스타일"
엄청 잘 입고 있어요 많이 입은 탓이라 그런지 엉덩이 쪽에 보풀이 생기는 거 빼고는 색상 착용감 다 좋아요 구매할 맛 납니다,"생기다, 엉덩이, 그렇다, 나다, 색상, 착용, 보풀"
믿고 보는 브라운브레스 굿입니다 깔끔하고 이뻐요,"브라운 브레스, 믿다, 깔끔하다, 굿"
재질 좋고 무난합니다 올여름용으로 입을라구요,"올여름, 무난, 재질"
재질도 좋고 입어보니 더 멋진 것 같아요 가족티로 맞추니 예쁘네요,"가족 티, 입어보다, 재질, 멋지다, 맞추다"
두께감 적당하면서 디자인도 이 정도면 괜찮은 거 같아요,"적당하다, 디자인, 두께감"
세탁하니 보풀이 일어났어요 질은 생각만큼 좋지 않아요 신축성 있어 입기는 편합니다,"신축, 편하다, 보풀, 세탁, 질, 일어나다"
옷 사이즈가 적당하고 색감이 선명해요 착용감이 좋아요,"선명하다, 적당하다, 착용, 사이즈, 색감"
친구들 많이 입어서 샀는데 무난한 티로 좋은 것 같고 다른 색도 도전해 보고 싶네요,"도전, 색도, 친구, 보고, 무난, 티, 싶다"
제가 입었을 때 상상했던 핏 그대로였는데 약간 마른 사람한테는 별로 추천 안 해요 약간 어벙벙핏 그래도 굉장히 예뻐서 잘 입고 다니고 있어요,"사람 늘다, 마르다, 추천, 별로, 그대로"
사이즈 딱 맘에 듭니다 로고가 이뻐요 자주 입게 될 거 같습니다,"사이즈, 로고"
디자인 예쁘고 힙해요 제가 키가 작은 편이라서 사이즈는 큰데 엉덩이 덮는 기장입니다 온 버핏으로 예쁘게 입을 수 있어요,"기장, 엉덩이, 편이, 힙해, 사이즈, 디자인, 키, 작다, 크다"
예약배송이라 그냥 기다리려 했는데 바로 오더라고요 반팔 티 치곤 좀 비싸긴 한데 할인해서 그나마 싸게 샀어요 그래도 너무 이뻐서 산거 후회는 안 합니다 목도 짱짱해요 근데 살짝 목 답답함 세탁하면 목 살짝 쭈글해짐,"오다, 할인, 비싸다, 목도, 기다리다, 세탁"
가볍고 재질이 좋아요 디자인도 무척 마음에 들어요,"가볍다, 디자인, 재질, 무척"
아니 MI 틴 브라운브레스 너무 이쁨 뒷면 로고 간지 진짜 맨날 입어욯 너무이뿌,"아니다, 간지, 로고, 브라운 브레스, 입어욯"
배송도 빨라서 좋았습니다 근데 티가 생각 보디 커서 다음엔 한 치수 작은 걸로 사야겠네요,"배송, 걸, 커서, 보디, 작다, 티, 치수"
글씨 선명해요 색감 밝아요 얇고 가벼워요 사이즈가 크긴 한데 원래 구매하는 사이즈로 구매하면 이쁠 거예요,"글씨, 가볍다, 선명하다, 크다, 원래, 사이즈, 사이즈"
