Processed_Review,keyword
어머님 사드렸는데 약간 수선하시더니 잘 입고 다니십니다,"수선하다, 어머님, 사 드리다"
도 귀엽게 만들어주는 바지 은근 소재가 단단해서 핏 잡혀있어요 냄새는 조금 났지만 배송 빨랐고 아주 귀엽다잉,"만들다, 단단하다, 소재, 냄새, 바지, 배송, 은근, 빠르다"
제가 밥 먹으면 배가 나와서 항상 바지를 살 때 고민을 엄청 하는데 이번에 산 바지는 정말 허리에 딱 맞고 기장도 너무너무너무 좋아요 이번 여름에는 이 바지만 입고 싶어요 피트 장난 아니고요 약간 뚜꺼운 느낌이 나는데 막 덥거나 무겁거나 하지는 않아요 색도 예쁘고요 개인적으로 블루 추천드려요,"무겁다, 아니다, 먹다, 추천 드리다, 바지, 바지, 덥다, 나오다"
가성비 좋은 거 같아요 만족하고 잘 입고 다녀요 주머니도 포인트 되고 좋아요,"만족하다, 가성비, 주머니, 포인트"
요즘 온 버핏에 관심이 생겨서 구매했는데 너무 기대어요 보드 타 때 자주 입을 것 같아요 제 키가 작아서 옷이 엄청 커 보이지만 키 크신 분들한테는 별로 안 클 것 같네요 옷은 편하고 좋아요,"생기다, 크다, 보이, 기대다, 편하다, 분 늘다, 키, 관심"
히프하고 예뻐요 여름에 잘 입었어요 엄청 두꺼운 재질은 아니지만 지금 날씨에도 입고 다닐 수 있어요 색도 너무 예쁜데 튀지 않는 스탈이라 어떤 옷에도 코디 쌉가능이에요,"날씨, 싸다 가능, 아니다, 스탈, 재질, 히프, 여름"
제 체형분들 한 사이즈 크게 사십쇼 안 그러면 밥 먹고 바지 단추 풀고 다닐 수 있는 사람 될 거임 옷은 너무 이쁩니다 소식하는 날 입을게요 응응,"체형, 쇼, 사이즈, 소식, 먹다, 거임, 단추"
너무 큰 줄 알았는데 골반에 걸쳐져서 더 예쁜 핏입니다 완전 세기 감성이에요,"걸치다, 감성, 골반, 세기, 알다, 핏입니"
여름에 입기엔 조금 두껍긴 하지만 기장과 핏부터 워싱이랑 카고 디테일까지 다 너무 예쁜 청 반바지,"워싱, 기장, 반바지, 카, 여름, 핏"
바지핏 예쁘고 여기저기 코디하기 좋아요 근데 좀 두꺼워서 한여름엔 더울 것 같아요,"여기저기, 코디, 덥다, 한여름, 바지 핏, 두껍다"
왕 너무 예뻐요 편하고 바지는 쪼까큰데 대신에 뱃살 안 접히니까 조와요 고민 말고 구매하길 잘했어요 배송만 늦어집니다,"배송, 조, 편하다, 고민, 대신, 바지, 쪼까큰데"
저는 엠 입어보고 커서 스몰 샀는데 딱 제가 원하던 핏이었어요 위에 크게 입어도 예쁘고 작게 입어도 예뻐요 이거 입으면 항상 합하다는 소리 들어요 여름에 산 바지 중에 제일 마음에 드는 바지,"입어보다, 합, 원하다, 항상"
바지 완전 귀여워요 화면이랑 색감도 똑같아요 큰 거 알고 샀지만 어쨌든 좀 커요 그리고 좀 무겁긴 해요,"무겁다, 크다, 화면, 알, 색감, 바지, 어쨌든"
휘뚜루마뚜루 잘 입고 있습니다 어느 옷에 입어도 이뻐요 주머니가 깊고 넓어서 와 랄라 다 들어갑니다 아주 굿 저는 s를 입어보았는데 아침밥을 안 먹어야 허리가 딱 맞더라고 여 뱃살 하비인데 저랑 체형이 비슷하신 분들은 m 추천해요 암튼 왕 이쁨,"추천, 아침밥, 들어가다, 주머니, 체형, 허리, 하비"
완전 느낌 최고 세일할 때 샀는데 다들 이쁘다고 어디서 샀냐고 물어봤어요 빈티지한 감성 미쳤음,"빈티, 세일, 감성, 미치다"
하 너무 이뻐서 택배 뜯자마자 새벽에 별안간 패션쇼해버렸습니다 솔직히 한 번도 도전해 보지 않았던 스타일이라 사시사철 카디건이나 티샤쓰만 입는 기본 템 인간 나야 나 사면서 긴가민가했거든요 그래도 즐겨보던 유튜버님이 추천해 주셔서 한번 질러봤는데 너무너무 만족스럽습니다 이거 하나 입었는데 완전 포인트 되면서 아방한 느낌이 확 살아나서 신기해요 워낙에 무채색을 좋아해서 그런지 색깔은 가지고 있던 대부분의 상의랑 아주 잘 매치됩니다 다른 분들 후기처럼 s치고는 허리가 크게 나오긴 했는데 흘러내리지 않고 골반에 걸쳐지는 정도라 전 딱 적당한 것 같아욥 다만 확실히 버뮤다팬츠는 상의를 크롭 한 거나 좀 슬림 하게 떨어지는 걸 입어야 이쁜 핏이 연출되는 것 같습니다 자칫 잘못하면 난쟁이가 되어버리더군요 예쁘게 잘 입겠습니다 유명한 템에는 다 이유가 있네요 화옹,"만족스럽다, 무채색, 사시 사철, 추천, 걸치다, 버뮤다 팬츠, 상의, 사면, 적당하다"
평범하면서도 포인트 줄 수 있게 예쁘게 잘 나왔어요 옷장에 있는 아무 반팔로 코디해도 웬만하면 다 잘 어울릴 것 같아요 버뮤다 핏으로 잘 떨어져서 여름에 꾸 안 그 정도로 혹은 다른 포인트도 주면서 개성 있게도 입을 수 있을 것 같습니다 예쁘게 잘 입을게요,"평범하다, 어울리다, 포인트, 주다, 개성, 포인트, 팔로"
너무너무 이뻐요 이렇게 큰 바지 갖고 싶었는데 무진장 어쩌고 통해서 저렴하게 구입해서 기분이 좋네요 당연히 키가 작으니 더 큰 거 같기도 하지만 여하튼 이뻐요 크롭이나 오버핏 둘 다 잘 어울릴 것 같고 허리 사이즈 정도 입는데 넉넉하게 맞습니다 허리도 그렇고 총 장도 그렇고 한 번 접어서 입을 여유는 돼요,"당연하다, 접다, 통해, 어울리다, 무진장, 크롭, 넉넉하다, 사이즈"
배송 정말 빠르게 왔고 인 저도 입으면 뭔가 귀여워지는 듯한 느낌 만족해요,"만족하다, 뭔가, 배송, 오다, 빠르다"
너무너무 마음에 들어요 일단 착용해 봤을 때 바지가 좀 큰 감이 없지 않지만 그런 아방한 핏이 예뻐서 산 거니까 정말 만족합니다 위에 박시한 핏 나는 티랑 같이 걸쳐주면 정말 귀엽게 입을 수 있어요,"만족하다, 걸치다, 착용, 박시, 바지, 방한"
양말 길게 신거나 위에 오버핏 셔츠같이 입어주면 이뻐요 요즘 이것만 입고 나갑니다,"신다, 길다, 위, 오버핏"
힙합이니깐 얼른 구매하는 게 좋을 걸 무조건 추천 티브이,"무조건, 티브이, 얼른, 추천, 힙합"
제 키감이지만 누구나 입을 수 있는 그런 바지 바지가 꽤 무겁지만 전 괜찮았어요 카고 반바지 입고 싶어서 찾던 도중 예뻐서 구매했고 저랑 잘 어울려요 뻔뻔,"어울리다, 무겁다, 키감, 반바지, 도중, 바지, 그렇다"
인생 바지 만난 거 같습니다 너무 히프하고 예뻐요 아무 옷에나 잘 어울려서 자주 입고 있어요,"어울리다, 인생, 히프, 바지, 만난"
