Processed_Review,keyword
사이즈 잘 맞고요 스타일도 좋아서 자주 입는 옷이에요,"사이즈, 스타일, 맞다"
예쁘고 무나 하네요 사이즈 한 치수 크게 해도 될듯해요,"무, 사이즈, 해도, 치수, 크게"
제 체형에서는 확실히 크고 은 딱 붙습니다 흰옷은 요즘 입기엔 적당한 두께이나 비침이 있고요 얼룩 사이즈의 이유로 재구매 의사는 없습니다,"체형, 사이즈, 적당하다, 확실하다, 이유, 의사, 비침, 얼룩, 재다"
편하고 이쁘게 입으려고 샀습니다 두께도 너무 두껍지 않고 디자인도 너무 튀지 않아서 손이 자주 가네요,"디자인, 편하다, 손, 가다, 튀다"
한번 빨았는데 목이 정말 늘어나서 이제 못 입어요,"목, 한번, 이제, 늘어나다, 빨다"
핏이 정 피트보다 조금 큰 정도예요 온 버핏이라기에는 조금 아쉽지만 디자인은 예뻐요 흰색은 살짝 비칠 수 있으니 조심하세요,"조심하다, 흰색, 디자인, 피트, 비치다, 핏"
청바지하고 잘 어울립니다 위에 황색 잠바 걸쳐도 어울리고 깔끔하고 멋진 옷 입고 싶으시면 추천합니다,"추천, 어울리다, 청바지, 걸치다, 어울리다, 황색, 잠바, 위, 싶다"
사이즈 적당하고 예쁘고 가볍게 입기 좋은 거 같습니다,"적당하다, 가볍다, 사이즈"
좋네요 후기가 없어 걱정했는데 너무 얇지도 않고 가성비 최고입니다,"가성비, 후기, 최고, 없다, 얇다, 걱정"
사이즈랑 핏은 생각한 느낌 그대로라 이쁜데 저는 검은색 검은색 선택했는데 검은색 흰색이 왔어요 근데 귀찮아서 입으려고요,"사이즈, 흰색, 검은색, 그대로, 오다"
배송도 아주 빠르고 더운 날에도 입기 괜찮네요 굿,"배송, 덥다, 날, 빠르다"
기장이 생각보다 길어서 넣입하기 괜찮습니다 프린팅도 과하지 않아서 무난 무난하게 데일리룩으로 입기 좋아요,"데일리룩, 기장, 프린팅, 무난, 무난"
기장이랑 사이즈 온 버핏이라기엔 생각보다 작아서 한 치수 크게 교환하니 딱 생각하던 핏 나옵니다,"교환, 나오다, 사이즈, 기장, 작다, 치수, 버핏, 크게"
제일 작은 사이즈로 샀지만 조금 긴 건 제 키 때문에 어쩔 수 없는 거라 크게 신경은 안 써요 소매는 롤업 해서 입는 거랑 그냥 입는 거랑 느낌이 달라서 그때그때 다르게 코디하고 있어요 앞면은 조금 심심하지만 뒷면 포인트가 너무 예뻐서 주면 사람들 모두 티셔츠 예쁘다고 칭찬해 줘요 저도 너무 마음에 듭니다 원쁠원으로 잘 산 것 같아요,"코디, 칭찬, 신경, 심심하다, 티셔츠, 소매, 사이즈, 롤업"
품질도 좋고 기장감도 마음에 듭니다 깔끔하네요 재구매 의사 있습니다,"기장감, 재다, 품질, 의사, 깔끔하다"
아들내미랑 하나씩 주문했는데 뒤 프린트가 맘에 들어요 재질도 만족하고 너무 두껍지 않아 좋아요,"아들내미, 하나, 만족하다, 프린트, 재질, 주문"
남성 여름 반팔 티 샀어요 PACK인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어요,"프린팅, 팔, 가격, 크다, 남성, 여름"
엄청 얇아서 여름에 입기는 좋은듯합니다 잘못 시켜서 작은 걸로 받긴 했는데 그냥 머슬 핏 느낌으로 입으니 나쁘지 않은 거 같아요,"머슬, 여름, 걸, 그냥, 나쁘다"
티 예뻐요 얇고 신원할듯합니다 부드럽고 대신 세탁하면 줄어들까 걱정이긴 합니다,"걱정 이기다, 부드럽다, 세탁, 대신, 줄어들다, 얇다, 신원"
옷이 두께감도 좋고 짱짱하다고 해야 하나 느낌도 좋네요,"하나, 짱짱하다, 두께감"
오빠 거 여름 반팔 티 샀어요 PACK인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어요,"프린팅, 팔, 가격, 크다, 여름"
사이즈 시켰다가 너무 작아서 사이즈와 교환했는데 딱 좋아요,"사이즈, 사이즈, 작다, 교환"
옷기장이 조금 더 길었으면 하는 바람이 있어요 온 버핏이라 해서 샀더니 기장이 짧은듯해요,"기장, 바람, 옷기장, 버핏, 길다"
옷은 너무 예쁜데 제가 아들 체형을 무시했네요 아들한테 사이즈가 애매한 감이 있어서 한 치수 큰 걸로 새로 구입하고 키로 누나한테 너무너무 예쁘게 잘 맞아서 누나가 입기로 했어요 하얀색이 좀 더 얇고 부드러운 느낌이고 검정은 살짝 탄탄한 재질입니다 옷은 진짜 예뻐요,"재질, 애매하다, 사이즈, 누나, 누나, 부드럽다"
핏도 적당하고 두께감도 여름에 맞게 적당해서 아무 때나 입고 나가기 좋은 거 같아요 뒤에 레터링도 멋있어요,"적당하다, 적당하다, 레터 링, 여름, 핏, 멋있다"
여름에 무난 무난하고 가성비로 입기 좋아요 좀 얇은 편이라 시원합니다,"시원하다, 무난, 무난, 편이, 가성비, 여름, 얇다"
한번 주문량 폭발로 인해서 배송이 늦어진다길래 잊고 있었는데 늦어진다고 문자 오고 일만에 와서 엄청 놀랐어요 그리고 바로 한번 입어봤는데 엄청 이뻤어요 근데 옷 길이가 제 키에 비해서 좀 짧더라고요 옆 기장은 넉넉하고 디자인도 엄청 이쁜데 클 거 생각하고 제일 큰 사이즈 골랐는데 친구들도 너 키에 비해서 좀 짧다고 할 정도로 좀 짧은 게 아쉬웠어요 그래도 디자인 이쁘고 핏도 좋아서 만족합니다,"인하다, 만족하다, 디자인, 배송, 비, 넉넉하다, 사이즈, 문자"
사이즈는 좋습니다 하지만 옷이 너무 얇고 주름이 잘지는 재질이네요 가성비 있어서 샀는데 좀 더 주고 다른 브랜드 살 거 그랬습니다,"사이즈, 재다, 자다, 가성비, 주름, 주다, 브랜드"
장점 여자한테 오버사이즈로 편하게 입을 수 있다 가격이 저렴하다 스트리트 감성이 있다 단점 세탁을 하면 목이 늘어난다,"오버 사이즈, 여자, 감성, 세탁, 가격, 저렴하다, 스트리트, 편하다, 장점"
팩 저렴하게 구매했습니다 핏은 적당히 오버해서 맘에 듭니다 두께는 보통이에요 흰 티는 살짝 비칩니다 가볍게 입기 좋습니다,"보통, 비치다, 적당하다, 오버, 저렴하다, 가볍다, 티"
사이즈가 생각보다 작아서 아쉽지만 나머지는 생각했던 그대로예요,"나머지, 사이즈, 작다, 아쉽다, 그대로"
크기도 좋고 온 버핏으로 입기 딱 좋습니다 원단도 좋아요,"크기, 원단, 버핏"
남자친구는 사이즈로 하고 저는 사이즈로 했는데 남자친구는 잘 맞는다고 하고 저는 정에 핏이지만 온 버핏으로 입고 싶으신 분들은 사이즈 추천해요,"남자친구, 추천, 사이즈, 사이즈, 정, 분"
