Review,Processed_Review,keyword
사이즈 잘 맞구요 스타일도 좋아서 자주 입는 옷이에요.,사이즈 잘 맞고요 스타일도 좋아서 자주 입는 옷이에요,"이에요, 스타일, 맞다, 사이즈"
예쁘고 무낭하네요 사이즈 한치수 크게해도 될듯해요,예쁘고 무나 하네요 사이즈 한 치수 크게 해도 될듯해요,"해도, 치수, 크게, 사이즈"
"제 체형에서 2는 확실히 크고, 1은 딱 붙습니다. 흰옷은 요즘 입기엔 적당한 두께이나 비침이 있고요. 얼룩, 사이즈의 이유로 재구매 의사는 없습니다.",제 체형에서는 확실히 크고 은 딱 붙습니다 흰옷은 요즘 입기엔 적당한 두께이나 비침이 있고요 얼룩 사이즈의 이유로 재구매 의사는 없습니다,"얼룩, 확실하다, 붙다, 이유, 의사, 이나, 재다, 체형, 비침, 희다"
편하고 이쁘게 입으려고 샀습니다. 두깨도 너무 두껍지 않고 디자인도 너무 튀지 읺아서 손이 자주 가네요.,편하고 이쁘게 입으려고 샀습니다 두께도 너무 두껍지 않고 디자인도 너무 튀지 않아서 손이 자주 가네요,"튀다, 가다, 두껍다, 두께, 편하다, 디자인"
한번 빨았는데 목이 완전 늘어나서 이제 못입어요,한번 빨았는데 목이 정말 늘어나서 이제 못 입어요,"이제, 빨다, 한번, 늘어나다"
핏이 정핏보다 조금 큰 정도에요. 오버핏이라기에는 조금 아쉽지만 디자인은 예뻐요! 흰색은 살짝 비칠 수 있으니 조심하세요!,핏이 정 피트보다 조금 큰 정도예요 온 버핏이라기에는 조금 아쉽지만 디자인은 예뻐요 흰색은 살짝 비칠 수 있으니 조심하세요,"피트, 조심하다, 이라기, 에는, 비치다, 아쉽다, 흰색, 크다, 버핏, 디자인"
청바지하고 잘 어울립니다. 위에 황색 잠바 걸쳐도 어울리고. 깔끔하고 멋진 옷 입고 싶으시면 추천합니다.,청바지하고 잘 어울립니다 위에 황색 잠바 걸쳐도 어울리고 깔끔하고 멋진 옷 입고 싶으시면 추천합니다,"어울리다, 황색, 잠바, 걸치다, 청바지, 멋지다, 추천, 깔끔하다, 하고"
사이즈 적당하고 예쁘고 가볍게 입기좋은거 같습니다 ,사이즈 적당하고 예쁘고 가볍게 입기 좋은 거 같습니다,"가볍다, 적당하다, 사이즈"
좋네요 후기가 없어 걱정했는데 너무 얇지도 않고 가성비 최고입니다 😊,좋네요 후기가 없어 걱정했는데 너무 얇지도 않고 가성비 최고입니다,"후기, 최고, 걱정, 가성비, 없다, 얇다"
"사이즈랑 핏은 생각한 느낌 그대로라 이쁜데,,,, 저는 검은색 검은색 선택했는데 검은색 흰색이 왔어요 근데 귀찮아서 입으려고여",사이즈랑 핏은 생각한 느낌 그대로라 이쁜데 저는 검은색 검은색 선택했는데 검은색 흰색이 왔어요 근데 귀찮아서 입으려고요,"검은색, 선택, 귀찮다, 그대로, 근데, 오다, 흰색, 사이즈"
배송도 아주 빠르고 더운 날에도 입기 괜찮네요 굿,배송도 아주 빠르고 더운 날에도 입기 괜찮네요 굿,"덥다, 빠르다, 배송"
기장이 생각보다 길어서 넣입하기 괜찮습니다. 프린팅도 과하지 않아서 무난무난하게 데일리룩으로 입기 좋아요,기장이 생각보다 길어서 넣입하기 괜찮습니다 프린팅도 과하지 않아서 무난 무난하게 데일리룩으로 입기 좋아요,"무난, 데일리룩, 넣다, 기장, 프린팅"
기장이랑 사이즈 오버핏이라기엔 생각보다 작아서 한치수 크게 교환하니 딱 생각하던 핏 나옵니다..,기장이랑 사이즈 온 버핏이라기엔 생각보다 작아서 한 치수 크게 교환하니 딱 생각하던 핏 나옵니다,"이라기, 교환, 치수, 크게, 나오다, 기장, 작다, 버핏, 사이즈"
제일 작은 사이즈로 샀지만 조금 긴 건 제 키 때문에 어쩔 수 없는 거라 크게 신경은 안 써요 소매는 롤업해서 입는 거랑 그냥 입는 거랑 느낌이 달라서 그때그때 다르게 코디하고 있어요! 앞면은 조금 심심하지만 뒷면 포인트가 너무 예뻐서 주면 사람들 모두 티셔츠 예쁘다고 칭찬해줘요 저도 너무 마음에 듭니당 원쁠원으로 잘 산 것 같아요,제일 작은 사이즈로 샀지만 조금 긴 건 제 키 때문에 어쩔 수 없는 거라 크게 신경은 안 써요 소매는 롤업 해서 입는 거랑 그냥 입는 거랑 느낌이 달라서 그때그때 다르게 코디하고 있어요 앞면은 조금 심심하지만 뒷면 포인트가 너무 예뻐서 주면 사람들 모두 티셔츠 예쁘다고 칭찬해 줘요 저도 너무 마음에 듭니다 원쁠원으로 잘 산 것 같아요,"주다, 롤업, 칭찬, 때문, 어쩔, 소매, 신경, 심심하다, 써다, 다르다"
품질도 좋고 기장감도 마음에 듭니다 깔끔하네요 재구매 의사 있습니다,품질도 좋고 기장감도 마음에 듭니다 깔끔하네요 재구매 의사 있습니다,"기장감, 의사, 품질, 재다, 깔끔하다"
아들래미랑 하나씩 주문했는데..뒷프린트가 맘에들어요 재질도 만족하고 넘 두껍지않아 좋아요.,아들내미랑 하나씩 주문했는데 뒤 프린트가 맘에 들어요 재질도 만족하고 너무 두껍지 않아 좋아요,"아들내미, 프린트, 하나, 두껍다, 주문, 만족하다, 재질"
"남성 여름 반팔티 샀어요!! 2PACK인데도 가격도 좋고, 생각보다 크지만 프린팅도 예쁜거 같아서 맘에 들어요~ ",남성 여름 반팔 티 샀어요 PACK인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어요,"남성, pack, 크다, 프린팅, 여름, 가격"
엄청 얇아서 여름에 입기는 좋은듯 합니다 잘못 시켜서 작은 걸로 받긴 했는데 그냥 머슬핏 느낌으로 입으니 나쁘지 않은 거 같아요,엄청 얇아서 여름에 입기는 좋은듯합니다 잘못 시켜서 작은 걸로 받긴 했는데 그냥 머슬 핏 느낌으로 입으니 나쁘지 않은 거 같아요,"머슬, 나쁘다, 잘못, 받다, 그냥, 작다, 여름, 얇다"
티 예뻐요 얇고 신원할듯합니다 부드럽고 대신 세탁하면 줄어들까 걱정이긴합니다,티 예뻐요 얇고 신원할듯합니다 부드럽고 대신 세탁하면 줄어들까 걱정이긴 합니다,"신원, 대신, 이기다, 걱정, 줄어들다, 부드럽다, 세탁, 얇다"
옷이 두께감도 좋고 짱짱하다고 해야하나 느낌도좋네요,옷이 두께감도 좋고 짱짱하다고 해야 하나 느낌도 좋네요,"두께감, 짱짱하다, 하나"
"오빠꺼 여름 반팔티 샀어요!! 2PACK인데도 가격도 좋고, 생각보다 크지만 프린팅도 예쁜거 같아서 맘에 들어요~",오빠 거 여름 반팔 티 샀어요 PACK인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어요,"오빠, pack, 크다, 프린팅, 여름, 가격"
1사이즈 시켰다가 너무 작아서  2사이즈오 교환했는데 딱 좋아요,사이즈 시켰다가 너무 작아서 사이즈와 교환했는데 딱 좋아요,"교환, 사이즈, 작다"
옷기장이 조긍  더 길었음하는 바램이 있어요ㅜㅜ 오버핏이라해서 샀더니.. 기장이 짧은듯해요,옷기장이 조금 더 길었으면 하는 바람이 있어요 온 버핏이라 해서 샀더니 기장이 짧은듯해요,"옷기장, 바람, 길다, 짧다, 기장, 버핏"
옷은 너무 예쁜데 제가 아들체형을 무시했네요 ㅡㅡ::   아들한테 사이즈가 애매한감이 있어서  한치수 큰걸로 새로 구입하고 155 54키로 누나한테 너무너무 예쁘게. 잘맞아서 누나가 입기로 했어요 ㅋ. 하얀색이 좀더 얇고 부드러운 느낌이고 검정은 살짝 탄탄한 재질입니다. 옷은 진짜 예뻐요 ,옷은 너무 예쁜데 제가 아들 체형을 무시했네요 아들한테 사이즈가 애매한 감이 있어서 한 치수 큰 걸로 새로 구입하고 키로 누나한테 너무너무 예쁘게 잘 맞아서 누나가 입기로 했어요 하얀색이 좀 더 얇고 부드러운 느낌이고 검정은 살짝 탄탄한 재질입니다 옷은 진짜 예뻐요,"누나, 아들, 무시, 새롭다, 키로, 애매하다, 하얀색, 이고, 검정, 체형"
"핏도 적당하고 두께감도 여릅에맞게 적당해서 아무때나 입고나가기 좋은거 같아요,  뒤에 레터링도 멋있어요!",핏도 적당하고 두께감도 여름에 맞게 적당해서 아무 때나 입고 나가기 좋은 거 같아요 뒤에 레터링도 멋있어요,"적당하다, 멋있다, 두께감, 레터, 맞다, 여름"
