Review,Processed_Review,keyword
이너티로 입을려고 샀는데 단독으로 입어도 이뻐서 완전 맘에 쏙..🩷 후기에 S사이즈도 길다는 분이 계셔서 XS로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요!! 재질도 너무 좋구요 이 제품은 특히 넥라인이  목에 딱 맞는 스타일이라 늘어나지 않을 것 같아요 짱짱해요 로고도 심플하니 너무 예쁩니다😍😍,이 너 이로 입으려고 샀는데 단독으로 입어도 이뻐서 완전 맘에 쏙 후기에 S사이즈도 길다는 분이 계셔서 XS로 샀는데 제 현명한 선택이었어요 제 기준 엉덩이 반 정도 오는 기장이에요 재질도 너무 좋고요 이 제품은 특히 넥 라인이 목에 딱 맞는 스타일이라 늘어나지 않을 것 같아요 짱짱해요 로고도 심플하니 너무 예쁩니다,"현명하다, 계시다, 라인, 선택, 특히, 이로, 기준, 후기, 심플, 스타일"
이너티로도 되게 단단하고 여름에 그냥 이거 하나만 입기에도 시웡하고 이쁜거같아요!,이 너 이로도 되게 단단하고 여름에 그냥 이거 하나만 입기에도 시월하고 이쁜 거 같아요,"시월, 단단하다, 되게, 이로, 하나, 그냥, 하고, 여름"
"옷이 되게 크게 나왔나봐요 ...! 평소에 s 아니면 m으로 사는 편인데 다른 후기들 보고 xs로 샀습니다 ! 근데 그러길 너무 잘한거 같아요 ,, xs인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아요 !!",옷이 되게 크게 나왔나 봐요 평소에 s 아니면 m으로 사는 편인데 다른 후기들 보고 xs로 샀습니다 근데 그러길 너무 잘한 거 같아요 xs인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아요,"xs, 가리다, 목도, 되게, 후기, 보고, 엉덩이, 근데, 평소, 그렇다"
휘뚜루 마뚜루 입기에는 커버낫 기본이 최고예요,휘뚜루마뚜루 입기에는 커버나 기본이 최고예요,"최고, 휘뚜루마뚜루, 커버, 기본"
두 번째 주문. 편함. 재질 부드러움. 박음질 튼튼함. 흰색은 아주 약간 노란끼 있지만 깔끔함. 사이즈 약간 널널한 편. 만족도 높음,두 번째 주문 편함 재질 부드러움 박음질 튼튼함 흰색은 아주 약간 노란 끼 있지만 깔끔함 사이즈 약간 널찍한 편 만족도 높음,"만족도, 부드러움, 널찍하다, 박음질, 높다, 노랗다, 튼튼하다, 번째, 주문, 흰색"
옷 재질이 여름에 입기 너무 좋아요 목 둘레가 여유롭고 스판기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입기 시원해요 면 재질이 부드러워서 착용감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는 편이라 활용도가 좋네요 꼭 필요한 흰검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요👍🏻,옷 재질이 여름에 입기 너무 좋아요 목둘레가 여유롭고 스판기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입기 시원해요 면 재질이 부드러워서 착용감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는 편이라 활용도가 좋네요 꼭 필요한 흰 검 조합에 가격도 저렴하니 가성비 대박입니다 반팔 티 고민하고 계시다면 꼭 구매하세요,"적당하다, 길이, 재질, 벗기다, 조합, 둘레, 선도, 롭고, 계시다, 스판"
포장안쪽에 기름같은게 묻어서 오긴했는데.내용물는 다행이 괜찮습니다. 이너나 단독으로 입기 젤 무난할듯 하네요,포장 안쪽에 기름 같은 게 묻어서 오긴 했는데 내용물은 다행히 괜찮습니다 이너나 단독으로 입기 젤 무난할듯하네요,"내용물, 기름, 안쪽, 다행하다, 묻다, 단독, 포장, 이너, 오다, 무난"
부드러운 원단이긴한데 많이 얇아요  흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요,부드러운 원단이긴 한데 많이 얇아요 흰색은 안이 다 비치네요 이너로 입어야겠네요 많이 아쉬워요,"안이, 이기다, 비치다, 아쉽다, 이너, 부드럽다, 흰색, 원단, 얇다"
가격도 저렴하고 잘 입을 것 같ㅇㅏ요 포장도 깔끔해서 맘에 듭니댱,가격도 저렴하고 잘 입을 것 같이 포장도 깔끔해서 맘에 듭니댱,"듭니댱, 포장, 저렴하다, 깔끔하다, 가격"
입고 등산 갔는데 땀흡수도 잘되고 좋았 습니다 사이즈도 적당해요,입고 등산 갔는데 땀 흡수도 잘되고 좋았습니다 사이즈도 적당해요,"등산, 흡수, 가다, 적당하다, 사이즈"
소재가 시원해서 저같이 땀 많이 흘리는 사람들 한테 좋은거 같아요,소재가 시원해서 저같이 땀 많이 흘리는 사람들한테 좋은 거 같아요,"흘리다, 사람, 소재, 시원하다"
커버낫 기본템 좋네요 다른 브랜드 기본템은 너무 얇거나 아니면 목 마감이 안좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아요 가볍고 편해서 아주 맘에 듭니다!,커버나 기본 템 좋네요 다른 브랜드 기본 템은 너무 얇거나 아니면 목 마감이 안 좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아요 가볍고 편해서 아주 맘에 듭니다,"요건, 기본, 금방, 마감, 브랜드, 아니다, 가볍다, 늘어나다, 커버, 얇다"
색상이랑 사이즈 다 좋아요. 옷감도 적당해서 여름에 잘 입을 것 같아요.,색상이랑 사이즈 다 좋아요 옷감도 적당해서 여름에 잘 입을 것 같아요,"옷감, 색상, 적당하다, 여름, 사이즈"
진짜 얇아요 얇은데 쫀쫀합니다 아직 세탁은 안해봐서 목이 잘 늘어나는지 아닌지는 모르는데 여름엔 이런 반팔이 꼭 필요한 것 같아요☀️,진짜 얇아요 얇은데 쫀쫀합니다 아직 세탁은 안 해봐서 목이 잘 늘어나는지 아닌지는 모르는데 여름엔 이런 반팔이 꼭 필요한 것 같아요,"쫀쫀합니, 팔이, 얇다, 이렇다, 아직, 모르다, 필요하다, 아니다, 늘어나다, 세탁"
사이즈 좋고 핏 매우 괜찮아요. 다른 색상도 있었으면 좋겠네요.,사이즈 좋고 핏 매우 괜찮아요 다른 색상도 있었으면 좋겠네요,"색상, 사이즈"
심플 로고 하나로 가볍게 포인트주기 좋아요 사이즈 s기준 평상시 M 느낌나고 M사이즈입으면 L느낌날것같아요 ㅎㅎ,심플 로고 하나로 가볍게 포인트 주기 좋아요 사이즈 s 기준 평상시 M 느낌 나고 M사이즈 입으면 L 느낌 날 것 같아요,"주기, 하나로, 평상시, 포인트, 기준, 나다, 심플, 사이즈, 로고, 가볍다"
가성비 매년 사고 있습니다 짱짱하니 너무 좋으요,가성비 매년 사고 있습니다 짱짱하니 너무 좋으오,"매년, 사고, 짱짱하다, 가성비"
