Review,Keyword
실기시험 칠 때 입었는데 땀에 옷이 붙지 않아 좋아요 적극 추천,"땀부착되다, 실기시험"
운동복 소재 느낌이라 여름에 시원하게 입 기 좋습니다,"여름, 소재, 운동복"
운동할 때 입어도 좋고 잘 때 입어도 좋아요 너무 편해요 색깔 구성도 마음대로 할 수 있어서 좋네용,"편하다, 다양하다색상, 운동"
시원하고 입고 다니기 편하네요 여름에 입 기 좋아요,"편하다, 여름, 시원하다"
적당한 두께랑 까칠한 소재감으로 여름엔 시원할 듯,"적당하다두께, 까칠하다소재"
헬스 꾸준히 한 건장한 체격이라는 점 참고하세요 편하고 좋습니다 운동할 때도 일상복 이너로도 활용하기 좋아요 세탁 번째인가 번째에 소매 쪽 올이 나갔지만 가격대 생각해보면 아쉬울 건 없는 것 같네요,"편하다, 일상복, 헬스, 건장, 체격, 세탁, 운동, 이너, 소매"
울강쥐도 이 옷을 좋아하는 거 같아 요 넘 편해요 하핳,편하다
깔끔하고 운동할 때 입 기 좋아요 여름에 잘 입을 게요,"여름, 운동, 깔끔하다"
일할 때 입으려고 사 서 편하게 잘 입고 있어요 몇 개 더 사놓을 예정입니다,"편하다, 일"
운동할 때 입으랴 고샀는데 좋아요 이뿝니다 베리굿,"운동, 베리굿"
운동할 때 입으려 구 샀어용 시원하고 좋아 여 가격도 저렴해서 좋네 여,"운동, 저렴하다가격, 시원하다"
이게 진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요 살짝 아쉬운 건 사이즈를 총장 보고 살짝 크롭 한 느낌을 바라고 샀는데 생각보다 많이 길더라구 요 근데도 이 가격이 개라는 게 진짜 말이 안 돼서 완전 만족 중 입니다,"기능성, 사이즈, 길이, 크롭, 목늘어지다"
메쉬 소재라 시원하고 운동할 때 입기 좋을 거 같아 요 딱 헬스장 운동복 소재 같네요 제의 눈이 보여 요 물론 제 몸이 문제겠죠,"운동, 메쉬소재, 헬스장, 운동복"
가격도 저렴하고 너무 만족스러워요 적극 추천합니다,"가격, 만족감, 저렴하다"
사이즈 파란 선까지와요 운동할려구 샀습니다 저랑 키 비슷하신 분들은 추천 크지 않고 살짝 엉덩이 반 조금 넘게 가리는 정도입니다 좋아요,"M, 웨이트, 넘다, 파란선, 가리다, 160cm, 사이즈, 키분들, 엉덩이부분, 크기"
와 가성비 대박이구 운동할 때도 입고 평소에도 이너로 입고 있어요 아주 좋아요,"운동, 웨어, 웨이트"
세탁 후 목 늘어짐 없고 소재가 해서 운동할 때 도 복안에 입 기 좋아요 여자치고 어깨가 좀 있으니 핏 보실 때 참고 해주세요 사이즈는 아주 조금 여유 있게 딱 맞아요,"운동, 소재, 도복, 사이즈"
시원하고 색 갈도 무난해서 아무 옷에 입고 다닙니다,"색깔, 시원하다"
핼스장에서 운동하려고 샀는데 싸고 운동할 때 입으면 아주 좋아요,"운동, 운동편하다"
체형 기준 좀 타이트 합니다 정핏에서 타이트한 정도 입니다 제가 생각한 후들 흐들 거리는 소재가 아니라 까끌 가리면서 두께가 있는 제품이였어요 운동할 때 안에 받쳐 입 기 좋네요,"체형기준, 타이트, 소재, 운동, 정핏"
진짜 편해요 운동할 때도 한 느낌 없이 시원합니다 가성비 갑 또 주문했져 여,"편하다, 운동, 가성비, 시원하다"
운동할 때 편하게 휘뚤마뚤 입고 있습니다 요즘에는 입기 조금 춥지만 운동 마칠 때는 또 그렇게 춥진 않더라구요,"휘뚤마뚤, 춥다, 웨이트"
기장이 약간 긴 편이라 저는 레이어드 용도로 같이 입으려고 구매했어요 비침이 심하지는 않지만 단독으로 입기에는 비쳐서 단독은 어려울 것 같네요 비칩니다 참고하세요 그 외 기능성이나 상품은 아주 좋아요,"비침, 레이어드, 기장, 단독"
요즘 교복처럼 입고 다니는데 왠만한 바지는 다 매치되 구 슬랙스 랑 입으면 꾸안꾸 가능,"슬랙스, 교복, 바지"
목요일 아침에 주문했는데 출고 월요일 오후에 됐음,"주문, 출고, 월요일, 아침, 오후, 목요일"
운동할 때 입으려고 샀어요 에어쿨링 이라고 해서 얇지 않을까 했는데 생각보다 엄청 얇진 않고 살짝 두툼한 감이 있어요 남여 공용인 거 같아서 로 했는데 또 엄청 큰 편도 아니라서 박스티 같지도 않아 요 약간 생각과 다른 부분이 엄청 많은데 또 엄청 마음에 안 들 지도 않는 요상한 옷입니다 대신 땀은 잘 말라용,"에어쿨링, 두껍다, 박스셔츠, 남자/여자공용, 땀빠르다, 운동, 크기"
딱 그 가격에 맞는 옷 같네요 살짝 두껍 긴 한데 나름 굿,두껍다
제가 입 다가 살이 좀 빠져서 로 구매했는데 아주 만족해요 사이즈 비교해서 사진 올렸어요 아주 미세하지만 차이 있음,"살빼다, 사진올리기, 사이즈비교, XL, L"
가볍고 편하고 너무 좋아요 운동할 때 입으려고 샀는데 만족해요,"편하다, 운동, 가볍다, 좋아하다"
사이즈 정 사이즈로 가면 될 꺼 같고 얇고 금방 마를 꺼 같은 소재여서 일할 때나 운동할 때 맘 편히 입을 수 있을 듯,"얇다, 소재, 금방마르다, 사이즈, 정사이즈"
아빠 잠옷으로 쓰신다고 해서 구매했어요 재질 색깔 다 만족하는데 처음에 엄마가 따로 손 빨래 안 하고 다른 옷이랑 섞어서 세탁했으면 큰일 날 뻔 했어요 물 엄청 빠지네요,"재질, 손빨래, 색깔, 세탁, 아빠잠옷, 물빠지다"
정말 너무너무 좋아요 벌써 두 번째 구입해서 입고 있어요 운동할 때 통풍이 잘 되어서 너무 좋아요 평소에 그냥 입기도 괜찮고 핏도 괜찮아요 가슴 운동할 때 아니면 튀어나와 볼 일이 없어요 정말 정말 좋아요,"튀어나오다, 통풍, 평소, 가슴, 운동"
시원시원하고 너무 좋네요 땀도 금방 마르고요굿입니다,"땀빠르기, 시원하다"
제가 딱 원하던 기능성 티라 만족합니다 운동할 때 입으려고 싸게 샀는데 정말 좋아요 살짝 끼게 입으려고 샀는데 딱 좋네요 제 스펙에 살짝 여유 있게 입으려면 이 좋을 것 같습니다,"운동, 기능성티셔츠, 여유편하다"
운동할 때 입으려고 샀는데 길이가 완전 적당하고 좋아요 완전 얇고 찰랑한 옷 일 거라 생각했는데 생각보다 하고 속옷도 안 비치는 두께감이라 괜찮아요,"운동, 길이, 두께감"
운동할 때마다 잘 입고 있습니다 땀 잘 마르고 좋아요,"웨이트, 땀빠지다"
얇고 땀 흡수 잘되서 운동할 때 입 기 좋습니다 다 만 안쪽이 많이 비칩니다 이너로 입길 추천 드립니다,"얇다, 땀흡수되다, 안쪽비침, 운동, 이너"
운동할 때 입 기 너무 좋은 원단이에요 가성비 좋고요 정 사이즈 사셔도 사이즈 딱 좋아요,"원단, 웨이트, 정사이즈, 가성비"
매쉬 소재에 저스트 핏 가격 대비 굿 티 개 하나당 꼴 잘 입겠습니다,"매쉬소재, 가격대비, 티셔츠, 저스트핏"
체격이 좀 있는 편임에도 운동할 때 하게 입 기 좋을 것 같습니다 땀도 잘 마르는 소재인 것 같아요,"따다, 운동, 땀많이날, 체격"
가성비 템이네요 운동 시에도 좋고 이너로도 입을 수 있을 것 같아 요 흰색은 사 알짝 꼭지스 비치네요,"흰색, 운동, 색깔"
사이즈 한 사이즈 다운하면 운동할 때 달라붙는 핏감 좋습니다 색 감 모니터랑 동일합니다 두께감 얇은 편이나 비침은 적습니다 배송 빠르고 좋습니다 포장 깔끔하게 파손 없이 왔습니다 흰색은 얼룩이 많이 묻어서 검은색을 추천합니다,"파손, 색감, 흰색, 비침, 포장, 핏감, 사이즈, 배송, 두께감, 운동"
통풍 잘 되고 시원해서 맘에 들어 요 두께감이 아예 없는 건 아니라서 비침도 없어서 좋아요,"비침, 두께감, 통풍, 시원하다"
매우 얇으면서도 땀 흡수가 잘 돼서 이너로 입 기 좋아요 잠옷으로도 나쁘지 않습니다,"얇다, 이너, 잠옷, 땀흡수되다"
시원한 재질은 아닌 거 같네요 입었을 때 거친 느낌이에요,"재질, 거치"
운동할 때 무난하게 입 기 좋은 옷인 것 같아 용 기본템이라 쟁여두시면 어딘가에 잘 입을 수 있습니다,"운동, 기본텝, 쟁두다"
생각한 것보다 좀 두께가 있고 흰 셔츠는 꼭지 초상권 보호가 아예 안돼요,"희다셔츠, 초상권보호, 두껍다"
긴팔 구매하고 좋아서 반팔도 구입했네요 가성비 좋아요,"팔, 가성비"
편하고 싸서 항상 이 반팔만 사 서 다용도로 잘 립아요,"편하다, 팔, 싸다, 다용"
그냥 편하게 운동 하러 갈 때 입 기 좋습니다 무난해 요,"함, 펴다"
너무 편하고 좋긴 한데 총장이 좀 깁니다 참고해용,"편하다, 총량"
글리머라는 회사가 일본 회사인데 막 그렇게 정보가 없기도 하고 가격이 너무 말이 안 되는 것 같아서 좀 불안했습니다 일단 가격이 너무 깡 패기도 하지만 옷이 너무 하고 운동할 때 정말 편하게 입을 수 있는 그런 옷입니다 색도 다양하고 진짜 극 가성비 제품입니다,"편하다, 색상, 가격, 가성비, 운동"
사이즈 한 사이즈 다운하면 운동할 때 달라붙는 핏감 좋습니다 색 감 모니터랑 동일합니다 두께감 얇은 편이나 비침은 적습니다 배송 빠르고 좋습니다 포장 깔끔하게 파손 없이 왔습니다,"색감, 얇다, 모니터동일하다색깔, 비침, 포장, 운동달라붙다핏감, 두껍다, 다운, 빠르기, 파손없다, 배송, 깔끔하다"
매우 얇으면서도 땀 흡수가 잘 돼서 이너로 입 기 좋아요 잠옷으로도 나쁘지 않고 단독으로 입기엔 젖꼭지가 너무 나오지만 그래도 저렴하게 잘 샀네요,"얇다, 땀흡수되다, 젖꼭지, 이너, 잠옷, 단독"
사이즈 잘 맞는데 바스트가 있어서 그쪽만 살짝 끼지만 그래도 좋아요,"바스트, 사이즈, 끼"
