Review,Keyword
기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아 요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주 아주 만족해요,"색감, 디자인이랑, 사이즈, 오버핏, 크게"
배송은 예약 배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다,"얇다, 배송, 예약배송, 핏"
옷이 얇고 가볍고 한 핏이라 편하고 시원해서 손이 자주 가네요,"편하다, 얇다, 손, 시원하다, 가볍다, 낭낭, 가다"
주머니 이인 불량 상품 예약 배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교불 안 해주겠다네요 쪽 팔려서 입지도 못하겠어요 다시는 파르 티멘토 안 살 거 같아 요 여러분도 구매하실 때 다시 생각해보세요 불량 받아도 환불 못 받으니까요,"짝짝이, 쪽팔리다, 받다, 교환환불, 발견, 못, 기다리다, 입지, 예약배송, 불량, 다시, 주머니, 세탁, 환불, 상품"
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들 후들한 소재 감 덕분인지 잘 어울리더라구요 단 추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠,"소재, 핏, 활용, 후후, 단추"
왜 안사요 얼른 사 세요 다들 너무 이 뻐요 여름에도 이쁜 옷 입어 보아요,"얼른, 여름입어보다"
겨울에도 패딩 안에 반 팔 입고 다니는 열 많은 인간이라 여름옷이 아주 골아팠던 터였다 죠 그러던 중 이걸 샀는데 개얇고 나 풀나풀한데 후 줄 그레하진 않고 너무 좋은 겁니다 여름옷의 숙명 시원하면 후 줄 그레 단정하면 개더움 여름옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다,"후줄그레, 개다, 여름, 숙명, 나풀나풀"
원하던 반팔 셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,"스타일, 원하다, 팔셔츠"
약간 까슬한 면이 고 두께는 얇아 요 그치만 엄청 시원한 소재까지는 아닌 것 같아 요 딱 원하던 핏이어서 맘에 듭니다,"두께, 까슬하다, 핏, 시원하다"
요즘 체크 패턴 셔츠 정말 가지고 싶었는데 에 구머니나 마침 이렇게 이쁜 제품 발견 한 여름에도 입을 수 있는 얇기에 요 안에 이너 없이 맨 살에 입는 거 추천 추천 막 추천,"셔츠, 얇다, 맨살, 체크패턴"
찐 솔직 후기 사이즈 핏 기장 완벽 배송 예약 배송이어서 기다렸지만 출고되고 빠르게 도착 디자인 팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 하지 않은 핏이라서 만족 색 감 화면 가 같음 가격 가성비가 너무 좋음 합리적 가격 마지막 평 가격 디자인 활용도 생각하면 충분히 좋은 제품이라서 추천 실밥은 아마 제가 뽑기를 못한 거 같은데 그래도 만족,"색감, 디자인, 실밥, 가격, 핏, 사이즈, 기장"
맨살에 입어도 따갑지 않아서 좋아요 휘뚜루 마 뚜루 입을 만 합니다,"맨살, 마뚜루, 휘뚜루"
체크무늬인데 공대 느낌 덜 나서 좋은 거 같아요 귀엽,"귀엽다, 체크무늬, 공대, 덜나서다"
좋아요 생각보다 훨 크게 나온 거 같긴 한데 그래도 입을 만해 요 짱 편한 듯,"편하다, 크게, 만해"
만원에 이 정도 퀄리티랑 핏이면 솔직히 가성비라고 생각합니다 올 여름 시원하게 많이 입고 내년에 안 질리면 계속 입어야지요 만족합니다,"오다여름, 가성비, 만족하다, 시원하다"
오버핏으로 입 기 좋아요 여름 아우터처럼 걸쳐도 예쁘고 와이드 핏 팬츠에는 일반 셔츠로 입어주면 귀여워요 재질이 살에 붙는 재질이 아니라서 시원하고 좋아요,"시원, 와이드핏, 아우터, 여름, 재질, 팬츠, 셔츠, 오버핏"
마감은 살짝 아 쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,"마감, 소디테일, 핏"
셔츠 얇고 예뻐요 여름에 입 기 시원해서 좋은 것 같아용,"여름, 얇다, 시원하다"
항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른 컬러도 구매하고 싶을 정도로 만족합니다,"브랜드, 만족"
배송이 생각보다 느렸던 게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람 많은 곳 가면 마주치기 쉬움 하지만 후들 거리는 게 맘에 들어 요 여름 템으로 잘 입을 듯 여자는 뮤조건 젤 작은 사이즈로 사세요 본인 떡대 쩔지만 해요,"후거리, 사람많다곳, 여름, 뮤조건, 넉넉, 배송, 휘뚤마뚤"
