Review,Processed_Review,keyword
세미 오버핏 블레이저 찾고 있었는데 때마침 할인행사도 하고 이전에 겨울에 넌블랭크 코트 입고 만족했어서 이번에도 구매하게 되었습니다! 착용했을때 어깨랑 팔쪽이 여유로워서 정말 편했고 바지도 허리쪽에 밴딩처리되어 있어서 편했습니다!,세미 오버핏 블레이저 찾고 있었는데 때마침 할인행사도 하고 이전에 겨울에 넌 블랭크 코트 입고 만족했어서 이번에도 구매하게 되었습니다 착용했을 때 어깨랑 팔 쪽이 여유로워서 정말 편했고 바지도 허리 쪽에 밴딩 처리되어 있어서 편했습니다,"코트, 겨울, 할인, 행사, 찾다, 편하다, 어깨"
이쁜 그레이 셋업을 찾고있었는데 이게 눈에 딱 들어왔어요 너무 이쁘네여,이쁜 그레이 셋업을 찾고 있었는데 이게 눈에 딱 들어왔어요 너무 이쁘네요,"들어오다, 셋업, 그레이, 찾다, 눈"
사이즈도 적당하고 핏도 적당하거 좋네요 면접룩 하객룩 ㄱㅊ해요,사이즈도 적당하고 핏도 적당한 거 좋네요 면접룩 하객룩 해요,"적당하다, 핏, 사이즈, 하객, 룩, 면접"
셋업은 핏이 생명인데 제가 찾던 실루엣이 나왔어요!! 너무 오버핏이면 캐주얼스러워서 싫고 너무 정핏이면 평소에 있긴 과한듯해서 싫었는데 편하고 이쁘게 잘나왔어요!!,셋업은 핏이 생명인데 제가 찾던 실루엣이 나왔어요 너무 온 버핏이면 캐주얼스러워서 싫고 너무 정에 핏이면 평소에 있긴 과한듯해서 싫었는데 편하고 이쁘게 잘 나왔어요,"편하다, 생명, 핏이, 싫다, 나오다, 정"
바지 사이즈는 한 사이즈 업해서 사야 입을 때 편할 거 같아요 나머지는 다 만족스럽습니다,바지 사이즈는 한 사이즈 업해서 사야 입을 때 편할 거 같아요 나머지는 다 만족스럽습니다,"만족스럽다, 바지, 업, 사이즈, 편하다, 나머지"
"깔끔하고 스타일 나게 셋업 입기에 좋아요 상의 XL, 하의 L 구매했습니다.",깔끔하고 스타일 나게 셋업 입기에 좋아요 상의 XL 하의 L 구매했습니다,"깔끔하다, 나다, 스타일, 셋업, 하의, 상의, xl"
사이즈 딱맞고요 저렴하게 셋업맞춰서 만족해요,사이즈 딱 맞고요 저렴하게 셋업 맞춰서 만족해요,"저렴하다, 만족하다, 맞다, 맞추다, 셋업, 사이즈"
두껍지 않고 얇은 소재입니다. 봄에 입기 좋아요. 세미오버한 핏이에요,두껍지 않고 얇은 소재입니다 봄에 입기 좋아요 세미 오버한 핏이에요,"봄, 소재, 핏, 두껍다, 얇다, 오버, 세미"
"편하고잘맞아요 다만 바지l 기준, 32사이즈로 허리는 여유있지만 허벅지 종아리가 딱 떨어져서 좀 더 두꺼우신분들은 xl가도좋을거같아요",편하고 잘 맞아요 다만 바지 l 기준 사이즈로 허리는 여유 있지만 허벅지 종아리가 딱 떨어져서 좀 더 두꺼우신 분들은 xl 가도 좋을 거 같아요,"바지, 사이즈, 허벅지, 떨어지다, 편하다, 분, 종아리"
결혼식 가볍게 갈때 입으려고 구매했는데 아주 좋은거 같습니다. 꾸안꾸 스타일로 추천합니다.,결혼식 가볍게 갈 때 입으려고 구매했는데 아주 좋은 거 같습니다 꿈 안 꾸 스타일로 추천합니다,"스타일, 가볍다, 추천, 결혼식"
자켓은 여름에 입기는 살짝 더울거같은데 그래도 얇은 편이고 바지가 하늘하늘한 재질이라 얇고 시원해요! 적당한 세미 오버핏이라 체형이 부각되지 않아서 더 좋은 것 같습니다.  기장이 살짝 길어서 수선을 해야할거 같은데 대만족 입니다!,재킷은 여름에 입기는 살짝 더울 거 같은데 그래도 얇은 편이고 바지가 하늘하늘한 재질이라 얇고 시원해요 적당한 세미 온 버핏이라 체형이 부각되지 않아서 더 좋은 것 같습니다 기장이 살짝 길어서 수선을 해야 할 거 같은데 대만족입니다,"재킷, 덥다, 얇다, 여름, 재질, 시원하다"
약간 루즈하게 잘맞네요 바지통이 약간 큰 느낌이긴한데 아주큰건아니고 약간입니다 생각보다 괜찮습니다 고급스럽진 않지만 막입기 좋은 데일리 정장 입니다,약간 루스하게 잘 맞네요 바지통이 약간 큰 느낌이긴 한데 아주 큰 건 아니고 약간입니다 생각보다 괜찮습니다 고급스럽진 않지만 막입기 좋은 데일리 정장입니다,"정장, 데일리, 바지, 통, 고급스럽다"
얇습니다. 촉감 좋습니다. 근데 어디 긁히면 바로 찢어질 것 같긴합니다. 춥습니다. 얇으니 당연한 거죠. 이쁩니다.,얇습니다 촉감 좋습니다 근데 어디 긁히면 바로 찢어질 것 같긴 합니다 춥습니다 얇으니 당연한 거죠 이쁩니다,"긁다, 얇다, 추다, 찢어지다"
적당한 세미오버핏의 셋업이에요. 색감은 짙은 회색인데 소재가 얇고 가벼워서 여름에도굿,적당한 세미와 버핏의 셋업이에요 색감은 짙은 회색인데 소재가 얇고 가벼워서 여름에도 굿,"색감, 회색, 가볍다, 여름, 소재, 얇다, 셋업, 세미, 짙다, 버핏"
몸에 착 감겨요 맘에들어요 봄에 빨리 입고싶네요,몸에 착 감겨요 맘에 들어요 봄에 빨리 입고 싶네요,"봄, 감겨, 몸, 빨리"
바지 기장과 상의 소매만 수선 후 입었습니다! 이렇게만 하니까 저 한테 딱 맞게 입을수 있었습니다! 군더더기 없이 깔끔한거 같아요!!  블랙 수트에 이어 그레이 색강도 구매하게 됬네요!,바지 기장과 상의 소매만 수선 후 입었습니다 이렇게만 하니까 저한테 딱 맞게 입을 수 있었습니다 군더더기 없이 깔끔한 거 같아요 블랙 슈트에 이어 그레이 색 강도 구매하게 됐네요,"바지, 그레이, 깔끔하다, 블랙, 군더더기, 소매, 맞다, 기장"
핏 사이즈 재질 모두 만족스러워요 솔직히 기대 안 하고 구매했는데 완전 만족 대만족입니다 다른 색상도 구매해야겠어요,핏 사이즈 재질 모두 만족스러워요 솔직히 기대 안 하고 구매했는데 완전 만족 대만족입니다 다른 색상도 구매해야겠어요,"색상, 대, 만족, 만족스럽다, 재질, 솔직하다"
"176에 75키로, 상의 엑스라지, 하의 라지 잘 맞아요",에 키로 상의 엑스라지 하의 라지 잘 맞아요,"맞다, 엑스, 라지, 하의, 키로, 상의"
금액 대비 가성비 최고의 옷이라고 생각해요 정사이즈입니다,금액 대비 가성비 최고의 옷이라고 생각해요 정 사이즈입니다,"이라고, 사이즈, 최고, 가성비, 금액, 대비"
한겨울엔 이너로 봄가을은 아우터로 좋습니다 핏도이뻐요,한겨울엔 이너로 봄가을은 아우터로 좋습니다 핏도 이뻐요,"이너, 아우터, 핏, 한겨울"
결혼식 축가용으로 샀습니다. 얇아서 간절기 여름 다 좋네요.,결혼식 축가용으로 샀습니다 얇아서 간절기 여름 다 좋네요,"축가, 얇다, 여름, 간절기, 결혼식"
한 번 정장식으로 입어 봤습니다. 자캣은 사이즈가 괜찮은 데 바지가 약간 작내요. 저와 같은 사람이 있다면 34 사이즈를 추천 합니다.,한 번 정장식으로 입어 봤습니다 재킷은 사이즈가 괜찮은 데 바지가 약간 작네요 저와 같은 사람이 있다면 사이즈를 추천합니다,"재킷, 사이즈, 추천, 작다, 정장식"
핏하게 잘 나왔네요 가격 대비 심플한 셋업수트인 것 같네요,피하게 잘 나왔네요 가격 대비 심플한 셋업 슈트인 것 같네요,"나오다, 슈트, 셋업, 피하, 심플, 대비, 가격"
한여름만 아니면 입을 수 있을 정도로 가볍고 얇습니다! 착용감 매우 편하고 뒷밴딩있어서 좋아요! 색깔도 딱 화면에서 본 그대로입니다:-),한여름만 아니면 입을 수 있을 정도로 가볍고 얇습니다 착용감 매우 편하고 뒷밴딩있어서 좋아요 색깔도 딱 화면에서 본 그대로입니다,"색깔, 착용, 가볍다, 화면, 얇다, 편하다, 뒷, 밴딩, 그대로"
결혼식에 딱 입기 좋습니다 핏도 너무 좋고 가격이 너무 사기에요,결혼식에 딱 입기 좋습니다 핏도 너무 좋고 가격이 너무 사기에요,"사기, 핏, 가격, 결혼식"
가성비 좋아요 지금 입기 딱 좋은 두께입니다  색상도 너무 어둡지 않고 무난하게 입기 좋아요,가성비 좋아요 지금 입기 딱 좋은 두께입니다 색상도 너무 어둡지 않고 무난하게 입기 좋아요,"색상, 어둡다, 무난, 두께, 가성비"
옷이 예뻐요 배송이 빨라요 사이즈도 딱이에요 감사합니다,옷이 예뻐요 배송이 빨라요 사이즈도 딱이에요 감사합니다,"딱이다, 배송, 빠르다, 사이즈"
옷이 정말 좋습니다. 정장 포멀한 스타일 좋아하는데 옷 디테일부터 다릅니다. 세차하는데 많이 쌈@봉해보여요,옷이 정말 좋습니다 정장 포멀한 스타일 좋아하는데 옷 디테일부터 다릅니다 세차하는데 많이 쌈 봉해 보여요,"좋아하다, 보이다, 세차, 포, 멀다, 디테일, 스타일, 봉"
사이즈 잘 맞고 여름에 편하게 입을 셋업 구매 잘한것 같아요,사이즈 잘 맞고 여름에 편하게 입을 셋업 구매 잘한 것 같아요,"여름, 편하다, 맞다, 셋업, 사이즈"
