Review,Keyword
여름에 꼭 가지고 있어야 템 중 하나 입니다 원플원임에도 불구하고 퀄리티랑 핏이 너무 괜찮아요 어디 가서 이런 가격으로 이런 퀄리티 내기 쉽지 않습니 닿 재질도 부드러운 니트 소재라 안에 아 무것도 안 입어도 피부가 자극을 받지 않아 요 사이즈는 정 사이즈로 구매하시거나 제 체형 참고하고 구매하시면 될 것 같아 요 배송은 나쁘지 않았고 포장도 잘 되어 있어서 기분  좋게 받을 수 있었답니다,"퀄리티, 여름, 포장, 재질, 핏, 사이즈, 배송"
여름에 입 기 딱 좋은 두께에 요 부 드러워서 맨 몸에 입어도 괜찮아요,"두께, 맨몸, 부드러움"
시원한 느낌이라 좋습니다 부드러워 편하네요 카라와 단추 라인이 예쁘게 잘 나왔습니다 적당히 풀고 닫고 하기 좋아요,"편하다, 부드럽다, 카라, 라인, 시원하다, 닫다, 단추"
무신사 매장까지 방문해서 재질확인 후 이 구매하였습니다 여름에 입 기 좋은 두께 감입니다 핏도 몸통 밑으로 갈수록 좁아져서 몸에 촥 감깁니 다 너무 맘에 들어요,"재질, 핏, 물다, 두께감, 몸통"
최고에 요 사이즈 살짝 오버핏인데 그냥 너무 좋야 요 제 스펙이랑 비슷하시면 사세요,"사이즈, 최고, 스펙, 오버핏"
색감이 너무 취향이라 구매했습니다 하늘색을 좋아하는데 실물이 더 예뻤어요 가성비 좋은 반팔 니트입니다 한 계절 무난하게 입고 다니기 좋을 것 같아 요 마른 편이라 체형이 드러나는 얇고 붙는 옷을 선호하지 않는데 입었을 때 괜찮았어요 저는 안에 여름용 나 시 입었습니다 아직 계절이 안 풀려서 자켓 안에 입었는데 괜찮았어요,"드러나다, 색감, 얇다, 하늘색, 체형, 실물, 니트, 여름, 나시, 계절, 가성비, 팔, 자켓, 취향"
키 몸무게에 비해 운동을 해서 상체가 조금 두께감이 있는 편입니다 저스트하게 맞는 듯합니다 조금 헐렁하게 너프하게 입고 싶은 분들은 한 치수 업해도 이 쁠꺼 같아요,"너프, 키몸무게, 상체, 헐렁하다, 저스트"
니트의 색감이 내가 생각한 것과 좀 다르면 어쩌지 생각했었는데 막상 받아서 입어보니 핏도 너무 예쁘고 색감도 제가 생각한 대로라서 너무 만족스러워요 사이즈도 딱 좋고 가 벼워서 여름에 입고 다니기 좋을 것 같아 요 시보리 디테일도,"색감, 디테일, 사이즈, 핏"
촉감도 부드럽고 색감도 이 쁘네요 사이즈는 한 사이즈 작은 게 맞을 듯요,"색감, 사이즈, 촉감"
작년에도 사고 또 사서 너무 만족스럽네요 카라 없는 것도 구매 예정입니다,"사서, 작년, 만족스럽다, 카라없다, 사고"
길이도 괜찮고 편한 느낌이어서 좋아요 그리고 색도 예쁘고 특히 가 벼워서 여름에도 부담 없이 입을 수 있을 것 같아서 좋습니다,"가볍다, 길이, 편하다, 색"
작년에 사고 너무 맘에 들어서 다른 색으로 더 장만 했슴 다 그냥 핏이며 소재며 관리며 최고입니다 이거 안 사는 이유를 모르겠어요 가격도 매우 저렴하고요 일반 머슬핏보다 더 머슬핏이에 요 최고 입 다 엘 그레이 색이 생각보다 더 맛도 리네요,"관리, 가격, 소재, 핏, 머슬핏, 일반, 맛도리"
아이보리는 거의 흰색에 가깝네요 통풍도 잘 되고 시원하게 잘 입을 거 같습니다,"흰색, 시원, 통풍, 아이보리"
여름에도 입을 수 있는 얇은 니트를 처음 구매해봤습니다 비슷한 스타일의 제품이 여러 브랜드에서 출 시 되고 있음에도 첫 구매라 자세한 비교는 어려웠지만 수아레 브랜드에 선호도가 있어서 결정하였습니다 종합적으로는 그냥 가격 값에 준하는 옷이라고 느껴졌습니다 제 체형에 제품 사이즈는 적당한 기장을 가지고 있는데 사람에 따라 길이가 좀 애매하다고 느껴질 수 있습 니다 저는 처음 구매해 본 거라서 한 눈에 예쁘다는 느낌보다는 이게 맞나 싶은 긴가 민가함이 있습니다 다 만 총장은 넣어 입을 때에 더 잘 어 울릴 것 같았습니다 전체적인 핏이나 디자인은 무난하고 적합하고 취향에 따라 한 사이즈 작게 가서 정핏으로 착용하는 것도 추천합니다 아이보리의 경우 살짝의 비침이 있어서 패치를 이용하는 편이 좋습니다 넥 라인 마감 봉제 선이 한쪽으로 처리되어 있어서 아쉬웠습니다 변형 틀어짐이 당장 크지 않지만 오래 입기보다 전투적으로 활용하는 편이 좋겠습니다,"아이보리, 전투, 마감, 편, 적합하다, 이용, 전체, 오래, 넥, 한쪽, 변형, 착용, 핏이나, 크다, 자다, 활용, 처리되어다, 취향, 가다, 어울리다, 총장, 디자인, 틀어지다, 여름, 하고, 경우, 브랜드, 작다, 정핏, 넣다, 따르다, 패치, 니트, 편이, 추천, 사이즈, 비치, 라인, 봉제선, 아쉽다"
보통 옷을 사이즈로 구매하고 살짝 오버핏으로 입는데 이 옷은 사이즈가 딱 맞는 것 같네요,"XL, 보통, 오버핏, L"
수아레의 역작이네요 매년 수아레를 구매하는 것 같은데 이번 니트 반 팔은 참 예쁘네요 잘 입을 게요,니트팔
색감이 너무 좋네요 재질도 안 거치고 부드러워요,"색감, 재질, 부드러움"
여기 제품은 기장이 길지 않아 키 작은 사람들에게 아주 좋아요,"키, 키작다, 기장"
예쁘긴 한 디 세탁 한 번 하니 보풀이 테이프로 싹 다 떼줫는데 세탁 시마다 이러면 감당이,"테이프, 세탁, 보풀"
시켯다가 로 바꿧는데 사이즈 찰떡입니다 가성비짱,"l, 가성비짱, 사이즈, m, 찰떡"
반팔 니트 첨 사보는데 생각보다 얇아서 한 여름 전까지는 입을 만 할 거 같아 요 아이보리가 진짜 너무 이 뻐요 스카이 블루는 생각한 것보다는 좀 쨍한 느낌 가성비로 잘 입고 다닐 거 같네용,"스카이블루, 아이보리, 팔니트"
네이비 라운드 그린 카라 시켰는데 캐주얼하게 입을 거면 정핏으로 입을 거면 이 맞네요 수아레는 니트 류 몇 번 사봤다가 대부분 반품했는데 이번 케이블 니트는 대 만족입니다 촉감도 좋고 색감도 너무 쨍하지 않아 좋아요,"네이비라운드, 그린카라, L, 케이블니트, 정핏"
믿고 사는 수아레입니다 저번에 이어 이번이 번째 구매인데 역시 핏과 색감 모두 좋습니다 한 가지 아쉬운 점은 마감인데 신경 쓰일 정도는 아니네요,"색감, 마감, 핏"
와우 옷이 너무 예뻐서 감탄했어요 다음에도 또 살게요 여름에 잘 입을 것 같아 요 감사합니다,"여름, 감사, 와우, 감탄"
핏이랑 색감이 너무 예뻐요 단추 풀어 입어도 예쁩니다 두껍지 않아서 여름에 입기도 좋을 거 같아 요 추천합니다,"색감, 여름, 핏, 두껍다, 단추"
진짜 기본 제품이라 어느 룩에도 잘 어울리네 요 그냥 입어도 되고 자켓이랑 입어도 되고,"제품, 기본, 자켓, 룩"
남자친구 선물로 주려고 샀는데 아직 한 달이나 남아서 제가 입었네요 부드러운 얇은 니트라 여름에 아주 잘 입을 것 같고 사이즈도 남자친구 체형에 아마 여유로울 것 같아 요 예쁜 쨍한 초록색이라 청바지나 흰 바지 검은 바지 다 잘 어울릴 거 같아 요 원플원이라 제가 하나 가질까 고민돼 요,"희다바지, 니트, 여름, 원플원, 청바지, 사이즈, 검다바지, 남자친구"
너무 좋습니가 수아레 제품 또 사려고요 카라랑 라운드 등 다르게 선택하는 것과 가격까지 모두 좋습니드,"가격, 카라, 라운드"
생각보다 얇아서 시원하고 몸이 커 보이는 효과가 있어서 좋습니다 완전 여름 되면 어렵긴 하겠지만 요새 날씨에는 추천 드립니다 제 신체 스펙이랑 비슷한 분은 엑스라지 추천 드려요,"얇다, 몸, 어렵다, 효과, 신체스펙, 엑스라지, 추천, 크다보이, 시원하다"
핏 죽이네요 몸도 더 좋아 보이고 얇아서 더 좋아요,"얇다, 몸, 핏"
폴로 꽈배기보다 조금 더 얇은 데 부드럽고 해요 기본템으로 아주 좋아요 아주 추천합니다,"폴로, 꽈배기, 추천, 기본, 부드럽다, 탄탄"
사진 그대로 색감은 화면과 비슷했습니다 너무 나 풀나풀게 여름에 딱 일 것 같습니다 가 성비 좋구 세탁 후 변형은 있을 것 같아 은 느낌인데 물 빨래 가능 소재라고 하니 너무 좋아요,"물빨래, 색감, 변형, 여름, 소재, 화면, 세탁, 가성비"
넘 이 뻐요 여름에 입 기 딱 좋습니다 제 스펙이면 추천 드립니다,"여름, xl추천드리다, 스펙, 넘다"
사이즈는 저랑 비슷하시면 으로 가시면 될 것 같구요 재질은 여름에 시원하게 코디하기 좋게 적당히 얇은 부드러운 니트라 좋았어요 코디는 은 근 와이드 흑청이랑 생지 데님 아니면 사진처럼 버뮤다 팬츠도 괜찮은 것 같아 요 감사합니다,"코디, 생지데님, 흑청, 재질, 사이즈, 버뮤다팬츠"
가성비 갑 디자인도 넘 이 쁘고 전혀 저렴해 보이지 않습니다 블루랑 두 칼라 구매하길 잘한 듯 요 사이즈는 하나 작게 입었습니다,"디자인, 저렴하다, 자다, 블루, 하나, 칼라, 사이즈, 가성비, 작다"
아이보리네이비 색상 예쁘네요 보이기엔 보풀 잘 안 생길 듯한 데 입어봐야 알겠죠,"아이보리네이비, 색상, 보풀"
너무 좋습니다 앞으로 다시 구매할 수 있을 것 같아요,"다시, 수, 앞"
니트 류지만 얇아서 지금 입기에 덥지 않습니다 색 감 예쁘고 좋네요,"색감, 덥다, 니트류"
소재도 좋고 핏도 아주 마음에 듭니다 오랜만에 좋은 옷 구매한 것 같아서 기분 좋습니다 고민하시는 분들에게 강 추입니다,"소재, 강추, 고민, 핏, 오랜만"
색감은 사진 그대로 고 사이즈는 약간 루즈핏 니트치고 얇은 편이지만 그래도 니트는 니트라 한 여름 날씨에 입기에는 하고 더울듯,"색감, 니트, 루즈핏, 사이즈, 한여름"
사이즈 긴 하지만 생각보다 훨씬 더 한 사이즈입니다,"L사이즈, 넉넉하다사이즈"
배송도 빠르고 무엇보다 재질이 시원해요 땀이 많은데 잘 입을 수 있겠어요,"시원, 자다, 재질, 배송, 땀, 많다, 빠르다"
일단 배송이 빨리 와서 좋았습니다 한 여름에 입기에는 두껍 긴 하지만 정말 합리적인 가격으로 예쁜 옷 산 것 같아 요 검정은 화면이랑 똑같은데 아이보리 색은 생각보다 밝아서 화이트에 가깝습니다 저랑 신체 사이즈 비슷한 분들은 하시면 딱입니다,"합리, 아이보리, 가격, 화이트, 신체, 빨리, 사이즈, 배송, 한여름, 화면"
요즘 반팔 니트 유행이라 길래 두 벌 장만 했는데 좋아요,팔니트
광고에 이벤트 보고 구매했는데 가격도 맘에 들고 워셔블이라 욱 구매 흥미가 생겼어요 받아보니 후회 없이 출근적으로 잘 입고 있습니다,"워셔블, 이벤트, 가격, 출근"
너무 맘에 드네요 사이즈도 딱이 고 핏도 너무 맘에 들어요,"사이즈, 핏"
