Review,Keyword
이옷을살까말까고민했던하루가아깝습니다정말예쁘고흔하지도않습니다제스펙에L시켰더니딱오버핏느낌으로좋았습니다당장구매하십시오,"흔하다, 스펙L오버핏, 하십시오, 까맣다고민하루아깝다"
흰색 포인트가 들어가서 다른 저지랑은 색다름을 줄 수 있어 너무 예쁩니다 봄가을에 아우 처용으로 입으면 좋고 검은색이라서 무난하게 모든 바지랑 다 잘 어울려요,"포인트, 저지, 바지, 처용, 아우, 검은색, 무난, 가을, 봄, 흰색"
와 투 케 Z조 N 에여 아디다스 너무 이쁘다 이뻐요,"케, N, 아디다스, 투, Z조"
베켄바워 블랙 화이트는 이미 가지고 있어 안 사려 했지만 포인트가 너무 예뻐서 사게 만드는 일단 넥 라인이 예쁘고 아디다스답게 지퍼가 부드럽네요 지퍼 디테일도 깔끔해요 투 웨이인데 걸림 없습니다 팔이랑 전체 기장이 조금만 짧았더라면 하는 아쉬움이 있지만 사이즈 미스 난 제 탓도 있으니 사이즈 표 보면서 구매하는 거 추천드려요 품이 여유롭긴 하나 평소에 입던 빈티지 베켄바워보다는 좀 더 슬림 하다고 느껴졌어요,"넥, 블랙, 디테일, 기장, 팔, 포인트, 전체, 사이즈, 슬림, 라인, 지퍼, 투, 빈티지, 화이트, 걸리다, 베켄바워"
헤헤 탄탄하고 예뽀요 안 흔해서 좋음 근데 좀 길고 밑단 시보리 하얀색인 거까진 제 취향이 아니러 소 그냥 접고 다뇨욤 아 귀여워 내 옷,"길다, 흔, 시보리, 내, 귀엽다, 탄탄, 하얀색, 소, 예뽀"
예뻐요 빳빳한 재질입니다 교복 받쳐 입으면 좀 낄 거 같은 그런 느낌 m사이즈 클 줄 알았는데 그냥 약간 세미 긴팔원숭이 되는 그런 느낌만 들고 소매 걷어 올리면 예쁜 핏 됩니다 그라믄 즐거운 쇼핑 되세요,"크다, 교복, 핏, 믄, 재질, 팔원숭이, 빳빳, 걷다, 올리다, 세미, m사이즈, 즐겁다, 소매, 쇼핑, 받치다, 끼다"
옷 이뻐요 귀엽고 옷 재질도 그냥 저지보다 탄탄하게 느껴져서 좋았어요 살짝 슬림 하게 입고 싶었는데 그냥 평범한 핏이라 m살껄 그랬네요 그냥 반품비 아깝고 귀찮고 나름 괜찮아서 그냥 입으려구요 제가 길이가 감이 안 와서 고민을 많이 했기에 사진 다양하게 첨부합니다,"핏, 반품비, 재질, 느껴지다, 슬림, 평범하다, m살껄, 귀엽다, 저지, 길이, 귀찮다, 탄탄하다, 나름, 아깝다"
ADIDAS IS 신뢰에요 재빠르게 구매 완료에요,"완료, 신뢰"
으아악 개이쁨요 하루 만에 와서 어제 입고 나갔다가 얼어 죽을뻔했어요 투 웨이라는 게 진짜 맘에 들고 팔이 약간 긴 느낌이 있지만 이뻐서 만족합니다,개
이뻐서 사고 싶었는데 사이즈가 XL밖에 없어서 사긴 샀는데 너무 크네 야 저희 집 강아지 너구리에요 이날 첫 산책했어요 지금은 제 옆에서 자고 있어요,"크다, 옆, 자고, 너구리, 집, 날, 사고, 강아지, XL밖에, 첫, 사이즈, 산책"
밑에 시보리가 생각보다 짱짱해요 길이는 짧을 줄 알았는데 생각보다 길어요 엉덩이 한 정도 덮는 듯 처음 입었을 때는 아 약간 잘못 샀네 싶었는데 입고 보니 예쁘더라고요 홍 투 웨이라서 지퍼 잠그기가 좀 어렵지만 투 웨이라서 예쁩니다 안 흔한 거 원하면 사세요,"덮다, 잘못, 엉덩이, 짧다, 시보리, 홍, 어렵다, 길이, 지퍼, 잠그다, 투, 처음, 밑, 짱짱"
블랙만 사려고 했는데 요거 사길 잘한 거 같아요 귀여고 이뻐요,"블랙, 사려, 여고"
청바지랑 입어도 이쁘고 구여워욤 좀 얇아요 투 웨이여서 편햐용,"투, 워, 편하다, 얇다, 청바지"
줠라 예뻐요 사세여 사세요 많이 안 커요 생각 부다,
디자인도 이쁘고 봄에 가볍게 입으면 딱 좋은 두께감 정 사이즈 고르시면 맞아요,"맞다, 가볍다, 디자인, 두께감, 정, 봄, 사이즈"
너무 뻔한 저지는 싫다 스포티하면서도 귀엽고 싶다 하시는 분들 구매하십띠오 옷이 커엽네요 기준 L 사이즈 엉덩이 반 정도 덮고 소매는 손끝까지 덮어요 그리고 교복 위에 입을 거라서 크게 샀는데 아디다스 저지 특유의 허리 끼임이 없어서 편하네요 참고하십띠오,"뻔하다, 커엽다, 기준, 교복, 크게, 엉덩이, 허리, 귀엽다, 저지, 편하다, 스포티, 소매, 손끝, 참고띠오, 사이즈, 덮다, 끼임"
가격 대비 디자인 제외하고 제값 못하는 옷입니다 일단 너무 얇고요 안에는 무슨 기모 재질로 되어있는데 이거 돌돌이 밀면 진짜 한 세 번은 밀어도 세 번 다 겁나 까맣게 먼지 묻어 나오고 너무 기대를 하고 사서 그런지 글쎄요 딱히 추천은 안 합니다 전체적인 사이즈에 비해서 밑단도 너무 조여요 다른 부분들은 넉넉하니 잘 맞았습니다 디자인 빼고 나머진 다 상관 없음 하시는 분들껜 추천이요,"사이즈, 재질, 전체, 먼지, 값, 디자인, 상관, 가격, 추천, 밑단, 기모, 조여, 얇다, 묻다, 돌돌이, 밀다"
정말 좋아요 편하고 배색이 귀여움 안에 살짝 기모라 따끈하구옝 댁 뜯기 전에 확인 잘하세요 그냥 입었는데 보니까 목 쪽에 재봉이 안 돼있어서 수선했자 영,"전, 보, 재봉, 기모, 편하다, 뜯다, 확인, 수선하다, 목, 쪽, 따끈하다옝, 댁, 배색"
이뻐요 캬캬 피하게 입으려고 m 샀는데 제가 원하던 핏이에요,"캬캬, 핏, m, 피하, 원하다"
이뻐요 사이즈 마지막까지 고민했는데 음 왕 굿 여자분들 중에 약간 덩치 있고 키 크신 분들은 L로 하시면 딱 이쁘게 맞습니다 밑에 짱짱한 건 약간 아쉽지만 접어서 넣으면 너무 이뻐요,"크다, 키, 마지막, 맞다, 아쉽다, 짱짱하다, 굿, 여자, 접다, 덩치, 왕, 건, 넣다, 고민, 사이즈, 밑, L"
배송받고 다른 컬러도 한 번 입어 보려고 근처 아디다스 매장 갔다가 찍었습니다 예전 어릴 때 올드스쿨 느낌도 나고 좋습니다 일부러 넉넉한 사이즈로 주문했더니 루스 핏 느낌 나고 좋네요,"핏, 어리다, 컬러, 가다, 매장, 루스, 근처, 아디다스, 찍다, 예전, 넉넉하다, 배송받다, 주문, 일부러, 사이즈, 나다, 올드스쿨"
역시 베켄바워입니다 그냥 클래식 깃이 길어서 입 가려요,"클래식, 베켄바워, 깃, 가다"
박시한 핏으로 잘 입고 있어요 사이즈 커도 괜찮나요,"크다, 핏, 사이즈, 박시"
설 연휴 때문에 배송 오래 걸릴 줄 알았는데 주문하고 바로 다음날 도착했어요 사이즈 많이 고민하다가 엑스라지 했는데 총장이 조금 더 짧았으면 더 좋았겠지만 저렴하게 구매해서 만족스러워요 대대장 저지가 만 원도 안 한다 말도 지퍼 투 웨이인 게 제일 좋아요,"저렴, 도착, 설, 총장, 저지, 지퍼, 주문, 투, 배송, 대대장, 사이즈, 연휴"
흰색 포인트 부분으로 밋밋함이 덜하고 더 세련되어 보입니다 블랙으로 하려다 블랙 앤 화이트로 했는데 탁월한 선택인 것 같습니다,"블랙, 포인트, 덜하다, 밋밋하다, 선택, 화이트, 앤, 부분, 탁월, 세련되다, 흰색"
시보리가 짱짱해서 투 웨이 아니었음 아래가 불편했을 것 같아요 생각보다 너무 이뻐서 네이비도 사고 싶음,"투, 네이비, 불편, 시보리"
너무 이쁨 그냥 사세요 히히 고민하지 마 히히 지갑을 열어 히히,"지갑, 열다, 고민, 히히"
투 웨이라서 스타일링 하기에 너무 좋고 입었을 때 감기는 느낌이 너무 좋습니다,"스타일링, 투, 감기"
시보리가 짱짱해서 투 웨이 아니었으면 불편했을 듯,"투, 불편, 짱짱, 시보리"
사이즈 저가 원하던 대로 나와요 끝에 가 좀 탄탄해요,"대로, 가다, 나오다, 끝, 탄탄하다, 저가, 원하다, 사이즈"
와 이건 진짜 존 예입니다 워싱진에 찰떡 사이즈 조금 작은 감 있어요,"찰떡, 존, 워싱진, 사이즈"
시보리가 우매 우매하게 짱짱하긴 한데 너무 이쁨,"우매, 짱짱, 시보리"
다른 건 다 좋은데 길이가 너무 길어요 살짝 애매쓰 하지만 이쁨,"길, 길이"
제 스펙 기준 온 버핏은 아니고 정 핏이었습니다 참고하세요,"오버핏, 정, 핏, 스펙"
기본 블랙보다 화이트 포인트가 있는 게 심심하지 않고 더 이쁩니다 사진 찍으려고 아무 검정 바지나 입고 찍었는데도 뭔가 룩이 살아남 추천이요 한 사이즈 크게 사도 좋습니다,"크게, 블랙, 포인트, 검정, 기본, 심심하다, 룩, 바지, 찍다, 추천, 화이트, 살아나다, 사도, 사이즈, 사진"
배색 조합 좋아하는데 아디다스에서 이렇게 예쁜 디자인을 내주다니 생각보다 재질이 탄탄하고 오래 입을 수 있겠다 싶었어요 아디다스 저지 하나 갖고 싶었는데 배색 좋아하시면 고민 없이 지르는 거 추천 짱 예뿜 카라 접을 때 잘 안 접힌다는 점이 아쉽긴 했지만 너무너무 마음에 드는 핏과 디자인이라 만족했습니다 피하게 입을 거면 s사도 될 번 했네요 그렇지만 저는 편하게 입을 거라 m 구매했습니다 비슷한 스펙이신 분들은 m 추천드려요 적당히 폭 낙낙하고 어벙해 보이지도 않습니다,"핏, 조합, 피하, 갖다, 카라, 좋아하다, 고민, 재질, 점, 아디다스, 접힌, 짱, 없이, 접, 탄탄, 예뿜, 배색, 만족, 디자인, 지르다, 추천, 오래"
색감 선명하고 부들부들 봄 와서 빨리 입고 시픔 기장 때문에 제일 큰 거 시켰는데 하나 작았어도 좋았을 것 같아요 아래 시보리가 생각보다 튼튼해서 좋았음 색깔 매치도 생각보다 독특하게 예뻐서 최고예요,"틀다틀다, 기장, 작다, 시보리, 시픔, 부들부들, 매치, 색감, 독특, 빨리, 아래, 선명, 색깔, 봄, 최고"
