Review,Keyword
너모 예뻐요 그냥 제가 알던 재질인 줄 알았는데 좀 한 재질이에 요 그리고 안에 기 모 비스무르한 안감이 있습니다아 여름엔 못 입을 거 같아 요 랑 둘 다 샀는데 제 키면 고만고만 합니다 근데 좀 핫걸이 되고 싶다면 추천합니다,"핫걸, 안감, 여름, 재질, 키"
기장에 비해 품은 작고 또 작은 사이즈로 가자니 입 기 해서 사이즈에서 로 교환했읍니다 라지로 바꿀 걸 입을 때마다 후회 중입니다 너무 기장이 길어요 그래서 원하는 핏이 안 나와서 아쉽습니다,"핏, 사이즈, 원하다, 기장, 후회"
안에 살짝 기 모느낌이 나서 따뜻해 요 봄이나 가을에 이것만 걸쳐도 될 듯 아래 밴딩이 잘 늘어나서 앉아 있어도 편해요 완 죤 이쁨,"밴딩, 가을, 봄, 기모, 편"
화면보다 색은 어두워요 그게 더 이쁜 듯 입었을 때 착 감기는 느낌은 아니지만 촤 라락 떨어지는 감은 있어요 길이는 길지만 밑에 시보리 해서 골반에 걸쳐 입음 이 쁘네요 흰색 바지나 검정 바지 같이 입음 이 쁘고 카고 바지 추천해요,"촤라락, 색, 골반, 카바지, 길이"
존 예 아디다스가 아디다스한 듯해요 엘 사이즈로 딱 맞춤이네 여 색깔 진심 너무 이 쁘고 핏이 너무 이뻐요,"핏, 아디다스, 색깔, 존예, 엘사이즈"
오버핏으로 입으려고 엑스라지 삿는데 좀 크긴 하네요 배송은 하루 만에 왓고 에 궁둥 쓰가 다 덮어 용 나 중엔 엠으로 하나 사려 구용 맘에 들어 용 카고바지나 저런 트레이닝에도 잘 어울려 용,"카바지, 오버핏, 트레이닝, 엑스라지"
배송도 넘 빠르구 해외 가서 이뿌게 입었답니 다 인생 샷건지게 해주셔서 감사합니다,"해외, 인생샷, 배송, 감사, 빠르다"
이 뻐요 색감이 진해서 촌스럽지 않고 스타일 좋아요 사이즈는 정 사이즈로 가심될 거 같아요 스타일 납니다요,"색감, 스타일, 정사이즈"
와우 완전 이 뻐요 이 거입고 여 친 만들었습니다 하핫,"만들다, 핫, 여친"
진짜 배색이 너무 마음에 들고요 핏도 너무 예뻐요 초여름까지 입을 만한 두께 고 한 겨울에도 안에 입을 만한 두께에 요 반기 모 느낌인데 다른 아디다스 제품이랑 비슷한 느낌입니다,"초여름, 한겨울, 기모, 핏, 배색"
투엑스 라지 주문했는데 생각보다 크지 않았어요 간절기에 입으면 좋을 거 같아 요 이쁩니다,"간절기, 크다, 투엑스"
딱 생각한 그대로 고 예뻐요 아무 데나 매치해도 괜찮은 느낌,"그대로, 매치"
예뻐용 근데 약간 길이가 애매하긴 해요 그래 두 예뻐여,"애매, 길이"
