Processed_Review,keyword
너모 예뻐요 그냥 제가 알던 재질인 줄 알았는데 좀 빳빳한 재질이에요 그리고 안에 기모 비스 무름한 안감이 있습니다 여름엔 못 입을 거 같아요 s랑 m 둘 다 샀는데 제 키면 고만고만합니다 근데 좀 핫걸이 되고 싶다면 s 추천합니다,"고만고만하다, 추천, 안감, 무름, 재질, 알다, 재질"
기장에 비해 품은 작고 또 작은 사이즈로 가자니 입기 답답해서 m 사이즈에서 xl로 교환했습니다 라지로 바꿀 걸 입을 때마다 후회 중입니다 너무 기장이 길어요 그래서 원하는 핏이 안 나와서 아쉽습니다,"중, 사이즈, 나오다, 가다, 답답하다, 사이즈, 원하다, 기장"
안에 살짝 기모 느낌이 나서 따뜻해요 봄이나 가을에 이것만 걸쳐도 될 듯 아래 밴딩이 잘 늘어나서 앉아있어도 편해요 완전 이쁨,"밴딩, 걸치다, 늘어나다, 편하다, 나서다, 봄, 가을, 아래"
화면보다 색은 어두워요 그게 더 이쁜 듯 입었을 때 착 감기는 느낌은 아니지만 촤라락 떨어지는 감은 있어요 길이는 길지만 밑에 시보리 짱짱해서 골반에 걸쳐 입음 이쁘네요 흰색 바지나 검정 바지같이 입음 이쁘고 카고 바지 추천해요,"추천, 흰색, 화면, 걸치다, 아니다, 길, 촤라락, 바지, 색, 바지"
,
존 예 아디다스가 아디다스 한듯해요 엘사이즈로 딱 맞춤이네요 색깔 진심 너무 이쁘고 핏이 너무 이뻐요,"아디다스, 아디다스, 엘사 이즈, 진심, 듯해, 핏, 색깔"
온 버핏으로 입으려고 엑스라지 샀는데 좀 크긴 하네요 배송은 하루 만에 왔고에 궁둥 쓰나 다 덮어요 나중엔 엠으로 하나 사려고요 맘에 들어요 카고 바지나 저런 트레이닝에도 잘 어울려요,"어울리다, 트레이닝, 엑스, 바지, 배송, 나중"
배송도 너무 빠르고 해외 가서 이쁘게 입었답니다 인생 샷건 지게해 주셔서 감사합니다,"인생, 주다, 배송, 가다, 지게, 해외"
이뻐요 색감이 진해서 촌스럽지 않고 스타일 좋아요 사이즈는 정 사이즈로 가심될 거 같아요 스타일 납니다,"사이즈, 진하다, 색감, 촌, 사이즈, 스타일, 나다"
와우 정말 이뻐요 이거 입고 여자친구 만들었습니다 하핫,"여자친구, 와우, 핫, 만들다"
