Review,Processed_Review,keyword
너모 예뻐요>< 그냥 제가 알던 재질인 줄 알았는데 좀 빳빳한 재질이에요 그리고 안에 기모 비스무르한 안감이 있습니다!!(아 여름엔 못 입을 거 같아요~) s랑 m 둘 다 샀는데 제 키면 고만고만합니다 근데 좀 핫걸이 되고 싶다면 s 추천합니다~,너모 예뻐요 그냥 제가 알던 재질인 줄 알았는데 좀 빳빳한 재질이에요 그리고 안에 기모 비스 무름한 안감이 있습니다 여름엔 못 입을 거 같아요 s랑 m 둘 다 샀는데 제 키면 고만고만합니다 근데 좀 핫걸이 되고 싶다면 s 추천합니다,"알다, 재질, 비스, 무름, 빳빳, 고만고만하다, 이에요, 여름, 안감, 걸이"
기장에 비해 품은 작고 또 작은 사이즈로 가자니 입기 답답해서 m 사이즈에서 xl로 교환했읍니다 .. 라지로 바꿀 걸 입을 때마다 후회중입니다 너무 기장이 길어요 .. 그래서 원하는 핏이 안 나와서 아쉽습니다 ..,기장에 비해 품은 작고 또 작은 사이즈로 가자니 입기 답답해서 m 사이즈에서 xl로 교환했습니다 라지로 바꿀 걸 입을 때마다 후회 중입니다 너무 기장이 길어요 그래서 원하는 핏이 안 나와서 아쉽습니다,"기장, 답답하다, 품다, 바꾸다, 마다, 원하다, 작고, 사이즈, 교환, 후회"
안에 살짝 기모느낌이 나서 따뜻해요 봄이나 가을에 이것만 걸쳐도될듯 아래 밴딩이 잘 늘어나서 앉아있어도 편해요 완죤 이쁨♡,안에 살짝 기모 느낌이 나서 따뜻해요 봄이나 가을에 이것만 걸쳐도 될 듯 아래 밴딩이 잘 늘어나서 앉아있어도 편해요 완전 이쁨,"앉다, 늘어나다, 이나, 밴딩, 아래, 따뜻하다, 걸치다, 나서다, 기모, 가을"
화면보다 색은 어두워요. 그게더이쁜듯 입었을때 착감기는느낌은 아니지만 촤라락 떨어지는감은 있어요. 길이는길지만 밑에시보리 짱짱해서 골반에 걸쳐입음 이쁘네요 흰색바지나 검정바지 같이입음 이쁘고 카고바지 추천해요,화면보다 색은 어두워요 그게 더 이쁜 듯 입었을 때 착 감기는 느낌은 아니지만 촤라락 떨어지는 감은 있어요 길이는 길지만 밑에 시보리 짱짱해서 골반에 걸쳐 입음 이쁘네요 흰색 바지나 검정 바지같이 입음 이쁘고 카고 바지 추천해요,"바지, 감기, 촤라락, 검정, 떨어지다, 어둡다, 그게, 아니다, 골반, 걸치다"
⭐️너무 예뻐서 사버림~ 약 2주 정도 입고 쓰는중~ ⭐️사이즈 약간 힙-백수 st로 입고싶어서 약간 넉넉하게 삼. 일단 아디다스 특으로 팔이 마니 길고 다 좋은데 밑단 시보리가 생각보다 좁음.. 내려서 입으려 하면 골반에 꽉 끼어있음.. 전형적인 아댜스 남자옷 구조임.. 레귤ㄹㅓ 핏이라 이쁘게 입으려고 크게 사봤으ㅁ ⭐️ ⭐️색감. 인디고임 남색 아님 더 어두움.. 약간 좀 더 차가운 어두운 색감? 남색 인줄 알고 사면 조금 더 어두움! 흰색 포인트 느므 이쁨..⭐️ ⭐️재질  약간 탄탄한 재질임.. 면 느낌은 아니고 그냥 아디다스 느낌은 아닌데 좀 더 재질이 살아있는(?) 느낌 😂 약간 쳐지는 느낌 있는데 심하지는 않음 ⭐️활용  어디 입어도 이쁨.. 운동 할때 레깅스 위에 입어도 슬림 st여서 안부해보임! 길이도 ㄱㅊ함 아래 와이드 입ㅇㅓ도 이쁘고 색도 낭낭하게 포인트여서 아래 무난한 색만 입으면  딱히 색 제한도 없는듯? 약간 색이 그냥 남색은 아니여서 독특하기도 함 좋음 아래 시보리 짱짱한건 투웨이 활용해도 좋고 안으로 넣어버려도 이쁨 ⭐️결론  요즘 져지 많이 입더라.. 불편한 이쁜 옷 못입는데 변주 주고 싶은 인간들.. 당장 사라.. 여자는 약간 작게 사도 이쁘겠다(넉넉해도 스타일에 따라 다를듯?) 남자는 무조건 실측 보고 정사이즈 사라.. 크면 이상하다.. 이쁘게 입으면 남친 여친 쌉가능.. ,,nan
존예^^ 아디다스가 아디다스한듯해요  엘사이즈로 딱 맞춤이네여 색깔 진심 너무 이쁘고 핏이 너무이뻐요,존 예 아디다스가 아디다스 한듯해요 엘사이즈로 딱 맞춤이네요 색깔 진심 너무 이쁘고 핏이 너무 이뻐요,"아디다스, 맞추다, 엘사, 이즈, 듯해, 진심, 색깔"
오버핏으로 입으려고 엑스라지 삿는데 좀 크긴 하네요 ㅜ  배송은 하루만에 왓고 168에 궁둥쓰가 다 덮어용 나중엔 엠으로 하나 사려구용 맘에 들어용 🍦🍦 카고바지나 저런 트레이닝에도 잘 어울려용  ㄹㅎㅎ,온 버핏으로 입으려고 엑스라지 샀는데 좀 크긴 하네요 배송은 하루 만에 왔고에 궁둥 쓰나 다 덮어요 나중엔 엠으로 하나 사려고요 맘에 들어요 카고 바지나 저런 트레이닝에도 잘 어울려요,"나중, 저런, 쓰다, 트레이닝, 궁둥, 덮다, 바지, 하루, 만에, 버핏"
배송도 넘 빠르구 해외가서 이뿌게 입었답니다…❤️ 인생샷ㅊ건지게 해주셔서 감사합니다..,배송도 너무 빠르고 해외 가서 이쁘게 입었답니다 인생 샷건 지게해 주셔서 감사합니다,"샷건, 해외, 지게, 인생, 주다, 가다, 빠르다, 배송"
이뻐요 색감이 진해서 촌스럽지않고 스타일좋아요 사이즈는 정사이즈로 가심될거같아요 스타일 납니다요,이뻐요 색감이 진해서 촌스럽지 않고 스타일 좋아요 사이즈는 정 사이즈로 가심될 거 같아요 스타일 납니다,"스타일, 사이즈, 진하다, 스럽지, 가시다, 나다, 색감"
와우 완전 이뻐요 이거입고 여친 만들었습니다 하핫,와우 정말 이뻐요 이거 입고 여자친구 만들었습니다 하핫,"와우, 여자친구, 만들다"
진짜 배색이 너무 마음에 들고요!! 핏도 너무 예뻐요 초여름까지 입을만한 두께고 한겨울에도 안에 입을만한 두께에요! 반기모? 느낌인데 다른 아디다스 제품이랑 비슷한 느낌입니다,진짜 배색이 너무 마음에 들고요 핏도 너무 예뻐요 초여름까지 입을만한 두께고 한겨울에도 안에 입을만한 두께에요 반기 모 느낌인데 다른 아디다스 제품이랑 비슷한 느낌입니다,"두께, 반기, 한겨울, 초여름, 배색, 제품, 인데, 아디다스"
투엑스 라지주문했는데 생각보다 크지 않았어요. 간절기에 입으면 좋을 거 같아요. 이쁩니다 ,투엑스 라지 주문했는데 생각보다 크지 않았어요 간절기에 입으면 좋을 거 같아요 이쁩니다,"투엑스, 간절기, 주문, 크다, 라지"
딱 생각한 그대로고 예뻐요! 아무데나 매치해도 괜찮은 느낌,딱 생각한 그대로고 예뻐요 아무 데나 매치해도 괜찮은 느낌,"매치, 그대, 로고"
예뻐용 근데 약간 길이가 애매하긴 해요 그래두 예뻐여,예뻐요 근데 약간 길이가 애매하긴 해요 그래도 예뻐요,"애매하다, 길이, 근데"
비싸지기 전에 아~~~주 저렴한 가격으로 잘 산거 같아요~~~ 아~~주 만족하며 착용하고있습니다.,비싸지기 전에 아주 저렴한 가격으로 잘 산거 같아요 아주 만족하며 착용하고 있습니다,"비싸다, 착용, 저렴하다, 하고, 가격, 만족하다"
이너로 롱슬리브 입고 입었는데도 오버핏 예쁘게 떨어져요 디자인도 너무 마음에 듭니다,이너로 롱 슬리브 입고 입었는데도 오버핏 예쁘게 떨어져요 디자인도 너무 마음에 듭니다,"이너, 슬리브, 떨어지다, 오버핏, 디자인"
M으로 샀다가 너무 커서 S로 교환했는데 S도 좀 크긴 한데 예뻐요요 진청이랑도 잘 어울리고 중청이랑도 꽤 잘 어울려요!! 첨에 어떻게 코디를 해야할지 난감했었는데 의외로 다 잘 어울리더라구요?!?! 😚😚 진짜 너무 이뽀요,M으로 샀다가 너무 커서 S로 교환했는데 S도 좀 크긴 한데 예뻐 요요 진청이랑도 잘 어울리고 중청이랑도 꽤 잘 어울려요 첨에 어떻게 코디를 해야 할지 난감했었는데 의외로 다 잘 어울리더라고요 진짜 너무 이뻐요,"어울리다, 요요, 의외로, 커서, 난감하다, 어떻다, 중청, 진청, 교환, 코디"
한 사이즈에서 두 사이즈 크게 주문했는데 오버하게 입는 것도 나름 괜찮은듯 근데 항상 무신사에서 아디다스 주문하면 미세한 흠 같은 게 하나씩 있어 아쉽습니다,한 사이즈에서 두 사이즈 크게 주문했는데 오버하게 입는 것도 나름 괜찮은 듯 근데 항상 무신사에서 아디다스 주문하면 미세한 흠 같은 게 하나씩 있어 아쉽습니다,"주문, 항상, 미세하다, 사이즈, 나름, 오버, 아쉽다, 하나, 무신, 근데"
팔이 길어요 조금 줄여서 입으려해요. 아직은 얇아서 못입을듯,팔이 길어요 조금 줄여서 입으려 해요 아직은 얇아서 못 입을 듯,"여서, 아직, 얇다, 팔이"
사진으로 봤을땐 길이가 좀 긴 듯 싶은데 막상 입으면 밑에 시보리가 잡아주는 편이라 짧아져요 핏 예뻐요 광이 살짝 나는 재질이고 안 쪽 소재가 부들부들하니 신기해여,사진으로 봤을 땐 길이가 좀 긴 듯싶은데 막상 입으면 밑에 시보리가 잡아주는 편이라 짧아져요 핏 예뻐요 광이 살짝 나는 재질이고 안쪽 소재가 부들부들하니 신기해요,"안쪽, 막상, 부들부들하다, 신기하다, 짧아지다, 소재, 편이, 잡다, 이고, 길이"
아디다스 매장에서 입어보고 마음에 들어서 구매했어요 남여공용이라 총기장은 길지만 아래 시보리가 짱짱해서 잠궈서 입으면 기장 딱 맞아요 배송도 빠르고 무신사가 제일 저렴했어요,아디다스 매장에서 입어보고 마음에 들어서 구매했어요 남녀 공용이라 총기장은 길지만 아래 시보리가 짱짱해서 잠가서 입으면 기장 딱 맞아요 배송도 빠르고 무신사가 제일 저렴했어요,"사가, 총기장, 들어서다, 아래, 공용, 남녀, 입어보다, 잠그다, 무신, 저렴하다"
싸게 잘샀습니다 강추합니다 또사고싶어요~~!!강추,싸게 잘 샀습니다 강추합니다 또 사고 싶어 요강추,"강추, 싸다, 사고"
사진보다 실물이 훨씬 예쁘네요 고민 괜히 햇네요 ㅎㅎ,사진보다 실물이 훨씬 예쁘네요 고민 괜히 했네요,"괜히, 고민, 사진, 실물"
이뻐요 잘산거같아요 코디하기도 편하고 맘에들어요,이뻐요 잘 산 거 같아요 코디하기도 편하고 맘에 들어요,"기도, 코디, 편하다"
"색상 배합이 산뜻하고 예뻐요 아디다스 매장에서 시착해보고 사이즈가 품절되고 없어서 무신사에 있길래 주문했어요 라지 사이즈 입었을때는 조금 작은듯했는데, 한사이즈 차이인데 이건 꽤 크네요 작은 것보단 나을것 같긴한데 조금 아쉬워요 그리고 칼라랑 소매가 흰색이라 오염에 약할듯",색상 배합이 산뜻하고 예뻐요 아디다스 매장에서 시 착해보고 사이즈가 품절되고 없어서 무신사에 있길래 주문했어요 라지 사이즈 입었을 때는 조금 작은듯했는데 한 사이즈 차이인데 이건 꽤 크네요 작은 것보단 나을 것 같긴 한데 조금 아쉬워요 그리고 칼라랑 소매가 흰색이라 오염에 약할 듯,"작다, 사이즈, 산뜻하다, 약하다, 배합, 오염, 이건, 차이, 칼라, 소매"
시보리 진짜 짱짱해요 저는 하체가 뚱뚱해서 껴가지고 걍 밑에 지퍼 살짝 올리고 입음여 ,시보리 진짜 짱짱해요 저는 하체가 뚱뚱해서 껴가지고 그냥 밑에 지퍼 살짝 올리고 입음요,"뚱뚱하다, 끼다, 입음, 하체, 올리다, 지퍼, 그냥, 짱짱하다, 시보리"
몰라 그냥 내스타일이야 너네도 자신있게 입어 그게 멋이야,몰라 그냥 내 스타일이야 너네도 자신 있게 입어 그게 멋이야,"이야, 모르다, 그게, 그냥, 스타일"
생각보다 진짜 이쁘네요. 올해 베스트아이템인듯,생각보다 진짜 이쁘네요 올해 베스트 아이템인 듯,"올해, 아이템, 베스트"
원단도 도톰하니 아주좋습니다. 디자인도아주예쁘고 편해요,원단도 도톰하니 아주 좋습니다 디자인도 아주 예쁘고 편해요,"도톰하다, 원단, 디자인, 편하다"
정말 정말 맘에 들어요. 가볍고 착용감 좋아요. 진심으로 강추합니다.,정말 정말 맘에 들어요 가볍고 착용감 좋아요 진심으로 강추합니다,"가볍다, 착용, 진심, 강추"
예뻐요 몇 달 전부터 갖고싶어서 고민했는데 실물이 500배 예쁨 ,예뻐요 몇 달 전부터 갖고 싶어서 고민했는데 실물이 배 예쁨,"갖다, 고민, 실물"
실물이 더 이쁨 크게 입으려고 샀는데 오버핏으로 잘 코디할 수 있을 것 같음 후회 안함,실물이 더 이쁨 크게 입으려고 샀는데 온 버핏으로 잘 코디할 수 있을 것 같음 후회 안 함,"후회, 버핏, 코디, 실물, 크게"
정말 정말 맘에 들어요. 오자마자 있었는데 몸에 착 맞아요. 진심으로 강추합니다.,정말 정말 맘에 들어요 오자마자 있었는데 몸에 착 맞아요 진심으로 강추합니다,"진심, 맞다, 강추"
역시 아디다스 제품이라 이뻣고 미디엄사이즈랑 라지 둘다 샀는데 지 체형에는 둘다 매력있네여,역시 아디다스 제품이라 이뻤고 미디엄 사이즈랑 라지 둘 다 샀는데 지 체형에는 둘 다 매력 있네요,"에는, 매력, 지다, 미디엄, 체형, 제품, 라지, 아디다스, 사이즈"
요즘 유행하는 아디다스 트랙탑이라  트렌디해서 좋아요 코디하기도 쉽고 스테디 템이라  자주 입을것같아요,요즘 유행하는 아디다스 트랙 탑이라 트렌디해서 좋아요 코디하기도 쉽고 스테디 템이라 자주 입을 것 같아요,"테디, 쉬다, 트렌디, 기도, 코디, 유행, 트랙, 아디다스"
재입고 됐길래 바로 구입했어요 가을 준비 미리 해놔야죠,재입고 됐길래 바로 구입했어요 가을 준비 미리 해놔야죠,"준비, 돼다, 놓다, 미리, 가을"
생각보다 실물이 더 이뻐요. 정사이즈로 가시면 됩니다 배송이 빨라서 좋았습니다.  가을에 많이 잊을것같아요!,생각보다 실물이 더 이뻐요 정 사이즈로 가시면 됩니다 배송이 빨라서 좋았습니다 가을에 많이 잊을 것 같아요,"가시, 라서, 잊다, 실물, 가을, 배송, 사이즈"
색감이 너무 이쁘네요 매우 자주 입고 다닐거같네요,색감이 너무 이쁘네요 매우 자주 입고 다닐 거 같네요,색감
목부분이 화이트라 유니크합니다 다 품절이던데 재입고 뜨자마자삼,목부분이 화이트라 유니크합니다 다 품절이던데 재입고 뜨자마자 삼,"화이트, 유니크, 던데, 품절, 부분"
오자마자 옷 상태를 봤는데 옷은 이쁘지만 팔쪽 무늬에 얼룩이 묻어있네요.,오자마자 옷 상태를 봤는데 옷은 이쁘지만 팔 쪽 무늬에 얼룩이 묻어있네요,"상태, 무늬, 묻다, 얼룩"
제 체형에 적당한 오버핏으로 잘 맞아요 너무 예뻐요,제 체형에 적당한 온 버핏으로 잘 맞아요 너무 예뻐요,"체형, 버핏, 적당하다, 맞다"
베켄바우어 트랙탑 네이비 입고되자마자 구매 했어요 완전 로켓배송,베켄바워 트랙 탑 네이비 입고되자마자 구매했어요 완전 로켓 배송,"로켓, 네이비, 베켄바워, 트랙, 배송"
적립금 써서 저렴하게 잘 구매 했어요 이쁘네요 감상당,적립금 써서 저렴하게 잘 구매했어요 이쁘네요 간 상당,"써다, 상당, 적립금, 저렴하다"
인기있는 제품답게 역시 스타일이 멋지네요. 편하게 잘 입을듯요,인기 있는 제품답게 역시 스타일이 멋지네요 편하게 잘 입을 듯요,"인기, 멋지다, 제품, 스타일, 편하다"
기장 길이가 생각보다 기네요 말고는 얇은데 따뜻할것같아요,기장 길이가 생각보다 기네요 말고는 얇은데 따뜻할 것 같아요,"기네, 말고는, 따뜻하다, 얇다, 길이, 기장"
가을이 오기전 미리 구매했어요 베켄바우어 역시 예뻐요,가을이 오기 전 미리 구매했어요 베켄바워 역시 예뻐요,"오기, 미리, 베켄바워, 가을"
