Review,Keyword
우선 저는 여잔데 크게 입을 각오하고 S 주문했어요 예상대로 크긴 큽니다 엄청 커요 소매가 긴데 소매 걷어입으면 안쪽에 코듀로이로 되어있어서 귀여워요 주머니도 무려 개나 달려있어요 쓰진 않겠지만 양쪽 다 크게 개씩 총 포켓이라 귀여워요 단추는 똑딱이 단추라 입고 벗기도 편하고 빈티지한 골드 버튼이라 멋스러워요 색감은 물 빠진 색감일 줄 알았는데 예상보단 선명했어요 폭이 엄청 넉넉해서 안에 아무리 껴입어도 충분할 거 같아요 여성분들은 그냥 고민 없이 S 하시면 될 거 같아요 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 남자분들이 재킷으로 입기엔 기장이 길고 코트 느낌이라기엔 또 짧은 느낌이에요 오히려 박시한 아우터 좋아하시는 여성분들께 추천드리고 싶어요 와이드 팬츠랑 입으면 힙한 무드 연출 가능하고 짧은 옷은 여성스럽고 귀여워질 수 있어요,"귀엽다, 크다, 무려, S, 안쪽, 쓰다, 예상대로, 주문, 소매, 크게, 걷다, 주머니, 달다, 각오, 개, 코듀로이"
포인트 되는 부분들이 귀여워서 샀어요 재킷 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요,"귀엽다, 남방, 재킷, 포인트"
실측 엄청 크길래 사이즈 다운로드했습니다 사이즈 다운로드해도 될 듯 다 좋은데 충격인 건 ss 버전 나오고 나서야 드디어 배송이 옴,"크다, 실측"
생각보다 색이 어둡습니다 네이비보다 거의 블랙처럼 보여요 입을까 반품할까 고민하다가 입기로 했네요,"보이다, 블랙, 고민, 어둡다, 색, 반품, 네이비"
디자인 정말 이뻐요 애 기초 S사이즈인데 약간 오버하게 맞아요,"디자인, 기초, 맞다, 오버, S사이즈"
우선 가성비가 정말 좋아요 이 가격에 워크 재킷이라니 얇은데 오히려 요즘 날씨에 반팔에 입고 벗기 딱 좋습니다 색감이 어둡고 사이즈는 온 버핏이라 커요,"커다랗다, 어둡다, 얇다, 반팔, 워크다, 색감, 사이즈, 오버핏, 벗기다, 가성비, 재킷"
저렴한 가격에 워크 재킷을 살 수 있어서 좋네요 배송은 예약배송이라 다소 느렸고 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요,"저렴하다, 날씨, 가격, 두께, 예약배송, 워크다, 더워지다, 재킷"
워크 재킷 대유행으로 데일리 착용을 위해 구입해 봤습니다 라 퍼지 스토어 역시 가성비 최고입니다 특히 앞주머니 디테일 대박입니다,"착용, 데일리, 디테일, 최고, 앞주머니, 대박, 퍼지다, 워크다, 대유행, 스토어, 가성비, 재킷"
에 키로 기준 s사이즈가 정 사이즈에서 약간 온 버핏으로 잘 맞아요 제가 딱 원한 사이지 감이네요,"기준, 키로, 가다, 오버핏, 정, s사이즈, 사이즈"
완전 최고 맘에 듭니다 주머니 상표 등 디테일이 너무 과하지 않고 적당히 절제되어 들어갔으나 아메카지 특유의 야상 재킷 느낌이 합쳐져 코디 범용성이 넖을것같습니다 좋은 소재의 웰메이드 옷 저렴하게 만났네요 카키색도 정말 이쁩니다,"상, 디테일, 저렴하다, 상표, 카키색, 코디, 아메카지, 최고, 웰메이드, 소재, 주머니, 범용성, 재킷"
딱 지금 시기에 입기 좋은 두께에요 사이즈는 엄청 크다는 후기 보고 s 구매했는데도 약간 긴 편이네요 소매는 한번 접어서 입으니 딱입니다 원하는 핏입니다 굿굿,"크다, 원하다, 접다, 소매, 두께, 시기, 후기, s, 핏, 한번, 편이, 사이즈"
