Processed_Review,keyword
우선 저는 여잔데 크게 입을 각오하고 S 주문했어요 예상대로 크긴 큽니다 엄청 커요 소매가 긴데 소매 걷어입으면 안쪽에 코듀로이로 되어있어서 귀여워요 주머니도 무려 개나 달려있어요 쓰진 않겠지만 양쪽 다 크게 개씩 총 포켓이라 귀여워요 단추는 똑딱이 단추라 입고 벗기도 편하고 빈티지한 골드 버튼이라 멋스러워요 색감은 물 빠진 색감일 줄 알았는데 예상보단 선명했어요 폭이 엄청 넉넉해서 안에 아무리 껴입어도 충분할 거 같아요 여성분들은 그냥 고민 없이 S 하시면 될 거 같아요 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 남자분들이 재킷으로 입기엔 기장이 길고 코트 느낌이라기엔 또 짧은 느낌이에요 오히려 박시한 아우터 좋아하시는 여성분들께 추천드리고 싶어요 와이드 팬츠랑 입으면 힙한 무드 연출 가능하고 짧은 옷은 여성스럽고 귀여워질 수 있어요,"추천 드리다, 여성, 넉넉하다, 만족하다, 코디, 여성 스럽다, 크다, 주머니, 단추"
포인트 되는 부분들이 귀여워서 샀어요 재킷 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요,"포인트, 부분, 남방, 재킷"
실측 엄청 크길래 사이즈 다운로드했습니다 사이즈 다운로드해도 될 듯 다 좋은데 충격인 건 ss 버전 나오고 나서야 드디어 배송이 옴,"배송, 사이즈, 실측, 다운로드, 충격, 버전, 나오다, 크다"
생각보다 색이 어둡습니다 네이비보다 거의 블랙처럼 보여요 입을까 반품할까 고민하다가 입기로 했네요,"어둡다, 고민, 블랙, 네이비, 색, 보이다"
디자인 정말 이뻐요 애 기초 S사이즈인데 약간 오버하게 맞아요,"사이즈, 오버, 디자인, 기초, 맞다"
우선 가성비가 정말 좋아요 이 가격에 워크 재킷이라니 얇은데 오히려 요즘 날씨에 반팔에 입고 벗기 딱 좋습니다 색감이 어둡고 사이즈는 온 버핏이라 커요,"크다, 가성비, 어둡다, 날씨, 팔, 가격, 워 크다"
저렴한 가격에 워크 재킷을 살 수 있어서 좋네요 배송은 예약배송이라 다소 느렸고 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요,"배송, 날씨, 더워지다, 가격, 저렴하다, 워 크다"
워크 재킷 대유행으로 데일리 착용을 위해 구입해 봤습니다 라 퍼지 스토어 역시 가성비 최고입니다 특히 앞주머니 디테일 대박입니다,"대유행, 가성비, 착용, 디테일, 스토어, 데일리, 대박"
에 키로 기준 s사이즈가 정 사이즈에서 약간 온 버핏으로 잘 맞아요 제가 딱 원한 사이지 감이네요,"사이즈, 사이즈, 기준, 원한, 가다, 버핏"
완전 최고 맘에 듭니다 주머니 상표 등 디테일이 너무 과하지 않고 적당히 절제되어 들어갔으나 아메카지 특유의 야상 재킷 느낌이 합쳐져 코디 범용성이 넖을것같습니다 좋은 소재의 웰메이드 옷 저렴하게 만났네요 카키색도 정말 이쁩니다,"범용, 카키색, 적당하다, 소재, 합치다, 아메 카, 저렴하다, 디테 일이"
딱 지금 시기에 입기 좋은 두께에요 사이즈는 엄청 크다는 후기 보고 s 구매했는데도 약간 긴 편이네요 소매는 한번 접어서 입으니 딱입니다 원하는 핏입니다 굿굿,"사이즈, 소매, 원하다, 시기, 접다, 편이, 크다"
이쁩니다 주머니도 많아서 용이하고 목부분 손목 부분 골지 패턴도 접었을 때 유니크해요,"유니크, 용이하다, 주머니, 목 부분, 골지, 패턴, 손목, 부분, 접다"
에스 입으세요 여자분들 너무 이뻐요 박시핏에 귀여워 재질도 진짜 너무 좋고 여기 옷 많이 잇는데 살 때마다 품질이 좋아,"여자, 재질, 품질, 에스"
너무 예뻐요 여자 박 씨 핏으로 에스 가능 반바지에 반팔에 입으면 너무 날씬해 보이고 좋아요 이거 사진은 안에 기모 맨투맨을 입에서 그런 거고요 강츄츄,"날씬하다, 강 츄츄, 투맨, 반바지, 팔, 사진"
배송 빨리 오고 만족합니다 사진과 동일한 제품이네요,"제품, 만족하다, 동일하다, 사진, 배송, 오다"
