Review,Processed_Review,keyword
"우선 저는 여잔데 크게 입을 각오하고 S주문했어요 • 예상대로 크긴 큽니당 엄청 커요 !!!  • 소매가 긴데 소매 걷어입으면 안쪽에 코듀로이로 되어있어서 귀여워요 • 주머니도 무려 3개나 달려있어요 (쓰진 않겠지만 양쪽다 크게 3개씩 총 6포켓이라 귀여워요) • 단추는 똑딱이 단추라 입고 벗기도 편하고, 빈티지한 골드버튼이라 멋스러워요 • 색감은 물빠진 색감일 줄 알았는데 예상보단 선명했어요 • 폭이 엄청 넉넉해서 안에 아무리 껴입어도 충분할 거 같아요 • 여성분들은 그냥 고민 없이 S하시면 될 거 같아요 • 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 • 남자분들이 자켓으로 입기엔 기장이 길고, 코트느낌이라기엔 또 짧은 느낌이에요 • 오히려 박시한 아우터 좋아하시는 여성분들께 추천드리고 싶어요 ! • 와이드 팬츠랑 입으면 힙한무드 연출 가능하고, 짧은 옷은 여성스럽고 귀여워질 수 있어요",우선 저는 여잔데 크게 입을 각오하고 S 주문했어요 예상대로 크긴 큽니다 엄청 커요 소매가 긴데 소매 걷어입으면 안쪽에 코듀로이로 되어있어서 귀여워요 주머니도 무려 개나 달려있어요 쓰진 않겠지만 양쪽 다 크게 개씩 총 포켓이라 귀여워요 단추는 똑딱이 단추라 입고 벗기도 편하고 빈티지한 골드 버튼이라 멋스러워요 색감은 물 빠진 색감일 줄 알았는데 예상보단 선명했어요 폭이 엄청 넉넉해서 안에 아무리 껴입어도 충분할 거 같아요 여성분들은 그냥 고민 없이 S 하시면 될 거 같아요 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 남자분들이 재킷으로 입기엔 기장이 길고 코트 느낌이라기엔 또 짧은 느낌이에요 오히려 박시한 아우터 좋아하시는 여성분들께 추천드리고 싶어요 와이드 팬츠랑 입으면 힙한 무드 연출 가능하고 짧은 옷은 여성스럽고 귀여워질 수 있어요,"주머니, 크다, 포켓, 끼다, 똑, 딱이다, 귀엽다"
포인트 되는 부분들이 귀여워서 샀어요!! 자켓 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요!!!,포인트 되는 부분들이 귀여워서 샀어요 재킷 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요,"귀엽다, 재킷, 처럼"
실측 엄청 크길래 사이즈 다운했습니다 2사이즈 다운해도 될 듯..? 다 좋은데 충격인건 ss 버전 나오고나서야 드디어 배송이 옴..ㅜㅜ,실측 엄청 크길래 사이즈 다운로드했습니다 사이즈 다운로드해도 될 듯 다 좋은데 충격인 건 ss 버전 나오고 나서야 드디어 배송이 옴,"다운로드, 드디어, 배송, 나서다, 나오다, 크다, 실측"
생각보다 색이 어둡습니다. 네이비보다 거의 블랙처럼 보여요. 입을까 반품할까 고민하다가 입기로 했네요.,생각보다 색이 어둡습니다 네이비보다 거의 블랙처럼 보여요 입을까 반품할까 고민하다가 입기로 했네요,"반품, 고민, 색, 보이다, 블랙, 처럼, 어둡다"
디자인 정말 이뻐요 173에 60키초 S사이즈인데 약간 오버하게 맞아요,디자인 정말 이뻐요 애 기초 S사이즈인데 약간 오버하게 맞아요,"s, 사이즈, 오버, 맞다, 기초, 디자인"
우선 가성비가 정말 좋아요. 이가격에 워크 자켓이라니.. 얇은데 오히려 요즘 날씨에 반팔에 입고 벗기 딱 좋습니다. 색감이 어둡고  사이즈는 오버핏이라 커요!,우선 가성비가 정말 좋아요 이 가격에 워크 재킷이라니 얇은데 오히려 요즘 날씨에 반팔에 입고 벗기 딱 좋습니다 색감이 어둡고 사이즈는 온 버핏이라 커요,"재킷, 이라니, 색감, 얇다, 사이즈, 날씨, 어둡다, 벗기다, 팔, 가격"
"저렴한 가격에 워크자켓을 살 수 있어서 좋네요! 배송은 예약배송이라 다소 느렸고, 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요!",저렴한 가격에 워크 재킷을 살 수 있어서 좋네요 배송은 예약배송이라 다소 느렸고 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요,"더워지다, 저렴하다, 약, 배송, 느리다, 재킷, 얇다, 가격, 날씨"
워크자켓 대유행으로 데일리착용을 위해 구입해봤습니다ㅎㅎ 라퍼지스토어 역시 가성비 최고입니다. 특히 앞주머니 디테일 대박입니다!!,워크 재킷 대유행으로 데일리 착용을 위해 구입해 봤습니다 라 퍼지 스토어 역시 가성비 최고입니다 특히 앞주머니 디테일 대박입니다,"앞, 주머니, 스토어, 재킷, 데일리, 최고, 디테일, 대박, 퍼지다, 워, 크다"
178에 74키로기준 s사이즈가 정사이즈에서 약간 오버핏으로 잘 맞아요 제가 딱 원한 사이즈감이네요,에 키로 기준 s사이즈가 정 사이즈에서 약간 온 버핏으로 잘 맞아요 제가 딱 원한 사이지 감이네요,"가다, 맞다, 버핏, 원한, s, 사이즈, 지, 키로"
완전 최고맘에듭니다. 주머니 상표등 디테일이 너무과하지않고적당히 절제되어 들어갔으나 아메카지 특유의 야상자켓 느낌이 합쳐저 코디범용성이 넖을것같습니다. 좋은소재의 웰메이드 옷 저렴하게 만났네요. 카키색도 정말이쁩니다.,완전 최고 맘에 듭니다 주머니 상표 등 디테일이 너무 과하지 않고 적당히 절제되어 들어갔으나 아메카지 특유의 야상 재킷 느낌이 합쳐져 코디 범용성이 넖을것같습니다 좋은 소재의 웰메이드 옷 저렴하게 만났네요 카키색도 정말 이쁩니다,"재킷, 주머니, 최고, 저렴하다, 카키색, 소재, 적당하다"
