Review,Processed_Review,keyword
"제 나이 50인데 정말 잘 어울립니다.
정장 같은 느낌도 나고, 활동이 많은 편인데
옷도 잘 늘어나 움직이는데 불편한게 없을 정도입니다.
젊을 사람위주로 많이 구매하는것 같은데,
나이드신분들도 도전 한번 해보세요~~^^",제 나이인데 정말 잘 어울립니다 정장 같은 느낌도 나고 활동이 많은 편인데 옷도 잘 늘어나 움직이는데 불편한 게 없을 정도입니다 젊을 사람 위주로 많이 구매하는 것 같은데 나이 드신 분들도 도전 한번 해보세요,"나이, 젊다, 분, 편"
"확실히 키 큰사람들한테 기장이 많이 짧아여. 쿨탠다드 한번 입어보겠다고 사이즈 좀 작은데도 이악물고 사서 입어봤는데 역시나 지금 사진이 단을 늘인건대도 앉아있거나 다리 꺾으면 과장섞어서 칠부바지 정도 됩니다. 키크신분들 알아두세여.
그 기장말고 나머지는 다 좋고 시원해서 좋구요.바지가 매끄러운 질감이라, 버스에서 급정거하면 의자에서 미끄러져가주고 미끄럼틀을 타는 재미도 느낄 수 있습니다. 전반적으로 너무 좋아요 앙기분좋아",확실히 키 큰 사람들한테 기장이 많이 짧아요 쿨탠다드 한번 입어보겠다고 사이즈 좀 작은데도 이 악물고 사서 입어봤는데 역시나 지금 사진이 단을 늘 인건 대도 앉아있거나 다리 꺾으면 과장 섞어서 칠부바지 정도 됩니다 키 크신 분들 알아두세요 그 기장 말고 나머지는 다 좋고 시원해서 좋고요 바지가 매끄러운 질감이라 버스에서 급정거하면 의자에서 미끄러져가주고 미끄럼틀을 타는 재미도 느낄 수 있습니다 전반적으로 너무 좋아요 아이 기분 좋아,"칠, 부바, 지, 의자, 앉다, 작다, 버스, 매끄럽다, 다리, 사진, 꺾다"
"단점: 배송 좀많이 느렸어요 
여성이 입기에는 골반이 타이트하네요 가랑이랑 엉덩이 좀 불편해요
먼지 잘붙는 소재에요

장점: 저렴히 잘샀어요 
얇고 시원한 소재, 스판이 적당히 있어요",단점 배송 좀 많이 느렸어요 여성이 입기에는 골반이 타이트하네요 가랑이랑 엉덩이 좀 불편해요 먼지 잘 붙는 소재예요 장점 저렴히 잘 샀어요 얇고 시원한 소재 스판이 적당히 있어요,"소재, 여성, 타이트, 엉덩이, 골반, 먼지, 저렴하다, 불편하다"
"181cm / 71kg 이구요
기존에 입던 라이트웨이트 세미와이드 슬랙스가 찢어져서
이번엔 쿨탠다드 세미와이드 슬랙스로 구매했습니다
같은 30 사이즈를 샀는데도 쿨탠다드가 좀 더 타이트한 느낌이 듭니다
그리고 확실히 얇은 느낌이 들어요
1달반을 재입고 기다려서 구매했는데 기다리길 잘했단 생각이 듭니다",cm kg이고요 기존에 입던 라이트 웨이트 세미 와이드 슬랙스가 찢어져서 이번엔 쿨탠다드 세미 와이드 슬랙스로 구매했습니다 같은 사이즈를 샀는데도 쿨탠다드가 좀 더 타이트한 느낌이 듭니다 그리고 확실히 얇은 느낌이 들어요 달만을 재입고 기다려서 구매했는데 기다리길 잘했단 생각이 듭니다,"달, 만을, 얇다, 슬랙스, 사이즈, 찢어지다, kg, 고요"
"모델은 멸치들인가 호리호리한 편이라 29 주문했더니 허벅지 터질거 같애서 30으로 교환
근데 30도 딱히 세미와이드라 하기엔 허벅지가 타이트함 기장만 겁나 길어짐
누가 입던건지 각질 같은거 겁나 붙어있고 
주름은 왜 이따구로 잡아놨을까
군대에서 전투복 다릴때도 이거보단 잘 다렸다
무탠다드는 가성비가 좋은게 아니라
걍 싼맛에 사는거였네
U아인이 사기꾼인가
무탠다드 손절 토나오겠다",모델은 멸치들인가 호리호리한 편이라 주문했더니 허벅지 터질 거 같아 서로 교환 근데 도 딱히 세미 와이드라 하기엔 허벅지가 타이트함 기장만 겁나 길어짐 누가 입던 건지 각질 같은 거 겁나 붙어있고 주름은 왜 이따위로 잡아놨을까 군대에서 전투복 다릴 때도 이거보단 잘 다렸다 문탠 다 드는 가성비가 좋은 게 아니라 그냥 싼 맛에 사는 거였네 U 아인이 사기꾼인가 무탠다드 손절 구토 나오겠다,"전투복, 허벅지, 사기꾼, 인가, 모델, 멸치, 구토, 군대, 타이트, 함, 기장"
"요즘에 살이 훅 붙어서 사이즈별루 딱딱 있길래 장만했어요 시원한 재질인지는 잘 모르겠구 탄탄한 것 같아요!
제가 엉덩이에 유난히 더더 살이 많고 오리궁둥이인 것도 있어서.. 하의를 살때는 엉덩이 치수를 꼭 보고 사는데..
엉덩스 치수..간절했는데 치수가 안나와있어서 결정하기 힘들었네요 ㅎㅎ.. 요 슬랙스 제기준 딱 맞고 살집이 있다보니까 Y존하고 양쪽 앞주머니가 
엄청 신경 쓰여요. 특히 주머니 부분이 승천하는 줄 알았어요 엄청 독보적으로 튀어나와있어서.. 근데 이건 저만 그런 걸수도있으니 잘 보고 사시는 걸 추천해용",요즘에 살이 훅 붙어서 사이즈별로 딱딱 있길래 장만했어요 시원한 재질인지는 잘 모르겠고 탄탄한 것 같아요 제가 엉덩이에 유난히 더더 살이 많고 오리 궁둥이인 것도 있어서 하의를 살 때는 엉덩이 치수를 꼭 보고 사는데 엉덩스 치수 간절했는데 치수가 안 나와있어서 결정하기 힘들었네요 요 슬랙스 제기 중 딱 맞고 살집이 있다 보니까 Y 존하고 양쪽 앞주머니가 엄청 신경 쓰여요 특히 주머니 부분이 승천하는 줄 알았어요 엄청 독보적으로 튀어나와있어서 근데 이건 저만 그런 걸 수도 있으니 잘 보고 사시는 걸 추천해요,"엉덩스, 살이, 앞, 주머니, 엉덩이, 슬랙스, 부분"
무탠다드 주식 안파나요? 당장 상장 부탁드립니다,무탠다드 주식 안 파나요 당장 상장 부탁드립니다,"부탁드리다, 파다, 상장, 주식"
하체가 조금 있으시거나 운동하시는 분은 와이드로 고려해보셔요....,하체가 조금 있으시거나 운동하시는 분은 와이드로 고려해 보셔요,"운동, 고려, 하체, 분, 와이드"
6%의 폴리우레탄이 포함된 양방향 스트레치 T/R 원단으로 신축성이 뛰어나며 덕분에 자유로운 활동을 할 수 있어 좋습니다 굿👍🏻,의 폴리우레탄이 포함된 양방향 스트레치 TR 원단으로 신축성이 뛰어나며 덕분에 자유로운 활동을 할 수 있어 좋습니다 굿,"원단, 덕분, 뛰어나다, 폴리우레탄, 양, 방향, 활동, 포함, 자유롭다"
"소재가 아주 얇아서 시원하게 입을 수 있겠습니다.
핏은 각자 체형에 따라 다르깄지만.. 
허리 둘레에 맞춰 구매했더니 좀 끼긴 하네요.
옷 자체는 훌륭합니다.
단점으로는, 살만스쳐도 허연 얼룩이나 먼지같은게 잘 묻어나는 재질이라는 점이 있습니다.",소재가 아주 얇아서 시원하게 입을 수 있겠습니다 핏은 각자 체형에 따라 다르깄지만 허리둘레에 맞춰 구매했더니 좀 끼긴 하네요 옷 자체는 훌륭합니다 단점으로는 살만 스쳐도 허연 얼룩이나 먼지 같은 게 잘 묻어나는 재질이라는 점이 있습니다,"소재, 먼지, 자체, 얇다, 점, 다르깄, 묻다, 훌륭하다"
