Review,Keyword
일단 왕 창 큽니다 여자 사이즈 기준으로 엄청 크고 길어요 밑단 엄청 접어서 핀으로 고정했는데 다니는데 불편함은 없었고 흘러내리는 핏이나 색감이 예뻐서 만족했어요 특히 색감이 정말 마음에 들었습니다 너무 밝거나 푸른 색이 튀지 않고 빈티지하고 흐릿한 색감이라 딱 찾고 있던 데님 색상이었어요 그리고 제 체형 기준으로는 꾸안 꾸 데일리 느낌 보단 정말 짱 큰 바지로  스트릿한 무드 내 고 싶으신 분들께 잘 맞을 것 같아요,"밑단접다핀고정, 흘러내리다핏색감만족하다, 크다, 특히색감, 여자기준, 크다어요, 불편하다없다, 밝다푸른색튀다빈티지하고흐릿색"
남자 바지라 정말 크네요 은 남자친구 주고 저는 로 바꿨어요 후기 사진은 기준 사이즈입니다 그래도 넘 예쁘고 얇아서 여름에 잘 입을 거 같아요,"바지, 크다, 남자, 후기, 얇다, 사진, 기준, 사이즈, 바꾸다, 주다, 남자친구, 여름"
대인 우리 아 부지 젊은 스타일로 입히 고 싶어서 생신선물로 구입했어요 년 전 울아버지 대학 다닐 때 유행하던 스타일이라 옛날 생각나신다고 좋아라 하시고 생각보다 잘 어울리셔서 깜짝 놀랐어요 두께도 적당하고 편해서 좋다고 하심 요 대인 울 오빠도 사서 같이 입고 다니고라고 하려 구요,"사서, 스타일, 유행, 심, 두께, 어울리다, 생신선물, 대인, 울, 대학, 옛날, 젊다, 전, 편하다, 부지, 울아버지, 생각나다, 오빠, 적당하다, 깜짝, 입히다"
허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다 어디에든 어울리는 색감도 마음에 들어요,"허벅지, 색감, 맞다, 움직임, 편안함, 허리"
아 바지 쥰 내 맛있다 필루미네이트 클났다 이제 매달 월급 꼬라박을 게요,"바지, 꼬라박, 매달, 크다, 월급, 쥰, 맛있다, 필루미트"
재질이 얇아서 여름에도 입기 좋을 것 같고 색감이 밝아서 시원해 보입니다,"시원하다, 얇다, 색감, 밝다, 재질, 여름"
바지 센치면 저한테 딱 좋아서 입어봤는데 발 등에도 안 닿길래 길이 재봤더니 센치도 안나와 요 길이 좀 잘 적어주세요 으로 교환하고 싶었는데 도 허리가 크고 번거로워서 안 했어요 짧으니까 핏이 이 상해서 상의 짧은 거 못 입고 최대한 내려 입어요 구냥 교환할 걸,"바지, 길이, 안나, 센치, 교환, 크다, 적다, 닿다, 발, 최대한, 상의, 허리, 재, 짧다, 상해, 번거롭다, 핏, 입어보다"
바지 너무 마음에 들어 요 색감도 스크레치 디테일도 완전 예쁩니다,"바지, 디테일, 색감, 스크레치"
뭣도 모르고 시켰는데 이렇게 맘에 들 줄 몰랐습니다 주변에서 이쁘다고 말 많이 들었습니다 사진이 흐릿하지만 실물 진짜 입니두,"주변, 흐릿하, 뭣, 모르다, 사진, 말, 실물, 이렇게"
크게 입으려고 샀는데 핏도 너무 좋지만 색감이 너무 좋아요 제가 산 바지 중에서 제일 좋은 거 같아요,"크게, 바지, 색감, 중, 핏, 산"
인생 바지 찾았네요 핏이 일단 너무 이쁩니다 색은 실제로 보면 더 빈티지한 맛이 강해요 새로운 데님 사고 싶으시면 추천 드립니다,"바지, 추천, 사고, 새롭다, 인생, 강하다, 색, 맛, 드리다, 데님, 빈티지, 핏"
워싱도 잘 되어 있고 핏도 예쁩니다 가격도 착해요,"워싱, 가격, 핏"
사진 핏보고 구매했는데 첨에 딱 입어보자마자 제 인생 바지임을 바로 알았습니다 기장감이며 워싱 핏 모든 게 완벽했어요 원단도 얇은 편이라 여름에도 충분히 입을 수 있을 거 같습니다,"워싱, 바지, 기장감, 사진, 원단, 핏"
바지 진짜 인생 바지에 요 진짜 통 커서 산 건데 실제로 받아보니 더 커서 좋았고 허리가 살짝 크긴 했는데 벨트하고 입으니 너무 이 뻐용 색감도 워싱 이쁘게 잘 들어가 있구 중간 중간 포인트로 박혀 있는 거도 이 뻐요 이 가격대에 이런 바지 못 구함,"워싱, 바지, 커서, 벨트, 인생, 통, 색감, 박히다, 허리, 포인트"
원래 사이즈 시켰다가 너무 커서 사이즈로 교환했는데 길이도 마음에 들고 핏도 마음에 들어 요 워싱이 독특해서 진짜 이쁩니다,"워싱, 길이, 핏, 사이즈"
허리 너무 편안하고 길이 감 딱 좋습니다 찢어진 곳 포인트랑 워싱 과 하지 않아서 맘에 들어요,"워싱, 길이, 편안, 허리, 찢어지다, 포인트"
멋이라는 것이 폭발했다 골반 바지로 입고 싶었지만 그러기엔 살짝 작아 요 시키면 흘러 내릴까봐 한 건데 사이즈가 약간 아쉽습니다 그치만 바지는 예뻐요 너무 만족해요,"멋, 바지, 흐르다, 만족하다, 골반, 사이즈, 작다, 아쉽다, 내리다, 그치다"
예약 배송일보다 늦어져서 슬펐지만 너무너무 맘에 들어 요 워싱이 너무 이 쁘고 무엇보다 이 가격에 이런 퀄리티 라니 길이도 좋아여,"워싱, 길이, 가격, 이렇다, 예약, 슬프다, 배송일, 늦어지다, 퀄리티"
내 생각보다 와이드해서 놀랏 음 기장은 적당하고 배송도 빠름 허리가 얇은 편이라 벨트 필수,"벨트, 와이드, 허리, 필수"
제발 길이 조금만 더 줄일 수는 있지만 늘릴 순 없잖아요 제 발 만 진짜 제 발 키 큰 형님들은 무릎 구부려야 원하던 핏이 나와 요 디자인 예쁘고 이런 사이즈 없네 길이가 짧아 슬픈 삐에로아저씨 반품할까 무한 반복 하며 고민하다가 싼 가격에 어쩔 수 없이 길이 좀 더 긴 버전 목 빠지게 기 다립니다,"길이, 가격, 키, 사이즈, 반품, 디자인, 무릎, 목"
남자 아이 아주 마른 중학생 허리 살짝 크고 길이가 상세 사이즈보다 긴 거 같아 요 핏은 아주 예뻐요,"길이, 크다, 남자, 사이즈, 마르다, 중학생, 허리, 상세, 핏"
