Review,Processed_Review,keyword
"일단 왕창 큽니다!
여자 163 44사이즈 기준으로 엄청 크고 길어요
밑단 엄청 접어서 핀으로 고정했는데 다니는데 불편함은 없었고 흘러내리는 핏이나 색감이 예뻐서 만족했어요
특히 색감이 정말 마음에 들었습니다
너무 밝거나 푸른 색이 튀지 않고 빈티지하고 흐릿한 색감이라 딱 찾고있던 데님 색상이었어요

그리고 제 체형 기준으로는 꾸안꾸 데일리느낌 보단 정말 짱큰바지로 스트릿한 무드 내고 싶으신 분들께 잘 맞을 것 같아요",일단 왕창 큽니다 여자 사이즈 기준으로 엄청 크고 길어요 밑단 엄청 접어서 핀으로 고정했는데 다니는데 불편함은 없었고 흘러내리는 핏이나 색감이 예뻐서 만족했어요 특히 색감이 정말 마음에 들었습니다 너무 밝거나 푸른색이 튀지 않고 빈티지하고 흐릿한 색감이라 딱 찾고 있던 데님 색상이었어요 그리고 제 체형 기준으로는 꿈 안 꾸 데일리 느낌보단 정말 짱 큰 바지로 스트리트 한 무드 내고 싶으신 분들께 잘 맞을 것 같아요,"기준, 색감, 크다, 푸른색, 왕창, 무드, 흐릿, 고정, 튀다, 꾸다"
남자 바지라 정말 크네요!! M은 남자친구 주고 저는 s로 바꿨어요.. 후기 사진은 170기준 m사이즈입니다.. 그래도 넘 예쁘고 얇아서 여름에 잘 입을거같아요!,남자 바지라 정말 크네요 M은 남자친구 주고 저는 s로 바꿨어요 후기 사진은 기준 m사이즈입니다 그래도 너무 예쁘고 얇아서 여름에 잘 입을 거 같아요,"바꾸다, 바지라, 남자, 남자친구, 후기, 주다, 기준, 사진, 얇다, 여름"
50대인 우리 아부지 젊은 스타일로 입히고 싶어서 생신선물로 구입했어요. 30년전 울아버지 대학다닐때 유행하던 스타일이라 옛날 생각나신다고 좋아라하시고 생각보다 잘 어울리셔서 깜짝놀랐어요. 두께도 적당하고 편해서 좋다고하심요. 20대인 울오빠도 사서 같이 입고다니고라고 하려구요!,대인 우리 아버지 젊은 스타일로 입히고 싶어서 생신 선물로 구입했어요 년 전 울 아버지 대학 다닐 때 유행하던 스타일이라 옛날 생각나신다고 좋아하시고 생각보다 잘 어울리셔서 깜짝 놀랐어요 두께도 적당하고 편해서 좋다고 하심요 대인 울 오빠도 사서 같이 입고 다니고라고 하려고요,"대인, 아버지, 스타일, 대학, 옛날, 깜짝, 생신, 오빠, 입히다, 젊다"
허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다. 어디에든 어울리는 색감도 마음에 들어요.,허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다 어디에든 어울리는 색감도 마음에 들어요,"에든, 움직이다, 편안하다, 허벅지, 어울리다, 맞다, 색감, 허리"
"아 바지 쥰내 맛있다
필루미네이트
클났다 이제 ㅋㅋ
매달 월급 꼬라박을게요",아 바지 쥰내 맛있다 필루미네이트 큰일 났다 이제 매달 월급 꼬라박을게요,"월급, 매달, 박다, 쥰내, 큰일, 이제, 맛있다, 나다, 루미, 바지"
재질이 얇아서 여름에도 입기 좋을것같고 색감이 밝아서 시원해보입니다,재질이 얇아서 여름에도 입기 좋을 것 같고 색감이 밝아서 시원해 보입니다,"밝다, 보이다, 재질, 시원하다, 얇다, 색감, 여름"
"바지 103.5센치면 저한테 딱 좋아서 입어봤는데
발등에도 안 닿길래 길이 재봤더니 100센치도 안나와요 ㅠㅠㅜㅜㅠㅜㅠ 길이좀 잘 적어주세요
m으로 교환하고 싶었는데 s도 허리가 크고 번거로워서 안했어요
짧으니까 핏이 이상해서 상의 짧은거 못 입고 최대한 내려입어요 구냥 교환할걸..",바지 센티 면 저한테 딱 좋아서 입어봤는데 발등에도 안 닿길래 길이 재 봤더니 센티도 안 나와요 길이 좀 잘 적어주세요 m으로 교환하고 싶었는데 s도 허리가 크고 번거로워서 안 했어요 짧으니까 핏이 이상해서 상의 짧은 거 못 입고 최대한 내려 입어요 구냥 교환할걸,"센티, 교환, 짧다, 길이, 닿다, 발등, 번거롭다, 최대한, 이상하다, 적다"
"바지 너무 마음에 들어요
색감도 스크레치 디테일도 완전 예쁩니다😏",바지 너무 마음에 들어요 색감도 스크래치 디테일도 정말 예쁩니다,"일도, 스크래치, 디테, 색감, 바지"
"뭣도 모르고 시켰는데 이렇게 맘에 들 줄 몰랐습니다
주변에서 이쁘다고 말 많이 들었습니다!! 
사진이 흐릿하지만 실물 진짜 짱짱입니두",뭣도 모르고 시켰는데 이렇게 맘에 들 줄 몰랐습니다 주변에서 이쁘다고 말 많이 들었습니다 사진이 흐릿하지만 실물 진짜 짱짱이니 두,"모르다, 흐릿하, 주변, 짱짱, 이렇게, 실물, 사진"
크게 입으려고 샀는데 핏도 너무 좋지만 색감이 너무 좋아요👍👍 제가 산 바지 중에서 제일 좋은 거 같아요👻,크게 입으려고 샀는데 핏도 너무 좋지만 색감이 너무 좋아요 제가 산 바지 중에서 제일 좋은 거 같아요,"크게, 제일, 색감, 바지"
인생 바지 찾았네요.. 핏이 일단 너무 이쁩니다!! 색은 실제로 보면 더 빈티지한 맛이 강해요 새로운 데님 사고 싶으시면 추천 드립니다!,인생 바지 찾았네요 핏이 일단 너무 이쁩니다 색은 실제로 보면 더 빈티지한 맛이 강해요 새로운 데님 사고 싶으시면 추천드립니다,"새롭다, 강하다, 실제, 사고, 인생, 찾다, 데님, 드리다, 빈티, 추천"
