Review,Keyword
바지가 통도 크고 길이 감도 마음에 듭니다 위에 티셔츠 아무거나 입어도 다 멋있네요,"통, 티셔츠, 길이감"
힙하게 여름에 잘 입고 다닐 것 같습니다 좋아요 잘 삿습니다,"자다, 여름, 힙하, 잘삿습니"
요즘 날씨에 입 기 딱 좋아요 색감도 이 쁘네요 만족합니다,"날씨, 색감, 만족"
우선 허리가 생각보다 큽니 다 쫄지 마시고 애매하다 싶으면 사이즈 구매 추천 드립니다 생각보다 합니다 두께감 보통 청바지 보다는 얇구요 그렇다고 흐물 흐물 하지는 않고 여름 가을에 적당합니다 무엇보다 편안함이 최고인 거 같습니다,"흐물흐물, 가을, 여름, 허리, 애매하다, 쫄지말다, 청바지, 보통, 두께감, 편안함, 널널"
기준 허리가 많이 컸지만 기장이나 통이 가장 이상적이라 허리는 옷 핀으로 고 정 후 입었습니다 마음에 드네요,"통, 허리, 옷핀, 기장"
색깔 넘 예믑니다 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아 여,"하마, 사이즈, 색깔"
버뮤다 느낌이 너무 이쁩니 당 근데 저는 버뮤다 느낌도 주고 롤업해서 입어봤는데 조금 더 짧으면서 다리가 길어 보이고 이 쁜 느낌도 줄 수 있더라고요 버뮤다 짧게 롤업해도 이쁜 팬츠 잘 구매 한 거 같습니다,"롤업, 팬츠, 버뮤다"
리뉴얼로 워싱했다고 써져 있긴 한데 판매 사진은 리뉴얼 전 껄로 올려놓아서 뭔가 속은 느낌 사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이 정도면 다른 제품 아닐까 싶네요,"자다, 여름, 힙하, 잘삿습니"
핏 제가 생각했던 그대로입니다 너무 만족스러워요,"날씨, 색감, 만족"
핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐 거 같습니다,"흐물흐물, 가을, 여름, 허리, 애매하다, 쫄지말다, 청바지, 보통, 두께감, 편안함, 널널"
이바지 요즘 저의 교복입니다 일부러 골반에 걸쳐 크게 입으려고 한 사이즈 업햤는 데 제가 원하는 핏이에 요 많이 두껍지 않고 통이 넓어서 통풍도 잘 되고 한 여름인데도 덥지 않게 입고 다니고 있어요 칠부 느낌으로 다가 옛날 느낌으로 힙하게 입고 싶옸는데 넘 귀엽고 예뻐서 대 만족 입니당,"통, 허리, 옷핀, 기장"
핏 이랑 재질은 괜찮습니다 디자인도 좋구요 색감은 제품 사진보단 파란 끼가 덜하고 탁한 느낌 그리고 워싱과정에서 나온 가루들이 덜 제거되어서 뒤집어 털고 입어야 했네요 그래도 이 뻐서 입습니다,"하마, 사이즈, 색깔"
핏 죽여줍니다 허리는 커서 벨트 메야 하지만 핏 하나로 단점 커버 가능합니다 사세요 그냥,"롤업, 팬츠, 버뮤다"
검은색 살까 고민하다가 청으로 했어 용 너무 클까봐 걱정했는데 원하던 핏이 에 용 할 인해서 샀어요,"허벅지, 워싱, 리뉴얼, 판매, 색깔"
버뮤다 스타일의 데님 팬츠를 찾고 있었는데 적당한 가격대에 스타일 좋은 제품이라 바로 구입하였습니다 딱 사진에서 보는 그대로의 컬러감에 부드러운 재질감까지 매우 만족스러웠는데요 허리 사이즈나 전체적인 풍성함은 그리 크게 나온 편은 아니기 때문에 오버하게 착용하고 싶으신 분들은 꼭 한 사이즈 업 하시길 추천 드립니다 사이즈로 했으면 좀 더 모델 같은 느낌이 났을 거 같은데 사 이즈는 딱 맞는 핏의 실루엣이 나오네 여 이점이 조금 아쉽지만 그래도 재질이나 컬러감 디테일적인 부분은 거의 만점이라 할 수 있을 거 같습니다 구입하고 블프 세일이라 조금 속이 쓰리지만 올 여름 멋진 버뮤다 팬츠 찾으시는 다른 분들은 빨리 구매하시길 추천 드립니다,"만족스럽다, 핏"
받자마자 짝 입었는데 핏이 너무 이 쁘고 어떤 옷에 매칭이을 하든 너무 잘 어울립니다,"여름, 기장, 핏"
클 거 예상하고 시키긴 했는데 증 말 많이 커요 그래서 좋아 용 허리는 벨트하면 된 답미댱,"힙, 통풍, 골반, 교복, 칠부"
색깔이 훨씬 짙고 워싱도 엄청 많이 들어갔네요 모델 사진과는 완전 다른 제품 이에요,"색감, 워싱, 디자인, 재질, 핏"
너무 이쁜데 허리가 좀 커서 벨트 안 하면 골반에 걸쳐요,"벨트, 허리, 커버, 핏"
여자친구는 싫어하지만 저는 기장감이 딱 좋아요 예쁩니다,"검은색, 청, 할인, 핏"
핏감 너무 좋습니다 사이즈도 딱 적당하고 착용 감 좋아요,"추천드리다, 멋지다, 재질감, 찾다, 올여름, 컬러, 핏, 사이즈, 세일, 빨리, 분, 데님팬츠, 스타일, 디테일, 버뮤다"
키가 크지 않아서 너무 길면 어쩌나 했는데 다행스럽게도 기장감과 핏 전부 만족스러워요,"색감, 워싱, 디자인, 재질, 핏"
통 큰 바지 찾고 있었는데 딱 무릎까지 내려오고 허리는 벨트 안했을 때 골반 하면 허리 정도로 내려와 요 원래 바지 사이즈 아니면 입습니다,"벨트, 허리, 커버, 핏"
바지 완전 귀요미 허리가 좀 많이 크긴 한데 그것 빼곤 다 대 만족이 엿어요 하얀 반팔이랑 입으면 완전 청량 그 자체 색은 생각보다 좀 진한데 진해서 더 만족이였어요 완전 최고 기장은 허리 꽉 맸을 때 무릎 밑 정도 왔고 허리 그대로 냅두면 정강이까지 왔어요 완전 예쁨 번창하세요,"검은색, 청, 할인, 핏"
