Review,Processed_Review,keyword
바지가 통도 크고 길이감도 마음에 듭니다. 위에 티셔츠 아무거나 입어도 다 멋있네요,바지가 통도 크고 길이감도 마음에 듭니다 위에 티셔츠 아무거나 입어도 다 멋있네요,"멋있다, 거나, 티셔츠, 길이감, 크다, 바지"
힙하게 여름에 잘 입고 다닐것 같습니다 좋아요 잘삿습니다,합하게 여름에 잘 입고 다닐 것 같습니다 좋아요 잘 샀습니다,여름
요즘 날씨에 입기 딱 좋아요 색감도 이쁘네요 만족합니다,요즘 날씨에 입기 딱 좋아요 색감도 이쁘네요 만족합니다,"날씨, 만족하다, 색감"
우선 허리가 생각보다 큽니다. 쫄지마시고 애매하다 싶으면 1사이즈 구매 추천드립니다. 생각보다 널널합니다. 두께감 보통 청바지 보다는 얇구요. 그렇다고 흐물흐물 하지는 않고 여름 가을에 적당합니다. 무엇보다 편안함이 최고인거 같습니다.,우선 허리가 생각보다 큽니다 졸지 마시고 애매하다 싶으면 사이즈 구매 추천드립니다 생각보다 널찍합니다 두께감 보통 청바지보다는 얇고요 그렇다고 흐물흐물하지는 않고 여름 가을에 적당합니다 무엇보다 편안함이 최고인 거 같습니다,"그렇다고, 졸지, 편안함, 말다, 보통, 흐물흐물, 보다는, 애매하다, 가을, 최고"
"183 66 기준 허리가 많이 컸지만, 기장이나 통이 가장 이상적이라 허리는 옷핀으로 고정 후 입었습니다. 마음에 드네요.",기준 허리가 많이 컸지만 기장이나 통이 가장 이상적이라 허리는 옷핀으로 고정 후 입었습니다 마음에 드네요,"고정, 옷핀, 가장, 기준, 허리, 이나, 기장, 크다"
색깔 넘 예믑니다!! 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아여,색깔 너무 예믑니다 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아요,"하마, 예믑니, 색깔, 근데, 커서, 작다, 사이즈"
"버뮤다 느낌이 너무 이쁩니당
근데 저는 버뮤다 느낌도 주고 롤업해서 입어봤는데 , 조금더 짧으면서 다리가 길어보이고 이쁜 느낌도 줄수 있더라고요!
버뮤다 짧게 롤업해도 이쁜 팬츠!
잘 구매 한거 같습니다 :)",버뮤다 느낌이 너무 이쁩니다 근데 저는 버뮤다 느낌도 주고 롤업 해서 입어봤는데 조금 더 짧으면서 다리가 길어 보이고 이쁜 느낌도 줄 수 있더라고요 버뮤다 짧게 롤업 해도 이쁜 팬츠 잘 구매한 거 같습니다,"롤업, 짧다, 버뮤다, 보이, 해도, 주다, 다리, 길다, 입어보다, 근데"
"리뉴얼로 워싱했다고 써져있긴 한데 
판매 사진은 리뉴얼 전껄로 올려놓아서 뭔가 속은느낌..
사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이정도면 다른 제품 아닐까 싶네요",리뉴얼로 워싱 했다고 써져있긴 한데 판매 사진은 리뉴얼 전 걸로 올려놓아서 뭔가 속은 느낌 사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이 정도면 다른 제품 아닐까 싶네요,"리뉴얼, 사진, 워싱, 달리, 올려놓다, 써다, 판매, 짙다, 뭔가, 전체"
핏 제가 생각했던 그대로입니다 너무 만족스러워요 !,핏 제가 생각했던 그대로입니다 너무 만족스러워요,"그대로, 만족스럽다"
핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐거 같습니다~!,핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐 거 같습니다,"알맞다, 에는, 떨어지다, 기장, 여름"
