Review,Keyword
생각보다 늦게 왔지만 맘에 드는 체크무늬랑 색감이 고 크기도 적당해요 재질도 여름에 입어도 될 것 같아 용 남자가 입음 좀 짧을 수도,"색감, 체크무늬, 재질, 크기"
기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인 것 같아요,"가성비, 기장, 핏"
편하게 입기도 좋고 웨이트하는 사람이 입어도 충분히 잘 맞네요,"편하다, 운동"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 아쉬웠지만 만족합니다,"재질, 핏, 색깔, 단추, 체크패턴"
이 색상의 체크가 예뻐서 샀는데 유행인지 돌아 다니면 하루에 명은 마주 침 근데 예뻐서 포기할 수가 없음 여름에 햇빛 때문에 셔츠를 많이 입는데 부드럽고 가 벼워서 계속 입고 출근하러 갑니다 가격이 아쉽긴 하지만 그래도 만족합니다,"색상, 가격, 유행, 가볍다부드럽다재질, 체크, 셔츠, 햇빛"
원단이 얇아 여름에 입 기 좋고 색감과 체크무늬가 마음에 듭니다 총장도 크게 길지 않은 점도 좋습니다,"원단, 색감, 체크무늬, 총장, 여름"
마감은 너무 별로예요 좀 충격적 일 정도로 실밥이 팔 접어서 올리는 데 깜짝 놀랐네요 크롭 한 기장과 두께감 모두 좋은데 마감은 좀 신경 쓰셔야 할 것 같아 요,"크롭기장, 실밥, 두껍다, 팔접힌상태, 마감"
잠궈서 입으면 뭔가 덩치가 커 보이는 핏이여서 오픈해서 이쁘게 입고 다닐 거 같습니다,"오픈, 덩치크다보임, 잠그다"
평소 착용 약간 딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어 요 다만 가격이 좀 쌘편 만 원 초반대였으면 여러 벌 사서 돌려 입어도 좋을 듯,"카라말림, 색상, 구김많이생기, 가격, 핏, 세탁, 105착용"
에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이 쁘고 적당히 얇아서 좋아요,"편하다, 적당하다두께, 가동, 에어컨"
막 입을 셔츠 치 고 가격이 높아서 고민했는데 입어보고 너무너무 만족스러웠습니다 다른 색상으로도 또 갖고 싶네요,"편하다, 가격, 셔츠, 만족감"
색깔은 괜찮은데 실밥 마감이 좀 아쉬워요 그래도 얇아서 좋아요,"얇다, 실밥마감, 색깔"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 미쓰인 것 같아요,"재질, 핏, 색깔, 단추, 체크패턴"
빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비 셔츠 이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟한 친구 중에 하나 실물 봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공 내가 원하는 느낌으로 스타일링 할 수 있겠다 하지만 딱 착용하는데 깜짝 놀랬다 생각보다 엄청 커서 인 분들도 세미오버나올 듯 품이 엄청나 다  그레도 그 하고 툭 떨어지는 맛에 원하는 느낌 내기가 용이 할 거 같지만 원단은 얇아서 부담 없이 걸치기 좋을 거 같다 두꺼우면 계절을 더 신경 써야 되니깐 무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다 후크 무서운 신성이네요,"오버셔츠, 후, 네이비셔츠, 후크, 브랜드"
색상도 좋고 봄 가을에 입 기 좋아요 다만 기장감이 생각보다 더 짧긴 합니당,"봄가을, 색상, 기장"
생각보다 체크 배색이 남색보다 베이지 비중이 더 큰 거 같아 요 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요 그래도 빈티지하고 흔한 체크 색상이 아니라서 만족합니다 꽤 가벼워서 여름에도 입기 좋을 거 같아요,"튀다, 빈티지, 베이지, 톤, 흔하다, 체크배색, 색깔, 가볍다, 남색"
무더위가 좀 풀리면 입기 좋을 거 같습니다 디자인이 이쁩니다,"풀림, 무더위, 디자인"
기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,"가격, 기장"
평소 입는데 커 보여서 시켰는데 잘 시킨 것 같아요,"L사이즈, M사이즈"
사이즈가 딱 좋습니다 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다 날씨가 좀 더 해지면 티에 입어도 좋을 것 같아 요,"날씨, 티셔츠, 사이즈, 두께, 팔접기"
너무 잘 맞고 예쁘네 여 앞으로도 많이 구매할게요 감사합니다,자다
남편이랑 옷 같이 입기 좋아요 만족합니다 가을이 왔으면,"가을, 남편, 만족"
색감이 너무 유니크 합니다 아주 멋져요 기장이 약간 짧은 느낌이긴 한데 그래도 너무 이 뻐서 자꾸 손이 갑니다,"색감, 멋지다, 유니크, 짧다, 기장"
걍 이 쁨 워싱데님이 더 잘 어울리는 바지 같음 자주 입을 듯,"워싱데님, 바지"
엉덩이 덮는 충분한 사이즈입니다 프리 사이즈인 줄 알았는데 미디엄이랑 라지 나뉘어져 있어서 고민했었네요,"프리사이즈, 라지, 미디엄, 사이즈, 엉덩이덮다"
날씨가 더워져서 자주는 못 입겠지만 너무 이쁩니다,"날씨, 더움, 싫다"
사이즈도 잘 맞고 배송도 빨리 왔어요 다양한 코디에 입을 듯,"사이즈, 코디, 배송"
생각보다 색이 밝은 데 사진에서 보는 것만큼 예쁘네요 조금 다른 쪽으로 다르긴 하지만 만족스럽습니다,"색깔, 사진"
실제로 입어보니 체형 보완도 되는 것 같고 스타일도 괜찮네요,"스타일, 체형보완"
간절기에 입 기 좋아요 체크 셔츠인데 흔하지 않고 색도 마음에 드네요,"색깔, 체크셔츠"
두껍지 않아서 마음에 듭니다 가을에 입 기 좋을 것 같습니다,"두께, 가을, 옷감"
생각보다 훨씬 예뻐요 저렴하게 잘 구입했요,"가격, 크기"
그냥 제가 생각한 사이즈 핏 입니다 너무 이쁘네요,사이즈핏
이쁩니다 체크 셔츠 살려 했는데 잘 산거 같아 요 굿,"체크셔츠, 잘살다"
너무 이 뻐요 핏이 작살남 어디든 이 쁠 거 같고 여름에도 얇아서 입는 거 가능,"여름, 핏"
