Review,Keyword
술 먹고 샀는지 몰래 온 택배가 이리 맘에 드나요 잘 입고 다닙니다 워싱 디테일 좋아요 근데 허리가 커서 뒷부분만 한 번 접고 다닙니다,"접다, 워싱, 몰래, 커서, 뒷부분, 디테일, 허리, 택배"
허리 크지만 뒤에 끈 묶어서 야무지게 입기 좋음 허리가 반인데 m사이즈 이쁘게 입었슴당 여름에 야물딱지게 입기 좋아서 블랙 컬러까지 구매하려고 영 커플로 입어도 찰떡 입네 당,"여름, 컬러, 뒤, 슴, 블랙, 커플, 끈, m사이즈, 야물다지게, 찰떡, 크다, 야무지다, 묶음, 반, 허리"
허리는 딱 골반에 들어와서 완전 딱 맞아요 기장감이 조금 길긴 한데 뒤 허리 반만 접으면 이쁘네요 색감도 괜찮고 냄새도 안 나고 완전 가성비 굿이네요,"가성비, 골반, 맞다, 색감, 뒤, 기장, 길다, 반, 허리, 냄새"
엄청 커요 너무 커서 치마 같을 정도 가랑이끼리 자꾸 펄럭거리면서 부딪혀요 근데 색감도 그렇고 핏도 원하던 느낌으로 예뻐서 잘 입을 것 같네요,"색감, 자꾸, 커서, 핏, 가랑이끼리, 부딪히다, 원하다, 크다, 펄럭거리다, 치마"
첫 버뮤다여서 기대가 컸는데 기대 이상이라서 완전히 만족합니다,"첫, 버뮤다"
끄나 너무 예뻐요 주변에서 친구들한테 칭찬도 엄청 들었어요 엄마랑 이모가 탐내요 버뮤다팬츠 입으려고 산 건데 색감도 워싱도 핏도 아주 맛도 링 아 허리는 어 엄청 큰데 수선할 생각으로 산 거기도 하고 수선 안 해도 벨트 꽈악 매서 정리하고 입으면 예뻐서 잘 입고 있어요,"엄마, 색감, 허리, 워싱, 핏, 정리, 버뮤다팬츠, 친구, 벨트, 링, 끄다, 맛, 이모"
버뮤다팬츠 입문자입니다 이번에 첨 사는데 뭘 사야 할까 고민 엄정하다가 트릴리니 온 제품으로 선택했습니다 바지는 되게 이쁜데 아직 제가 어색해서 코디를 어떻게 해요 할지 모르겠군요 그래도 잘 입겠습니다,"입문, 트릴, 어색, 코디, 버뮤다팬츠, 바지"
사이즈 딱 좋고 기장도 알맞아요 재질도 짱짱한 거 같고 가볍고 편합니다,"재질, 사이즈, 가볍다, 기장, 짱짱, 편하다, 알맞다"
허리가 좀 큰 거 빼고는 색감도 이쁘고 핏도 잘 나와서 최고예요,"색감, 나오다, 핏, 크다, 허리"
클 거라고 생각은 했는데 생각보다 더 커요 그냥 완전 로라 이주 쌉가눙 바지 자체는 여름 바지 치고는 살짝 두껍고 핏은 예버요 버뮤다 빠져있는데 가성비로 하나 사셔도 조을 거 같아요,"가성비, 이주, 여름, 쌉가눙, 버뮤다, 로라, 자체, 두껍다, 핏, 바지, 빠지다, 크다, 하나, 치고는"
제가 생각했던 것보단 길이가 살짝 짧은데 괜찮은 것 같고요 컬러 매치만 잘해주면 이쁜 코디가 될 것 같습니다,"매치, 컬러, 코디, 길이, 짧다"
말해 무해 트릴리 온 집니다 최근 산 버뮤다 중에서 가장 이뻐요,"무, 트릴, 버뮤다, 최근, 가장"
컬러감 예쁘고요 사이즈 허리는 딱 맞고 다른 부분은 여유 있어요,"맞다, 컬러, 사이즈, 여유, 허리, 부분"
무신사 버뮤다팬츠 중에 핏 가장 좋음 기장도 딱이고 만족스러움 블랙도 구매할 예정 하비 강추,물다
사진과 같이 서있으면 허벅지 앞 부분은 붕 뜨고 뒷부분은 허벅지에 딱 달라붙어서 핏이 조금 애매하긴 한데 그래도 전체적으로 나쁘지 않아요,"앞, 핏, 나쁘다, 뒷부분, 허벅지, 달라붙다, 전체"
굉장히 귀엽습니다 가벼운 편인 것 같고요 허리가 오지게 커서 흘러내리기 직전인데 완전 로우 로우 로우 라이즈로 입고 있어요,"귀엽다, 흘러내리다, 라이즈, 가볍다, 허리, 로우, 커다랗다"
허리가 좀 작았습니다 바지는 너무 예뻐요 색감도 사진이랑 똑같고 기장감도 괜찮아요,"사진, 색감, 바지, 기장감, 허리, 작다"
너무 이쁘고 소재도 좋고 가격도 좋네요 좋은 제품 앞으로도 부탁드립니다,"앞, 소재, 가격, 제품"
적힌 사이즈보단 작은 거 같아요 다른 브랜드랑 단면 사이즈 똑같은 거 시켰는데 훨씬 작네요 아쉬워요 엉덩이랑 사타구니가 많이 끼네요 다른 브랜드들보단,"끼다, 엉덩이, 사이즈, 사타구니, 똑같다, 아쉽다, 단면, 브랜드보단, 브랜드, 작다"
허리는 어차피 클 거 같아서 M 사이즈로 구매했는데 딱 원하는 기장이에요 휘뚜루마뚜루 입으려고 샀는데 상의 색 안 타고 잘 입을 수 있을 거 같아요 옷 자체를 들었을 땐 무거운데 입으면 소재가 얇아서 오히려 가볍게 입을 수 있어서 좋습니다,"소재, 무겁다, 사이즈, 색, 가볍다, 휘뚜루마뚜루, 상의, 자체, 기장, 얇다, M, 타고, 크다, 허리"
배송 느린 건 블랙 프라이데이라 이해함 버뮤다 바지는 처음인데 입문용으로 좋은 것 같다,"입문, 프라이데이, 버뮤다, 배송, 블랙, 바지, 느리다"
무릎 밑으로 떨어지는 기장감을 원해서 XL 샀는데 생각보다 길지 않았음 무릎 밑으로 떨어뜨리려고 골반에 걸쳐 입으니까 기장 딱 맞음 일반적으로 원하는 기장보다는 긴 기장 때문에 XL 산 거라 저랑 비슷한 체형을 가지신 분들은 M이나 L 사도 충분히 맞을 것 같음 구매할 때에는 그냥 이쁘네 하고 샀었는데 사고 나서 보니 위상이 개이쁨 라이트 블루 컬러랑 샌드 블루 컬러 중에 고민하다가 샌드 블루 샀는데 나중에 라이트 블루도 구매예정임,"블루, 골반, 체형, 라이트, 기장, 무릎, L, 샌드, M"
이거 진짜 제 인생 바지 등극 허리가 조금 크긴 한데 그래도 너무 이뻐요 색도 진짜 이쁘고 어떤 티에 입어도 잘 어울려서 진짜 많이 입는 바지예요 진짜 꼭 사야 돼,"색, 바지, 꼭, 티, 허리"
m사이즈 허리가 조금 많이 커요 그래도 요즘 멋쟁이들처럼 보여서 기분이 조읍니다,"조읍니, 기분, 보여서, m사이즈, 크다, 멋쟁이, 허리"
같은 브랜드 다른 바지를 L 사이즈 샀더니 너무 커서 실측 재확인 후 M으로 시켰더니 이게 웬걸 허리가 너무 꽉 끼는 거예요 저는 제가 하룻밤 만에 살이 찐 줄 알았습니다 허리 단면 cm 면 인치로 평소 딱 좋게 입는 사이즈인데 이건 상세페이지에는 cm라고 나와있지만 실측해 보니 cm더라고요 사이즈 문의 남기니 cm는 오차 범위이며 원한다면 불량품 확인은 해줄 수 있지만 정상품 일시 왕복 배송비를 청구한다길래 그냥 불량인 정 안 하겠다는 말 같아서 그냥 제가 수선해서 입으려구요 집에서 수선이 어려운 분들은 상세페이지에 나와있는 실측은 믿지 마시고요 후기 꼼꼼히 보고 맞는 사이즈로 구매하시길 바랍니다 실측은 재는 방법에 따라 다르다는데 저는 집에서 온갖 줄자로 다양하게 해봐도 cm던데 cm는 어떻게 재야 나오는지 궁금하네요,"사이즈, 바지, 웬걸, 끼다, M, 평소, 단면, 하룻밤, 꽉, 재확인, 인치, L, 줄, 알다, 살이, cm, 만에, 찌다, 커서, 실측, 허리, 브랜드"
허리는 살짝 큰데 원래 이렇게 입는 것 같아요 색깔 예뻐요,"원래, 이렇게, 색깔, 크다, 허리"
바지 디자인 이쁘고 핏도 괜찮은 거 같아요 워싱이 들어가서 색감도 정말 좋습니다 여름에 입기 딱인 거 같아요,"여름, 색감, 워싱, 핏, 바지, 디자인"
일단 워싱이 이쁘게 들어가서 맘에 들었습니다 조금 진한 느낌의 색이고 핏은 굉장히 좋습니다 추천해요,"들어가다, 워싱"
그냥 이쁘쥬오랜만에 후회 없는 쇼핑이었어요 진자 개 이뻐요 근데 배송 좀 느림 그래도 이뻐서 용서 아니 진짜 색 개 이쁘고 L 사서 좀 크긴 한데 길이 아주 굿 잡 사랑해요 트릴리니 온 언니 오빠 형 누나 개 이뻐 수 사진 보정함,"사진, 트릴, 보정, 배송, 쇼핑, 길이, 색"
허리가 좀 크긴 한데 벨트 매면 좋은 핏 나오면서 괜찮네요 자주 입을듯합니다,"매다, 핏, 벨트, 크다, 허리"
사이즈는 딱 적당했어요 빈티지한 색감의 워싱이 너무 예쁩니다 바지통이 생각했던 거보단 조금 컸지만 그래도 아주 맘에 들어요,"사이즈, 워싱, 적당, 크다, 바지통"
작년부터 트렌드로 올라온 버뮤다팬츠이기에 요즘 사람들이 많이 찾고 있는데 워싱도 은은하게 있고 무릎 덮는 기장까지 딱 맡기에 흰색 및 브라운 컬러의 신발과 매치하면 코디하디 좋을 것 같아요,"워싱, 코디, 브라운, 버뮤다팬츠, 무릎, 흰색, 신발"
사이즈도 딱 맞고 색 이뻐요 싼 가격에 잘 샀고 너무 이뻐요,"맞다, 사이즈, 싸다, 가격, 색"
진짜 개예빠요 길이감 있어서 오히려 스타일 있어 보임,"스타일, 길이감"
제가 생각한 것보다 크긴 했는데 그래도 예뻐요 겨울 빼고 봄여름 가을에 예쁘게 입고 다닐 것 같아요,"여름, 겨울, 가을, 크다, 봄"
꺙 아주 예뻐요 색감 너무 맛있고 핏도 제 다리가 진짜 얇아 보이게 해줍니다 버뮤다로 떨어지는 거도 맛있고 최고예요 블랙으로도 하나 더 살지 고민하고 있어요 주의하실 점은 여성분들한테는 허리가 저어어엉말 클 고라는건데 꼭 벨트 착용하시거나 수선하셔야 해요,
