Review,Processed_Review,keyword
굿 확실히 듣던 대로 시보리가 자기주장이 강하네요 어릴 때 이 져지를 입은 형한테 삥뜯긴 기억이 납니다,굿 확실히 듣던 대로 시보리가 자기주장이 강하네요 어릴 때 이 저지를 입은 형한테 삥 뜯긴 기억이 납니다,"듣다, 기억, 주장, 어리다, 뜯다, 저지르다, 강하다, 대로, 확실하다, 나다"
사이즈 정사이즈로 딱 맞고 시보리도 짱짱해서 좋아요 ! 크게사도 이뻤겠지만 만족합니당  입고 다니면 너무 자주보이는게 단점 ㅜ,사이즈 정 사이즈로 딱 맞고 시보리도 짱짱해서 좋아요 크게 사도 이뻤겠지만 만족합니다 입고 다니면 너무 자주 보이는 게 단점,"사도, 단점, 보이다, 사이즈, 만족하다, 짱짱하다, 크게, 맞다, 시보리"
L사이즈 구매했다가 너무 커서 S사이즈로 교환했어요 만족합니다 S사이즈도 넉넉해요 이번옷이 크게 나온거같아요 착용감은 부드럽고 좋아요 입고싶었던거라 좋아요,L 사이즈 구매했다가 너무 커서 S사이즈로 교환했어요 만족합니다 S사이즈도 넉넉해요 이번 옷이 크게 나온 거 같아요 착용감은 부드럽고 좋아요 입고 싶었던 거라 좋아요,"사이즈, 감다, 교환, 착용, 부드럽다, 커서, 넉넉하다, 나오다, 만족하다, 크게"
파이어버드 갖고 싶었는데 매일 입고다닐 것 같어용,파이어버드 갖고 싶었는데 매일 입고 다닐 것 같아요,"갖다, 매일, 파이어버드"
사이즈도 좀 큰가 했는데 넉넉하니 너무좋구 핏도 이뻐요!!!!,사이즈도 좀 큰가 했는데 넉넉하니 너무 좋고 핏도 이뻐요,"넉넉하다, 크다, 사이즈"
입기 편합니다. 좋아요 가성비 좋구요 디자인 좋습니다 ,입기 편합니다 좋아요 가성비 좋고요 디자인 좋습니다,"가성비, 디자인, 편하다"
역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요,역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요,"실망, 항상, 마감, 아디다스"
XL갔다가 L로 교환했는데 교환하길 잘함 흰티에 입어도 묻어나는거 딱히 없는것같음 시보리 많이 조임,XL 갔다가 L로 교환했는데 교환하길 잘함 흰 티에 입어도 묻어나는 거 딱히 없는 것 같음 시보리 많이 조임,"교환, 묻다, 딱하다, 희다, 조이다, 가다, 없다, xl, 시보리"
갑자기 트랙 위아래로 입고 다니고 싶어서!!! 샀어요 편하다!,갑자기 트랙 위아래로 입고 다니고 싶어서 샀어요 편하다,"위아래, 갑자기, 트랙, 편하다"
대박 예쁨 그냥 근본 그 자체 크게 입으니까 넘 예쁨 ㅠ,대박 예쁨 그냥 근본 그 자체 크게 입으니까 너무 예쁨,"대박, 자체, 근본, 그냥, 크게"
